,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO,LPT,LWKR,FDD/LWKR,LOPNR,SRM,LIFO
Mk01,55,50,52,54,48,50,66,68,66,56,54,63
Mk02,55,45,40,43,40,42,61,42,68,42,44,49
Mk03,268,235,231,228,225,235,348,274,344,268,294,274
Mk04,78,79,92,81,75,85,107,122,100,122,122,126
Mk05,235,190,200,192,190,188,211,243,227,234,241,219
Mk06,85,119,97,115,104,122,121,96,116,94,98,97
Mk07,227,274,232,222,209,227,272,213,279,243,216,258
Mk08,601,523,552,529,523,531,700,632,653,642,653,629
Mk09,431,341,361,364,327,405,462,423,476,405,442,438
Mk10,329,287,289,267,271,303,433,353,384,347,331,346
