,6-area-min-2000-9202-v,converged_iterations,total_time,min
la01,581.0,4337.0,220.53103828430176,576.0
la02,538.0,4859.0,245.56100058555603,534.0
la03,482.0,2618.0,131.30150890350342,482.0
la04,510.0,5363.0,265.7247939109802,506.0
la05,467.0,3077.0,147.38175106048584,460.0
la06,810.0,4022.0,379.80558013916016,802.0
la07,756.0,4256.0,405.65144205093384,752.0
la08,787.0,4499.0,426.88914680480957,770.0
la09,859.0,5012.0,458.64221000671387,857.0
la10,813.0,5633.0,538.1495311260223,805.0
la11,1079.0,4274.0,520.3401703834534,1073.0
la12,946.0,3662.0,441.2786521911621,937.0
la13,1043.0,4436.0,552.8252775669098,1041.0
la14,1080.0,3842.0,479.04164385795593,1073.0
la15,1098.0,3806.0,474.44644498825073,1092.0
la16,732.0,4580.0,517.8348703384399,717.0
la17,646.0,1682.0,161.81072640419006,646.0
la18,663.0,1988.0,199.06653809547424,663.0
la19,624.0,3050.0,327.7308747768402,619.0
la20,756.0,3482.0,377.42374777793884,756.0
la21,822.0,5759.0,986.2145211696625,814.0
la22,745.0,6929.0,935.8181207180023,741.0
la23,828.0,9026.0,1138.6373183727264,823.0
la24,794.0,8207.0,1040.8119850158691,785.0
la25,779.0,7190.0,905.3946993350983,769.0
la26,1055.0,8000.0,1375.2634530067444,1055.0
la27,1094.0,8864.0,1527.5954685211182,1089.0
la28,1075.0,6164.0,1036.1395354270935,1075.0
la29,1006.0,8495.0,1425.992432832718,1004.0
la30,1089.0,5705.0,943.965179681778,1081.0
la31,1529.0,8027.0,2171.578929424286,1523.0
la32,1674.0,7811.0,2121.140709877014,1665.0
la33,1507.0,8207.0,2247.222397327423,1501.0
la34,1546.0,11006.0,3009.7067787647247,1541.0
la35,1558.0,7271.0,1977.767897605896,1554.0
la36,948.0,3257.0,546.0304999351501,948.0
la37,999.0,3662.0,606.6106328964233,986.0
la38,949.0,2492.0,393.55901288986206,943.0
la39,946.0,3626.0,606.203075170517,932.0
la40,972.0,3446.0,560.2504739761353,955.0
