,6-idle-simple2-fjsp-2000-v,converged_iterations,total_time,min
la01,577.0,2366.0,129.18583607673645,576.0
la02,545.0,1739.0,105.25207042694092,535.0
la03,493.0,2177.0,128.7318217754364,482.0
la04,518.0,1142.0,59.30177593231201,513.0
la05,468.0,1484.0,81.18253111839294,465.0
la06,808.0,2462.0,180.60829854011536,800.0
la07,754.0,2663.0,196.4803967475891,753.0
la08,776.0,2603.0,190.73314452171326,767.0
la09,855.0,1691.0,121.28148865699768,855.0
la10,814.0,3878.0,288.75908946990967,806.0
la11,1080.0,2882.0,400.10325026512146,1073.0
la12,959.0,4154.0,592.1521487236023,938.0
la13,1047.0,3476.0,494.91139578819275,1040.0
la14,1080.0,2012.0,273.7956910133362,1072.0
la15,1095.0,4097.0,586.4908521175385,1091.0
la16,735.0,926.0,74.31862235069275,721.0
la17,649.0,1583.0,131.5664439201355,646.0
la18,663.0,623.0,47.45096039772034,663.0
la19,625.0,1673.0,138.90575742721558,624.0
la20,756.0,785.0,62.145243644714355,756.0
la21,828.0,1610.0,272.70116233825684,818.0
la22,751.0,2312.0,400.58734917640686,746.0
la23,836.0,3707.0,654.0894627571106,826.0
la24,792.0,7727.0,1398.946849346161,780.0
la25,788.0,1427.0,238.9944097995758,770.0
la26,1059.0,2378.0,545.5922501087189,1057.0
la27,1094.0,3329.0,770.5532040596008,1088.0
la28,1081.0,5726.0,1299.24675655365,1074.0
la29,1003.0,4004.0,920.9622197151184,999.0
la30,1079.0,3302.0,762.3516185283661,1078.0
la31,1525.0,2861.0,1031.9766747951508,1522.0
la32,1667.0,3824.0,1391.0614173412323,1663.0
la33,1505.0,3998.0,1404.5248765945435,1502.0
la34,1553.0,4967.0,1790.2735028266907,1541.0
la35,1570.0,2879.0,1045.7269463539124,1553.0
la36,958.0,1280.0,282.6524884700775,948.0
la37,1016.0,1151.0,248.48497414588928,986.0
la38,943.0,1058.0,221.96591472625732,943.0
la39,948.0,1037.0,223.3222839832306,937.0
la40,959.0,1139.0,246.05453300476074,955.0
