,episode,make_span,reward,min make span
0,0.0,729.0,-10.121212121212121,729.0
1,0.0,675.0,-7.393939393939394,675.0
2,0.0,542.0,-0.6767676767676768,542.0
3,1.0,584.0,-2.797979797979798,542.0
4,1.0,630.0,-5.121212121212121,542.0
5,1.0,615.0,-4.363636363636363,542.0
6,2.0,607.0,-3.9595959595959593,542.0
7,2.0,584.0,-2.797979797979798,542.0
8,2.0,643.0,-5.777777777777777,542.0
9,3.0,563.0,-1.7373737373737372,542.0
10,3.0,623.0,-4.767676767676768,542.0
11,3.0,591.0,-3.1515151515151514,542.0
12,4.0,661.0,-6.686868686868688,542.0
13,4.0,603.0,-3.757575757575758,542.0
14,4.0,591.0,-3.1515151515151514,542.0
15,5.0,607.0,-3.9595959595959593,542.0
16,5.0,554.0,-1.2828282828282829,542.0
17,5.0,559.0,-1.5353535353535355,542.0
18,6.0,578.0,-2.494949494949495,542.0
19,6.0,573.0,-2.2424242424242427,542.0
20,6.0,610.0,-4.111111111111111,542.0
21,7.0,590.0,-3.101010101010101,542.0
22,7.0,608.0,-4.01010101010101,542.0
23,7.0,589.0,-3.0505050505050506,542.0
24,8.0,570.0,-2.090909090909091,542.0
25,8.0,598.0,-3.505050505050505,542.0
26,8.0,658.0,-6.535353535353535,542.0
27,9.0,648.0,-6.030303030303031,542.0
28,9.0,592.0,-3.202020202020202,542.0
29,9.0,632.0,-5.222222222222222,542.0
30,10.0,565.0,-1.8383838383838385,542.0
31,10.0,650.0,-6.1313131313131315,542.0
32,10.0,634.0,-5.3232323232323235,542.0
33,11.0,638.0,-5.525252525252525,542.0
34,11.0,581.0,-2.6464646464646466,542.0
35,11.0,602.0,-3.7070707070707067,542.0
36,12.0,631.0,-5.171717171717171,542.0
37,12.0,551.0,-1.1313131313131313,542.0
38,12.0,594.0,-3.303030303030303,542.0
39,13.0,610.0,-4.111111111111111,542.0
40,13.0,687.0,-8.0,542.0
41,13.0,671.0,-7.191919191919192,542.0
42,14.0,556.0,-1.3838383838383839,542.0
43,14.0,621.0,-4.666666666666666,542.0
44,14.0,584.0,-2.797979797979798,542.0
45,15.0,621.0,-4.666666666666666,542.0
46,15.0,644.0,-5.828282828282829,542.0
47,15.0,636.0,-5.424242424242424,542.0
48,16.0,612.0,-4.212121212121212,542.0
49,16.0,560.0,-1.5858585858585859,542.0
50,16.0,614.0,-4.313131313131313,542.0
51,17.0,587.0,-2.94949494949495,542.0
52,17.0,625.0,-4.8686868686868685,542.0
53,17.0,569.0,-2.04040404040404,542.0
54,18.0,641.0,-5.6767676767676765,542.0
55,18.0,574.0,-2.2929292929292933,542.0
56,18.0,600.0,-3.606060606060606,542.0
57,19.0,589.0,-3.0505050505050506,542.0
58,19.0,601.0,-3.6565656565656566,542.0
59,19.0,647.0,-5.979797979797979,542.0
60,20.0,656.0,-6.434343434343434,542.0
61,20.0,601.0,-3.6565656565656566,542.0
62,20.0,562.0,-1.6868686868686869,542.0
63,21.0,637.0,-5.474747474747474,542.0
64,21.0,565.0,-1.8383838383838382,542.0
65,21.0,557.0,-1.4343434343434345,542.0
66,22.0,623.0,-4.767676767676767,542.0
67,22.0,573.0,-2.242424242424242,542.0
68,22.0,642.0,-5.727272727272727,542.0
69,23.0,565.0,-1.8383838383838382,542.0
70,23.0,588.0,-3.0,542.0
71,23.0,636.0,-5.424242424242424,542.0
72,24.0,648.0,-6.030303030303029,542.0
73,24.0,614.0,-4.313131313131313,542.0
74,24.0,565.0,-1.8383838383838385,542.0
75,25.0,604.0,-3.808080808080808,542.0
76,25.0,626.0,-4.919191919191919,542.0
