,6-idle-simple2-fjsp-2000-Barnes,converged_iterations,total_time,min
mt10c1,1031.0,1787.0,145.2930943965912,999.0
mt10cc,997.0,1115.0,84.62217950820923,970.0
mt10x,1060.0,749.0,53.49087357521057,1023.0
mt10xx,1026.0,914.0,67.61404919624329,1010.0
mt10xxx,1060.0,653.0,46.03688979148865,1001.0
mt10xy,1011.0,1145.0,86.07872748374939,977.0
mt10xyz,898.0,836.0,61.498764753341675,898.0
setb4c9,967.0,1232.0,186.42930436134338,962.0
setb4cc,985.0,1433.0,224.4496819972992,977.0
setb4x,1015.0,1127.0,170.42566633224487,1015.0
setb4xx,1008.0,1802.0,284.82506465911865,1001.0
setb4xxx,996.0,1970.0,310.2770195007324,996.0
setb4xy,989.0,1718.0,267.5771346092224,989.0
setb4xyz,990.0,1223.0,188.4478621482849,981.0
seti5c12,1267.0,2765.0,590.352432012558,1260.0
seti5cc,1239.0,2003.0,422.01228404045105,1222.0
seti5x,1301.0,1529.0,316.32786417007446,1281.0
seti5xx,1292.0,1118.0,220.6269407272339,1292.0
seti5xxx,1313.0,1139.0,231.01697444915771,1279.0
seti5xy,1232.0,1772.0,365.6927351951599,1228.0
seti5xyz,1246.0,2660.0,567.889928817749,1213.0
