,6-idle-simple2-fjsp-2000-edata,converged_iterations,total_time,min
abz5,1250.0,1910.0,139.71273398399353,1241.0
abz6,989.0,632.0,41.499977588653564,978.0
abz7,682.0,2405.0,620.3438155651093,678.0
abz8,700.0,1910.0,481.765855550766,700.0
abz9,718.0,1841.0,467.56162691116333,717.0
car1,6594.0,2228.0,111.92262315750122,6594.0
car2,7134.0,1385.0,66.0465157032013,7008.0
car3,7281.0,773.0,37.34421944618225,7186.0
car4,8392.0,326.0,15.243640422821045,8392.0
car5,7405.0,1142.0,57.455095291137695,7397.0
car6,8837.0,341.0,17.421835899353027,8809.0
car7,6280.0,470.0,19.062418222427368,6280.0
car8,8426.0,1670.0,87.85810494422913,8209.0
la01,630.0,1220.0,55.766777992248535,615.0
la02,736.0,2642.0,123.7957546710968,701.0
la03,609.0,1079.0,48.4223108291626,578.0
la04,649.0,965.0,42.264415979385376,614.0
la05,524.0,815.0,35.32827639579773,507.0
la06,833.0,1631.0,101.62582278251648,833.0
la07,793.0,959.0,58.234453439712524,790.0
la08,874.0,1154.0,70.47550177574158,846.0
la09,918.0,1253.0,77.25507068634033,900.0
la10,866.0,1472.0,92.34398245811462,866.0
la11,1107.0,1889.0,233.37440490722656,1106.0
la12,979.0,1217.0,142.91870021820068,979.0
la13,1053.0,1181.0,138.1877224445343,1053.0
la14,1153.0,1418.0,167.75022912025452,1147.0
la15,1181.0,1499.0,176.12452101707458,1146.0
la16,980.0,905.0,63.99934649467468,978.0
la17,794.0,704.0,47.004730224609375,780.0
la18,868.0,716.0,48.39754939079285,867.0
la19,909.0,1184.0,84.09254026412964,872.0
la20,947.0,947.0,65.92044854164124,914.0
la21,1132.0,1283.0,184.53196740150452,1120.0
la22,959.0,1121.0,161.3589129447937,959.0
la23,1050.0,1958.0,285.6360595226288,1032.0
la24,1011.0,923.0,131.14008402824402,984.0
la25,1051.0,980.0,137.71906352043152,1023.0
la26,1251.0,1505.0,281.8903765678406,1222.0
la27,1335.0,1283.0,253.99472546577454,1319.0
la28,1222.0,2732.0,549.4101679325104,1219.0
la29,1230.0,1529.0,289.8584842681885,1230.0
la30,1356.0,1844.0,351.1106560230255,1354.0
la31,1651.0,1652.0,480.5002908706665,1640.0
la32,1801.0,1979.0,580.6554293632507,1782.0
la33,1648.0,2126.0,610.2502846717834,1623.0
la34,1678.0,2357.0,683.2535336017609,1664.0
la35,1762.0,2333.0,674.8218977451324,1762.0
la36,1258.0,2540.0,515.9851868152618,1234.0
la37,1553.0,1814.0,356.8573019504547,1495.0
la38,1315.0,1946.0,389.74448227882385,1286.0
la39,1289.0,1358.0,258.92183351516724,1276.0
la40,1288.0,1514.0,301.76584577560425,1255.0
mt06,55.0,248.0,8.577972412109375,55.0
mt10,924.0,1106.0,81.65684270858765,924.0
mt20,1249.0,1172.0,145.8280062675476,1221.0
orb1,1090.0,1073.0,75.81186413764954,1086.0
orb10,1088.0,803.0,54.525259017944336,1013.0
orb2,947.0,1193.0,83.38744068145752,920.0
orb3,1044.0,1271.0,90.56110572814941,1022.0
orb4,1067.0,992.0,70.26807904243469,1052.0
orb5,960.0,1061.0,74.70254182815552,933.0
orb6,1038.0,1565.0,112.85931730270386,1029.0
orb7,408.0,2300.0,169.7500512599945,405.0
orb8,995.0,902.0,62.92202138900757,966.0
orb9,1052.0,1157.0,83.4364926815033,989.0
