,6-idle-simple2-fjsp-2000-edata2,converged_iterations,total_time,min
abz5,1299.0,332.0,23.932607889175415,1246.0
abz6,987.0,791.0,55.673166036605835,978.0
abz7,699.0,2711.0,708.146525144577,692.0
abz8,700.0,1448.0,365.47087264060974,700.0
abz9,729.0,3287.0,884.476019859314,718.0
car1,7304.0,1151.0,56.9825644493103,7087.0
car2,7051.0,1271.0,62.045565605163574,7008.0
car3,7281.0,806.0,40.10268497467041,7087.0
car4,8392.0,782.0,39.035539865493774,8249.0
car5,7494.0,671.0,32.109577894210815,7397.0
car6,8837.0,1241.0,70.51433324813843,8789.0
car7,6280.0,602.0,24.86147665977478,6280.0
car8,8401.0,884.0,45.217756032943726,8146.0
la01,672.0,890.0,40.00398015975952,621.0
la02,767.0,776.0,35.01130747795105,724.0
la03,578.0,1370.0,63.3420934677124,578.0
la04,617.0,1637.0,76.58070993423462,617.0
la05,524.0,1349.0,62.50183844566345,503.0
la06,875.0,743.0,44.08107829093933,847.0
la07,809.0,1217.0,76.31352543830872,793.0
la08,860.0,1700.0,109.00586938858032,858.0
la09,918.0,1133.0,70.51792883872986,890.0
la10,866.0,1331.0,84.02419209480286,866.0
la11,1127.0,1433.0,169.13431310653687,1106.0
la12,998.0,1340.0,158.5164520740509,960.0
la13,1054.0,3365.0,410.42557072639465,1053.0
la14,1148.0,1409.0,164.74130511283875,1132.0
la15,1173.0,1619.0,192.1504774093628,1153.0
la16,1005.0,725.0,49.779457092285156,960.0
la17,781.0,458.0,30.51337194442749,778.0
la18,899.0,974.0,69.11478924751282,868.0
la19,909.0,782.0,54.60492420196533,890.0
la20,924.0,962.0,69.5175085067749,924.0
la21,1130.0,2996.0,462.6303951740265,1122.0
la22,1008.0,1082.0,154.56303095817566,973.0
la23,1077.0,1763.0,260.32362174987793,1044.0
la24,1045.0,1193.0,171.282301902771,992.0
la25,1054.0,1430.0,212.16046357154846,1028.0
la26,1196.0,2417.0,467.15631890296936,1196.0
la27,1285.0,2021.0,393.7721290588379,1285.0
la28,1280.0,2381.0,462.40918946266174,1278.0
la29,1229.0,1610.0,305.44249510765076,1226.0
la30,1373.0,1658.0,316.9182114601135,1360.0
la31,1708.0,3107.0,908.4788582324982,1670.0
la32,1818.0,1715.0,493.95019245147705,1797.0
la33,1608.0,2405.0,696.3034989833832,1607.0
la34,1706.0,2084.0,596.6066653728485,1697.0
la35,1817.0,2057.0,602.9088027477264,1817.0
la36,1268.0,1262.0,244.9268708229065,1246.0
la37,1516.0,1313.0,254.90011930465698,1501.0
la38,1281.0,5714.0,1217.9410617351532,1258.0
la39,1335.0,1316.0,256.4568614959717,1285.0
la40,1258.0,1508.0,299.16097927093506,1250.0
mt06,55.0,548.0,19.31437921524048,55.0
mt10,1038.0,1058.0,77.02848196029663,976.0
mt20,1393.0,698.0,76.09540128707886,1357.0
orb1,1125.0,1745.0,129.88109350204468,1088.0
orb10,1046.0,1217.0,88.60351634025574,1008.0
orb2,934.0,1232.0,89.40332794189453,928.0
orb3,1087.0,1103.0,81.01351976394653,1064.0
orb4,1101.0,1178.0,86.7912974357605,1063.0
orb5,932.0,878.0,62.539286613464355,920.0
orb6,1047.0,1475.0,108.12130618095398,1042.0
orb7,422.0,1268.0,93.15080761909485,409.0
orb8,974.0,1361.0,100.32419300079346,958.0
orb9,1058.0,1043.0,75.37194228172302,1010.0
