,6-idle-simple2-fjsp-2000-vdata,converged_iterations,total_time,min
abz5,1069.0,971.0,72.1619975566864,1061.0
abz6,889.0,1040.0,74.97305154800415,889.0
abz7,592.0,2732.0,764.4462234973907,585.0
abz8,600.0,1838.0,511.9386074542999,600.0
abz9,621.0,2261.0,625.291473865509,604.0
car1,5120.0,2177.0,112.72859144210815,5112.0
car2,6222.0,1421.0,72.17000341415405,6044.0
car3,5977.0,1556.0,85.62948942184448,5745.0
car4,6883.0,1160.0,61.79630994796753,6801.0
car5,6105.0,1319.0,71.26936602592468,5986.0
car6,6855.0,1229.0,71.5232801437378,6795.0
car7,5280.0,716.0,31.308274745941162,5033.0
car8,6418.0,839.0,45.35767149925232,6062.0
la01,599.0,1613.0,77.59945058822632,577.0
la02,556.0,1922.0,94.38612365722656,549.0
la03,484.0,1319.0,63.65673851966858,483.0
la04,527.0,1655.0,79.91384768486023,507.0
la05,473.0,1916.0,93.58626818656921,461.0
la06,808.0,2447.0,166.34117317199707,806.0
la07,757.0,2567.0,177.95965313911438,756.0
la08,782.0,2456.0,169.1975417137146,774.0
la09,865.0,1733.0,116.47305655479431,856.0
la10,826.0,2267.0,155.23390889167786,812.0
la11,1084.0,2903.0,391.4782762527466,1073.0
la12,950.0,2393.0,313.0280394554138,941.0
la13,1042.0,1943.0,250.65976762771606,1040.0
la14,1085.0,3152.0,413.5798428058624,1074.0
la15,1104.0,2231.0,287.3710207939148,1095.0
la16,813.0,1184.0,88.84398555755615,778.0
la17,676.0,1394.0,103.29676628112793,671.0
la18,765.0,374.0,25.15375304222107,708.0
la19,779.0,1352.0,101.58082914352417,763.0
la20,866.0,767.0,54.5571129322052,803.0
la21,947.0,1085.0,162.16381883621216,929.0
la22,868.0,1889.0,299.55893635749817,839.0
la23,915.0,1751.0,276.0872654914856,902.0
la24,888.0,2279.0,358.5696406364441,871.0
la25,913.0,1652.0,258.58800435066223,864.0
la26,1120.0,2687.0,543.3883962631226,1104.0
la27,1148.0,3236.0,684.8055186271667,1146.0
la28,1165.0,2540.0,529.5227086544037,1137.0
la29,1050.0,2042.0,415.7942316532135,1049.0
la30,1177.0,1781.0,358.44170093536377,1172.0
la31,1569.0,5123.0,2440.8882915973663,1542.0
la32,1727.0,2819.0,984.3729028701782,1703.0
la33,1531.0,2669.0,890.3017430305481,1527.0
la34,1571.0,4622.0,1536.3700363636017,1552.0
la35,1595.0,5876.0,1918.7885088920593,1580.0
la36,1189.0,1385.0,301.54130387306213,1142.0
la37,1196.0,2918.0,624.0852394104004,1158.0
la38,1091.0,1361.0,282.3935503959656,1064.0
la39,1138.0,1391.0,281.4199368953705,1115.0
la40,1104.0,2243.0,473.7471203804016,1068.0
mt06,50.0,284.0,10.196693897247314,48.0
mt10,748.0,1175.0,93.42078590393066,733.0
mt20,1039.0,2432.0,325.3229901790619,1037.0
orb1,824.0,959.0,68.93117451667786,806.0
orb10,816.0,1028.0,74.65982985496521,792.0
orb2,794.0,800.0,55.95533204078674,766.0
orb3,828.0,1199.0,87.56738805770874,794.0
orb4,883.0,1394.0,103.66129493713379,837.0
orb5,792.0,716.0,50.514906883239746,755.0
orb6,859.0,1142.0,85.6634624004364,804.0
orb7,343.0,1406.0,106.47779703140259,333.0
orb8,689.0,1022.0,75.1639678478241,673.0
orb9,788.0,2300.0,176.3604233264923,742.0
