,6-idle-simple2-fjsp-2000-vdata,converged_iterations,total_time,min
abz5,879.0,2063.0,155.98821210861206,866.0
abz6,751.0,1475.0,111.65280246734619,742.0
abz7,499.0,2786.0,806.3859832286835,496.0
abz8,514.0,1664.0,470.42340779304504,512.0
abz9,502.0,4856.0,1400.0766334533691,501.0
car1,5049.0,2756.0,146.39980578422546,5049.0
car2,5958.0,2354.0,120.85709929466248,5949.0
car3,5842.0,2405.0,134.84132409095764,5704.0
car4,6713.0,1799.0,98.86144495010376,6572.0
car5,5259.0,1568.0,84.5709331035614,5139.0
car6,5486.0,875.0,49.195168256759644,5486.0
car7,4794.0,866.0,38.02128267288208,4617.0
car8,4808.0,659.0,33.56318736076355,4808.0
la01,580.0,2000.0,97.90899586677551,575.0
la02,537.0,2588.0,127.86339139938354,537.0
la03,498.0,1163.0,55.81223964691162,485.0
la04,518.0,1907.0,94.81062197685242,509.0
la05,466.0,2258.0,111.01050543785095,460.0
la06,808.0,1649.0,109.32094073295593,801.0
la07,761.0,2246.0,150.118408203125,754.0
la08,772.0,2156.0,147.98848795890808,768.0
la09,868.0,1901.0,130.85209012031555,856.0
la10,808.0,2909.0,203.4198067188263,807.0
la11,1080.0,5531.0,748.0699706077576,1073.0
la12,942.0,2270.0,293.18402218818665,938.0
la13,1043.0,4532.0,603.35986161232,1040.0
la14,1074.0,2231.0,286.2152011394501,1071.0
la15,1094.0,4439.0,583.99538230896,1090.0
la16,717.0,1208.0,92.60919642448425,717.0
la17,647.0,1001.0,74.93249535560608,646.0
la18,667.0,2336.0,179.08989906311035,663.0
la19,623.0,1526.0,118.49142050743103,619.0
la20,759.0,1970.0,152.10160207748413,756.0
la21,814.0,3776.0,614.3424644470215,805.0
la22,758.0,3221.0,511.0645866394043,748.0
la23,829.0,7208.0,1191.610292673111,822.0
la24,786.0,3731.0,607.9079005718231,779.0
la25,784.0,1133.0,174.12957119941711,772.0
la26,1058.0,1799.0,374.06077098846436,1057.0
la27,1090.0,5018.0,1077.3988163471222,1087.0
la28,1082.0,5738.0,1254.7052760124207,1076.0
la29,1003.0,7010.0,1477.909615278244,999.0
la30,1083.0,4583.0,976.5706276893616,1077.0
la31,1523.0,3455.0,1197.2706143856049,1522.0
la32,1677.0,5285.0,1680.0516302585602,1666.0
la33,1507.0,7697.0,2628.310510635376,1500.0
la34,1543.0,4517.0,1514.7783041000366,1538.0
la35,1558.0,5180.0,1772.140662431717,1553.0
la36,956.0,1928.0,400.36927223205566,948.0
la37,999.0,1943.0,399.68810391426086,987.0
la38,949.0,1172.0,226.81961584091187,943.0
la39,933.0,1403.0,289.2515618801117,933.0
la40,958.0,1493.0,319.283047914505,955.0
mt06,47.0,362.0,13.179758548736572,47.0
mt10,658.0,1031.0,80.62171769142151,655.0
mt20,1031.0,1628.0,218.8720052242279,1025.0
orb1,715.0,884.0,65.49126434326172,695.0
orb10,691.0,2186.0,173.44652700424194,682.0
orb2,643.0,914.0,67.03631687164307,627.0
orb3,671.0,1328.0,100.37588787078857,649.0
orb4,753.0,2975.0,236.59216690063477,753.0
orb5,594.0,1247.0,95.09659600257874,584.0
orb6,715.0,644.0,45.0569326877594,715.0
orb7,284.0,1265.0,93.19417023658752,279.0
orb8,604.0,1916.0,147.79910564422607,585.0
orb9,663.0,1109.0,82.4912359714508,659.0
