,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO,LPT,LWKR,FDD/LWKR,LOPNR,SRM,LIFO
mt10c1,1023,1129,1193,1153,1086,1234,1303,1334,1201,1343,1334,1182
mt10cc,1144,1088,1163,1087,1026,1194,1224,1367,1207,1280,1367,1182
mt10x,1060,1114,1164,1163,1090,1258,1295,1275,1312,1453,1306,1273
mt10xx,1060,1114,1169,1163,1090,1216,1295,1308,1223,1463,1342,1196
mt10xxx,1060,1114,1157,1163,1090,1216,1295,1308,1229,1301,1342,1141
mt10xy,1055,1099,1157,1155,1060,1223,1247,1122,1232,1252,1122,1130
mt10xyz,1012,970,1049,1121,952,1053,1188,1035,1103,1260,1053,1120
setb4c9,1149,1128,1270,1054,1074,1194,1262,1321,1218,1437,1499,1248
setb4cc,1130,1094,1290,1106,1074,1207,1169,1316,1409,1465,1499,1157
setb4x,1222,1118,1105,1149,1066,1132,1342,1332,1432,1404,1237,1202
setb4xx,1222,1112,1117,1149,1060,1132,1342,1332,1279,1243,1237,1138
setb4xxx,1222,1112,1151,1149,1060,1132,1342,1332,1279,1243,1237,1138
setb4xy,1024,1118,1147,1149,1066,1111,1342,1340,1171,1266,1246,1108
setb4xyz,1093,1044,1035,1047,1066,1071,1325,1235,1198,1078,1206,1101
seti5c12,1505,1352,1694,1358,1345,1348,1516,1570,1596,1687,1449,1498
seti5cc,1477,1270,1402,1294,1277,1479,1626,1560,1675,1462,1576,1584
seti5x,1484,1433,1643,1366,1385,1562,1726,1588,1645,1724,1713,1489
seti5xx,1659,1433,1462,1366,1385,1562,1726,1568,1706,1724,1713,1489
seti5xxx,1654,1433,1462,1366,1385,1562,1726,1568,1706,1724,1713,1489
seti5xy,1477,1270,1402,1294,1277,1479,1626,1560,1675,1462,1576,1584
seti5xyz,1379,1246,1330,1280,1305,1506,1441,1812,1537,1437,1840,1368
