,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO,LPT,LWKR,FDD/LWKR,LOPNR,SRM,LIFO
abz5,1318,1310,1362,1338,1299,1307,1562,1699,1440,1616,1602,1518
abz6,1154,987,1254,1097,989,1045,1207,1316,1174,1401,1154,1137
abz7,876,738,893,704,745,785,833,929,925,866,921,893
abz8,877,732,855,784,798,833,891,1144,866,977,890,884
abz9,921,801,843,835,828,817,835,947,962,965,992,1000
car1,7251,7897,8240,8033,7816,7506,8770,8100,8240,8240,9285,8240
car2,7329,8547,7819,7819,8156,7819,8767,7909,7819,7819,8817,7819
car3,8026,8898,9500,9756,8322,9710,10580,8843,9500,9500,9239,9769
car4,8845,9446,9390,9604,8770,9660,11328,9187,9390,9390,10383,9287
car5,8175,7952,9691,9206,7605,8627,9698,9838,9691,9691,10314,9969
car6,8837,10047,10228,10228,10941,10228,9507,10016,10228,10228,9493,10526
car7,7420,7352,7690,7690,6944,7690,7943,8519,7690,7690,7984,7690
car8,9666,9010,9769,9156,8752,9884,9523,9809,9769,9769,9809,9060
la01,712,688,957,778,642,782,961,878,957,957,957,957
la02,837,767,838,775,789,775,927,822,838,949,840,777
la03,684,657,729,632,657,697,703,723,728,728,763,731
la04,668,719,784,673,686,680,769,891,780,743,742,780
la05,581,568,606,530,587,524,638,726,606,671,642,692
la06,1226,968,1060,968,926,938,1172,1093,1104,1083,1155,1044
la07,844,968,959,927,870,977,972,1143,972,986,1065,1032
la08,1021,906,966,961,893,935,1111,1176,966,1149,1136,1088
la09,1028,1035,1068,1005,933,1062,1074,1187,1068,1136,1207,1225
la10,978,937,998,929,937,927,1047,1111,1049,1067,1111,1023
la11,1373,1212,1424,1252,1229,1271,1350,1399,1424,1383,1569,1350
la12,1111,1010,1235,1013,1001,1036,1234,1492,1235,1415,1244,1463
la13,1314,1236,1210,1127,1154,1188,1267,1415,1266,1404,1372,1299
la14,1394,1167,1348,1163,1163,1193,1357,1573,1380,1346,1679,1307
la15,1213,1285,1391,1366,1366,1359,1485,1556,1521,1453,1679,1451
la16,1085,1053,1220,1143,1038,1170,1194,1042,1087,1339,1042,1104
la17,966,781,875,794,813,883,946,1047,881,1000,1047,897
la18,987,916,971,949,902,1049,1183,1258,1101,1258,1168,1158
la19,972,950,1003,1065,963,964,996,1190,1003,1066,1194,984
la20,975,947,1191,1172,982,1102,1031,1219,1185,1202,1206,1108
la21,1432,1209,1356,1274,1222,1286,1359,1474,1480,1486,1476,1374
la22,1243,1016,1268,1098,1017,1160,1401,1457,1078,1309,1513,1274
la23,1235,1144,1390,1129,1171,1117,1398,1531,1390,1265,1534,1328
la24,1102,1129,1402,1089,1092,1118,1320,1203,1296,1420,1400,1447
la25,1259,1127,1287,1097,1119,1224,1329,1514,1287,1376,1418,1355
la26,1498,1385,1590,1276,1283,1474,1576,1722,1514,1826,1711,1711
la27,1676,1416,1908,1455,1331,1565,1785,1899,1922,2015,1881,1704
la28,1441,1441,1524,1411,1365,1414,1600,1875,1567,1879,1895,1822
la29,1538,1389,1648,1305,1294,1418,1674,1585,1648,1820,1719,1672
la30,1626,1481,1698,1475,1398,1490,1704,1774,1616,1739,1738,1778
la31,1990,1838,2030,1823,1738,1859,2279,2273,2122,2130,2174,2052
la32,2313,1920,2238,1886,1995,2037,2226,2392,2238,2395,2402,2390
la33,2082,1788,2127,1723,1728,1841,2217,2025,2308,2263,2226,2163
la34,1918,1882,2116,1883,1811,1879,1967,2151,2194,2183,2218,2132
la35,2135,1995,2309,2044,1901,2080,2252,2283,2235,2449,2473,2383
la36,1671,1362,1514,1464,1362,1458,1623,1747,1601,1577,1625,1456
la37,1809,1566,1639,1704,1606,1646,1740,1902,1797,1888,1945,1855
la38,1508,1324,1446,1426,1341,1442,1690,1672,1783,1706,1726,1602
la39,1559,1399,1602,1459,1377,1492,1680,1709,1507,1573,1588,1542
la40,1260,1336,1510,1420,1361,1390,1502,1614,1666,1736,1539,1399
mt06,83,61,64,55,60,55,72,83,64,64,83,64
mt10,1135,985,1198,1049,1034,1081,1156,1066,1177,1337,1066,1300
mt20,1360,1454,1536,1537,1447,1545,1613,1446,1536,1402,1393,1393
orb1,1170,1230,1175,1270,1168,1298,1395,1384,1168,1186,1306,1218
orb10,1122,1183,1253,1321,1093,1273,1341,1156,1293,1310,1270,1206
orb2,1005,1070,1246,1092,1039,1007,1313,1129,1039,1194,1140,1229
orb3,1152,1183,1227,1400,1216,1239,1363,1228,1292,1361,1346,1304
orb4,1301,1181,1247,1319,1150,1339,1399,1369,1361,1340,1377,1376
orb5,1071,1041,1093,1030,955,1211,984,1084,1115,1141,1118,1130
orb6,1231,1247,1382,1202,1226,1232,1327,1253,1279,1377,1253,1230
orb7,504,480,467,482,474,447,555,491,467,500,543,491
orb8,1077,1107,1157,1239,1030,1277,1073,1112,1197,1137,1291,1051
orb9,1152,1176,1102,1128,1115,1263,1283,1190,1273,1399,1247,1250
