,episode,make_span,reward,min make span
0,0.0,2096.0,-3.222222222222222,2096.0
1,0.0,2153.0,-8.555555555555555,2096.0
2,0.0,2105.0,-4.262626262626262,2096.0
3,1.0,2108.0,-4.898989898989899,2096.0
4,1.0,2108.0,-4.545454545454545,2096.0
5,1.0,2111.0,-4.494949494949495,2096.0
6,2.0,2103.0,-4.04040404040404,2096.0
7,2.0,2103.0,-4.232323232323233,2096.0
8,2.0,2113.0,-5.121212121212121,2096.0
9,3.0,2110.0,-4.242424242424242,2096.0
10,3.0,2146.0,-7.505050505050505,2096.0
11,3.0,2123.0,-5.515151515151515,2096.0
12,4.0,2126.0,-6.181818181818182,2096.0
13,4.0,2104.0,-3.9595959595959593,2096.0
14,4.0,2120.0,-5.505050505050505,2096.0
15,5.0,2126.0,-5.707070707070708,2096.0
16,5.0,2166.0,-9.484848484848484,2096.0
17,5.0,2120.0,-5.494949494949495,2096.0
18,6.0,2113.0,-4.929292929292929,2096.0
19,6.0,2111.0,-4.828282828282828,2096.0
20,6.0,2068.0,-1.6262626262626263,2068.0
21,7.0,2111.0,-4.444444444444445,2068.0
22,7.0,2113.0,-5.05050505050505,2068.0
23,7.0,2132.0,-6.686868686868687,2068.0
24,8.0,2119.0,-5.202020202020202,2068.0
25,8.0,2108.0,-4.363636363636363,2068.0
26,8.0,2156.0,-8.404040404040405,2068.0
27,9.0,2120.0,-5.636363636363636,2068.0
28,9.0,2111.0,-5.04040404040404,2068.0
29,9.0,2148.0,-8.11111111111111,2068.0
30,10.0,2127.0,-5.505050505050505,2068.0
31,10.0,2080.0,-2.797979797979798,2068.0
32,10.0,2101.0,-3.6969696969696972,2068.0
33,11.0,2093.0,-3.090909090909091,2068.0
34,11.0,2126.0,-5.525252525252525,2068.0
35,11.0,2089.0,-3.3030303030303028,2068.0
36,12.0,2107.0,-4.252525252525253,2068.0
37,12.0,2162.0,-9.151515151515152,2068.0
38,12.0,2119.0,-6.080808080808081,2068.0
39,13.0,2187.0,-11.454545454545453,2068.0
40,13.0,2167.0,-9.202020202020202,2068.0
41,13.0,2096.0,-3.6060606060606064,2068.0
