,episode,make_span,reward,min make span
0,0.0,222.0,-16.42105263157895,222.0
1,0.0,234.0,-24.15789473684211,222.0
2,0.0,268.0,-33.578947368421055,222.0
3,1.0,228.0,-19.684210526315788,222.0
4,1.0,213.0,-12.105263157894738,213.0
5,1.0,240.0,-23.999999999999996,213.0
6,2.0,237.0,-20.315789473684212,213.0
7,2.0,245.0,-20.526315789473685,213.0
8,2.0,228.0,-14.73684210526316,213.0
9,3.0,225.0,-15.894736842105264,213.0
10,3.0,211.0,-9.315789473684209,211.0
11,3.0,235.0,-15.578947368421053,211.0
12,4.0,222.0,-13.210526315789474,211.0
13,4.0,220.0,-10.315789473684209,211.0
14,4.0,228.0,-15.105263157894736,211.0
15,5.0,230.0,-12.210526315789476,211.0
16,5.0,244.0,-21.052631578947366,211.0
17,5.0,234.0,-17.526315789473685,211.0
18,6.0,213.0,-10.631578947368421,211.0
19,6.0,272.0,-32.578947368421055,211.0
20,6.0,213.0,-9.842105263157894,211.0
21,7.0,237.0,-23.842105263157894,211.0
22,7.0,223.0,-14.68421052631579,211.0
23,7.0,220.0,-11.263157894736842,211.0
24,8.0,232.0,-19.157894736842103,211.0
25,8.0,246.0,-24.736842105263158,211.0
26,8.0,213.0,-9.578947368421053,211.0
27,9.0,204.0,-5.63157894736842,204.0
28,9.0,211.0,-8.578947368421051,204.0
29,9.0,225.0,-17.210526315789473,204.0
30,10.0,255.0,-25.473684210526315,204.0
31,10.0,204.0,-8.526315789473683,204.0
32,10.0,223.0,-17.63157894736842,204.0
33,11.0,223.0,-13.578947368421053,204.0
34,11.0,223.0,-14.526315789473685,204.0
35,11.0,225.0,-19.157894736842103,204.0
36,12.0,225.0,-14.947368421052632,204.0
37,12.0,239.0,-23.894736842105267,204.0
38,12.0,211.0,-5.578947368421051,204.0
39,13.0,235.0,-16.31578947368421,204.0
40,13.0,216.0,-8.894736842105264,204.0
41,13.0,228.0,-12.894736842105264,204.0
42,14.0,216.0,-11.157894736842106,204.0
43,14.0,225.0,-16.421052631578945,204.0
44,14.0,213.0,-12.0,204.0
45,15.0,204.0,-6.68421052631579,204.0
46,15.0,228.0,-18.842105263157897,204.0
