,episode,make_span,reward,min make span
0,0.0,808.0,-116.94999999999999,808.0
1,0.0,794.0,-111.69999999999997,794.0
2,0.0,813.0,-118.82500000000006,794.0
3,1.0,829.0,-124.82499999999996,794.0
4,1.0,834.0,-126.69999999999996,794.0
5,1.0,846.0,-131.20000000000002,794.0
6,2.0,788.0,-109.45000000000005,788.0
7,2.0,840.0,-128.95000000000005,788.0
8,2.0,838.0,-128.19999999999996,788.0
9,3.0,861.0,-136.82499999999996,788.0
10,3.0,810.0,-117.70000000000003,788.0
11,3.0,830.0,-125.19999999999997,788.0
12,4.0,833.0,-126.32500000000005,788.0
13,4.0,861.0,-136.82499999999996,788.0
14,4.0,866.0,-138.70000000000002,788.0
15,5.0,813.0,-118.82500000000003,788.0
16,5.0,823.0,-122.575,788.0
17,5.0,830.0,-125.20000000000002,788.0
18,6.0,854.0,-134.2,788.0
19,6.0,819.0,-121.07500000000002,788.0
20,6.0,821.0,-121.82500000000002,788.0
21,7.0,836.0,-127.44999999999995,788.0
22,7.0,814.0,-119.20000000000002,788.0
23,7.0,827.0,-124.07500000000003,788.0
24,8.0,842.0,-129.7,788.0
25,8.0,847.0,-131.57499999999996,788.0
26,8.0,837.0,-127.82499999999996,788.0
27,9.0,810.0,-117.70000000000006,788.0
28,9.0,926.0,-161.20000000000002,788.0
29,9.0,824.0,-122.95,788.0
30,10.0,797.0,-112.82499999999999,788.0
31,10.0,840.0,-128.95000000000002,788.0
32,10.0,813.0,-118.825,788.0
33,11.0,837.0,-127.82499999999999,788.0
34,11.0,800.0,-113.95000000000002,788.0
35,11.0,795.0,-112.075,788.0
36,12.0,845.0,-130.825,788.0
37,12.0,829.0,-124.825,788.0
38,12.0,795.0,-112.07500000000002,788.0
39,13.0,803.0,-115.07500000000003,788.0
40,13.0,805.0,-115.825,788.0
41,13.0,776.0,-104.95000000000003,776.0
42,14.0,790.0,-110.2,776.0
43,14.0,847.0,-131.575,776.0
44,14.0,838.0,-128.2000000000001,776.0
45,15.0,792.0,-110.94999999999999,776.0
46,15.0,845.0,-130.82500000000002,776.0
47,15.0,836.0,-127.44999999999997,776.0
48,16.0,806.0,-116.19999999999999,776.0
49,16.0,818.0,-120.69999999999997,776.0
50,16.0,867.0,-139.07499999999993,776.0
51,17.0,840.0,-128.95,776.0
52,17.0,843.0,-130.07499999999996,776.0
53,17.0,807.0,-116.575,776.0
54,18.0,792.0,-110.95000000000003,776.0
55,18.0,825.0,-123.32499999999996,776.0
56,18.0,807.0,-116.57499999999997,776.0
57,19.0,808.0,-116.94999999999999,776.0
58,19.0,825.0,-123.32500000000006,776.0
59,19.0,802.0,-114.69999999999999,776.0
60,20.0,808.0,-116.95000000000003,776.0
61,20.0,805.0,-115.82500000000006,776.0
62,20.0,847.0,-131.575,776.0
63,21.0,807.0,-116.57499999999999,776.0
64,21.0,803.0,-115.075,776.0
65,21.0,789.0,-109.825,776.0
66,22.0,783.0,-107.57500000000002,776.0
67,22.0,836.0,-127.44999999999995,776.0
68,22.0,796.0,-112.44999999999997,776.0
69,23.0,796.0,-112.45000000000002,776.0
70,23.0,847.0,-131.57500000000005,776.0
71,23.0,837.0,-127.825,776.0
72,24.0,830.0,-125.20000000000002,776.0
73,24.0,823.0,-122.57499999999997,776.0
74,24.0,835.0,-127.07499999999999,776.0
75,25.0,803.0,-115.07500000000002,776.0
76,25.0,823.0,-122.57499999999996,776.0
77,25.0,789.0,-109.82500000000002,776.0
78,26.0,828.0,-124.45000000000003,776.0
79,26.0,768.0,-101.95000000000005,768.0
80,26.0,816.0,-119.95000000000006,768.0
81,27.0,803.0,-115.075,768.0
82,27.0,843.0,-130.07500000000002,768.0
83,27.0,840.0,-128.94999999999996,768.0
84,28.0,855.0,-134.57500000000005,768.0
85,28.0,818.0,-120.70000000000002,768.0
86,28.0,795.0,-112.07500000000002,768.0
87,29.0,838.0,-128.1999999999999,768.0
88,29.0,791.0,-110.57499999999999,768.0
89,29.0,811.0,-118.07499999999996,768.0
90,30.0,798.0,-113.2,768.0
91,30.0,848.0,-131.95,768.0
92,30.0,797.0,-112.82500000000003,768.0
93,31.0,858.0,-135.7,768.0
94,31.0,787.0,-109.07499999999999,768.0
95,31.0,835.0,-127.075,768.0
96,32.0,836.0,-127.44999999999995,768.0
97,32.0,854.0,-134.20000000000002,768.0
98,32.0,785.0,-108.325,768.0
99,33.0,806.0,-116.19999999999997,768.0
100,33.0,793.0,-111.32500000000003,768.0
101,33.0,844.0,-130.45000000000007,768.0
102,34.0,814.0,-119.2,768.0
103,34.0,824.0,-122.95000000000002,768.0
104,34.0,789.0,-109.82499999999995,768.0
105,35.0,850.0,-132.70000000000005,768.0
106,35.0,770.0,-102.69999999999999,768.0
107,35.0,815.0,-119.57500000000003,768.0
108,36.0,820.0,-121.45000000000002,768.0
109,36.0,819.0,-121.075,768.0
110,36.0,822.0,-122.19999999999999,768.0
111,37.0,855.0,-134.575,768.0
112,37.0,799.0,-113.57499999999993,768.0
113,37.0,873.0,-141.32500000000002,768.0
114,38.0,811.0,-118.07499999999999,768.0
115,38.0,808.0,-116.94999999999999,768.0
116,38.0,833.0,-126.325,768.0
117,39.0,790.0,-110.19999999999997,768.0
118,39.0,797.0,-112.82500000000003,768.0
119,39.0,834.0,-126.69999999999997,768.0
120,40.0,797.0,-112.82500000000003,768.0
121,40.0,799.0,-113.57499999999999,768.0
122,40.0,799.0,-113.57499999999999,768.0
123,41.0,782.0,-107.2,768.0
124,41.0,810.0,-117.70000000000005,768.0
125,41.0,842.0,-129.69999999999996,768.0
126,42.0,800.0,-113.95000000000005,768.0
127,42.0,879.0,-143.57500000000005,768.0
128,42.0,824.0,-122.95000000000005,768.0
129,43.0,795.0,-112.07500000000002,768.0
130,43.0,821.0,-121.82499999999999,768.0
131,43.0,824.0,-122.95,768.0
132,44.0,789.0,-109.82499999999999,768.0
133,44.0,797.0,-112.82500000000006,768.0
134,44.0,812.0,-118.44999999999997,768.0
135,45.0,835.0,-127.075,768.0
136,45.0,796.0,-112.45,768.0
137,45.0,781.0,-106.82499999999997,768.0
138,46.0,798.0,-113.20000000000003,768.0
139,46.0,783.0,-107.57500000000002,768.0
140,46.0,844.0,-130.44999999999996,768.0
141,47.0,813.0,-118.82500000000005,768.0
142,47.0,796.0,-112.44999999999996,768.0
143,47.0,785.0,-108.32499999999995,768.0
144,48.0,787.0,-109.07499999999999,768.0
145,48.0,860.0,-136.45000000000002,768.0
146,48.0,852.0,-133.45,768.0
147,49.0,861.0,-136.8250000000001,768.0
148,49.0,852.0,-133.44999999999996,768.0
149,49.0,810.0,-117.69999999999997,768.0
150,50.0,793.0,-111.325,768.0
151,50.0,842.0,-129.70000000000002,768.0
152,50.0,796.0,-112.45000000000005,768.0
153,51.0,808.0,-116.94999999999999,768.0
154,51.0,874.0,-141.7,768.0
155,51.0,820.0,-121.45000000000005,768.0
156,52.0,777.0,-105.325,768.0
157,52.0,789.0,-109.825,768.0
158,52.0,798.0,-113.19999999999999,768.0
159,53.0,821.0,-121.82500000000005,768.0
160,53.0,797.0,-112.82500000000003,768.0
161,53.0,799.0,-113.57499999999997,768.0
162,54.0,836.0,-127.45000000000002,768.0
163,54.0,830.0,-125.20000000000005,768.0
164,54.0,821.0,-121.82499999999997,768.0
165,55.0,818.0,-120.69999999999999,768.0
166,55.0,820.0,-121.45000000000007,768.0
167,55.0,839.0,-128.57500000000002,768.0
168,56.0,796.0,-112.44999999999999,768.0
169,56.0,813.0,-118.82500000000002,768.0
170,56.0,805.0,-115.82500000000003,768.0
171,57.0,793.0,-111.32500000000002,768.0
172,57.0,831.0,-125.57499999999997,768.0
173,57.0,819.0,-121.07499999999999,768.0
174,58.0,799.0,-113.57500000000003,768.0
175,58.0,805.0,-115.82499999999997,768.0
176,58.0,826.0,-123.7,768.0
177,59.0,816.0,-119.94999999999999,768.0
178,59.0,800.0,-113.95,768.0
179,59.0,817.0,-120.32499999999996,768.0
180,60.0,889.0,-147.325,768.0
181,60.0,813.0,-118.82500000000006,768.0
182,60.0,779.0,-106.07499999999996,768.0
183,61.0,839.0,-128.57500000000005,768.0
184,61.0,811.0,-118.07500000000005,768.0
185,61.0,904.0,-152.95000000000005,768.0
186,62.0,792.0,-110.94999999999995,768.0
187,62.0,803.0,-115.07499999999993,768.0
188,62.0,821.0,-121.82500000000005,768.0
189,63.0,775.0,-104.57500000000003,768.0
190,63.0,811.0,-118.07500000000003,768.0
191,63.0,807.0,-116.57499999999995,768.0
192,64.0,776.0,-104.94999999999999,768.0
193,64.0,824.0,-122.94999999999999,768.0
194,64.0,830.0,-125.2,768.0
195,65.0,823.0,-122.57499999999995,768.0
196,65.0,791.0,-110.57500000000005,768.0
197,65.0,849.0,-132.32500000000002,768.0
198,66.0,832.0,-125.95,768.0
199,66.0,828.0,-124.44999999999999,768.0
200,66.0,765.0,-100.82500000000007,765.0
201,67.0,873.0,-141.32500000000002,765.0
202,67.0,806.0,-116.2,765.0
203,67.0,805.0,-115.82499999999996,765.0
204,68.0,851.0,-133.07499999999993,765.0
