,episode,make_span,reward,min make span
0,0.0,732.0,-10.272727272727273,732.0
1,0.0,813.0,-14.363636363636365,732.0
2,0.0,809.0,-14.161616161616163,732.0
3,1.0,815.0,-14.464646464646464,732.0
4,1.0,761.0,-11.737373737373737,732.0
5,1.0,872.0,-17.343434343434346,732.0
6,2.0,777.0,-12.545454545454547,732.0
7,2.0,839.0,-15.676767676767678,732.0
8,2.0,795.0,-13.454545454545455,732.0
9,3.0,761.0,-11.737373737373737,732.0
10,3.0,789.0,-13.151515151515152,732.0
11,3.0,795.0,-13.454545454545457,732.0
12,4.0,796.0,-13.505050505050505,732.0
13,4.0,759.0,-11.636363636363637,732.0
14,4.0,847.0,-16.08080808080808,732.0
15,5.0,800.0,-13.707070707070708,732.0
16,5.0,781.0,-12.747474747474747,732.0
17,5.0,847.0,-16.08080808080808,732.0
18,6.0,806.0,-14.01010101010101,732.0
19,6.0,889.0,-18.2020202020202,732.0
20,6.0,808.0,-14.11111111111111,732.0
21,7.0,830.0,-15.222222222222221,732.0
22,7.0,811.0,-14.262626262626263,732.0
23,7.0,795.0,-13.454545454545453,732.0
24,8.0,741.0,-10.727272727272728,732.0
25,8.0,767.0,-12.04040404040404,732.0
26,8.0,761.0,-11.737373737373737,732.0
27,9.0,790.0,-13.202020202020204,732.0
28,9.0,767.0,-12.040404040404042,732.0
29,9.0,834.0,-15.424242424242426,732.0
30,10.0,758.0,-11.585858585858585,732.0
31,10.0,795.0,-13.454545454545455,732.0
32,10.0,767.0,-12.040404040404042,732.0
33,11.0,772.0,-12.29292929292929,732.0
34,11.0,809.0,-14.16161616161616,732.0
35,11.0,761.0,-11.737373737373737,732.0
36,12.0,802.0,-13.808080808080808,732.0
37,12.0,769.0,-12.141414141414142,732.0
38,12.0,785.0,-12.94949494949495,732.0
39,13.0,774.0,-12.393939393939394,732.0
40,13.0,780.0,-12.696969696969697,732.0
41,13.0,784.0,-12.8989898989899,732.0
42,14.0,816.0,-14.515151515151516,732.0
43,14.0,746.0,-10.97979797979798,732.0
44,14.0,767.0,-12.040404040404042,732.0
45,15.0,864.0,-16.939393939393938,732.0
46,15.0,821.0,-14.767676767676766,732.0
47,15.0,773.0,-12.343434343434344,732.0
48,16.0,826.0,-15.02020202020202,732.0
49,16.0,720.0,-9.666666666666666,720.0
50,16.0,797.0,-13.555555555555557,720.0
51,17.0,761.0,-11.737373737373739,720.0
52,17.0,795.0,-13.454545454545455,720.0
53,17.0,767.0,-12.04040404040404,720.0
54,18.0,787.0,-13.050505050505048,720.0
55,18.0,727.0,-10.02020202020202,720.0
56,18.0,841.0,-15.777777777777779,720.0
57,19.0,813.0,-14.363636363636363,720.0
58,19.0,807.0,-14.060606060606059,720.0
59,19.0,727.0,-10.02020202020202,720.0
60,20.0,821.0,-14.767676767676768,720.0
61,20.0,815.0,-14.464646464646465,720.0
62,20.0,775.0,-12.444444444444445,720.0
63,21.0,754.0,-11.383838383838384,720.0
64,21.0,809.0,-14.16161616161616,720.0
65,21.0,802.0,-13.808080808080808,720.0
66,22.0,727.0,-10.02020202020202,720.0
67,22.0,869.0,-17.19191919191919,720.0
68,22.0,815.0,-14.464646464646464,720.0
69,23.0,795.0,-13.454545454545455,720.0
70,23.0,777.0,-12.545454545454543,720.0
71,23.0,825.0,-14.969696969696969,720.0
72,24.0,746.0,-10.97979797979798,720.0
73,24.0,822.0,-14.818181818181818,720.0
74,24.0,873.0,-17.393939393939394,720.0
75,25.0,767.0,-12.04040404040404,720.0
76,25.0,795.0,-13.454545454545455,720.0
77,25.0,767.0,-12.040404040404042,720.0
78,26.0,775.0,-12.444444444444445,720.0
79,26.0,775.0,-12.444444444444445,720.0
80,26.0,868.0,-17.141414141414142,720.0
81,27.0,800.0,-13.707070707070708,720.0
82,27.0,809.0,-14.161616161616163,720.0
83,27.0,727.0,-10.02020202020202,720.0
84,28.0,815.0,-14.464646464646465,720.0
85,28.0,811.0,-14.262626262626263,720.0
86,28.0,727.0,-10.020202020202019,720.0
87,29.0,777.0,-12.545454545454545,720.0
88,29.0,834.0,-15.424242424242426,720.0
89,29.0,720.0,-9.666666666666668,720.0
90,30.0,758.0,-11.585858585858585,720.0
91,30.0,727.0,-10.02020202020202,720.0
92,30.0,825.0,-14.96969696969697,720.0
93,31.0,838.0,-15.626262626262626,720.0
94,31.0,768.0,-12.09090909090909,720.0
95,31.0,727.0,-10.020202020202019,720.0
96,32.0,754.0,-11.383838383838384,720.0
97,32.0,775.0,-12.444444444444445,720.0
98,32.0,775.0,-12.444444444444443,720.0
99,33.0,825.0,-14.96969696969697,720.0
100,33.0,809.0,-14.161616161616163,720.0
101,33.0,729.0,-10.121212121212121,720.0
102,34.0,727.0,-10.02020202020202,720.0
103,34.0,768.0,-12.090909090909092,720.0
104,34.0,840.0,-15.727272727272727,720.0
105,35.0,820.0,-14.717171717171716,720.0
106,35.0,775.0,-12.444444444444445,720.0
107,35.0,727.0,-10.02020202020202,720.0
108,36.0,767.0,-12.04040404040404,720.0
109,36.0,727.0,-10.02020202020202,720.0
110,36.0,758.0,-11.585858585858585,720.0
111,37.0,761.0,-11.737373737373737,720.0
112,37.0,727.0,-10.02020202020202,720.0
113,37.0,727.0,-10.02020202020202,720.0
114,38.0,727.0,-10.020202020202019,720.0
115,38.0,775.0,-12.444444444444445,720.0
116,38.0,727.0,-10.020202020202019,720.0
117,39.0,775.0,-12.444444444444445,720.0
118,39.0,775.0,-12.444444444444445,720.0
119,39.0,802.0,-13.80808080808081,720.0
120,40.0,761.0,-11.737373737373737,720.0
121,40.0,795.0,-13.454545454545453,720.0
122,40.0,727.0,-10.02020202020202,720.0
123,41.0,775.0,-12.444444444444445,720.0
124,41.0,797.0,-13.555555555555557,720.0
125,41.0,727.0,-10.02020202020202,720.0
126,42.0,815.0,-14.464646464646464,720.0
127,42.0,739.0,-10.626262626262626,720.0
128,42.0,727.0,-10.02020202020202,720.0
129,43.0,727.0,-10.02020202020202,720.0
130,43.0,775.0,-12.444444444444445,720.0
131,43.0,855.0,-16.484848484848484,720.0
132,44.0,775.0,-12.444444444444445,720.0
133,44.0,754.0,-11.383838383838384,720.0
134,44.0,815.0,-14.464646464646465,720.0
135,45.0,739.0,-10.626262626262625,720.0
136,45.0,845.0,-15.97979797979798,720.0
137,45.0,812.0,-14.313131313131315,720.0
138,46.0,775.0,-12.444444444444445,720.0
139,46.0,727.0,-10.020202020202019,720.0
140,46.0,775.0,-12.444444444444445,720.0
141,47.0,775.0,-12.444444444444445,720.0
142,47.0,727.0,-10.02020202020202,720.0
143,47.0,775.0,-12.444444444444445,720.0
144,48.0,727.0,-10.02020202020202,720.0
145,48.0,727.0,-10.020202020202019,720.0
146,48.0,772.0,-12.29292929292929,720.0
147,49.0,775.0,-12.444444444444443,720.0
148,49.0,777.0,-12.545454545454547,720.0
149,49.0,727.0,-10.02020202020202,720.0
150,50.0,795.0,-13.454545454545455,720.0
