,episode,make_span,reward,min make span
0,0.0,1120.0,-95.46464646464645,1120.0
1,0.0,1119.0,-95.33333333333331,1119.0
2,0.0,1155.0,-100.06060606060608,1119.0
3,1.0,1177.0,-102.94949494949496,1119.0
4,1.0,1124.0,-95.98989898989902,1119.0
5,1.0,1144.0,-98.61616161616163,1119.0
6,2.0,1160.0,-100.7171717171717,1119.0
7,2.0,1086.0,-90.99999999999999,1086.0
8,2.0,1177.0,-102.94949494949496,1086.0
9,3.0,1185.0,-104.0,1086.0
10,3.0,1131.0,-96.90909090909093,1086.0
11,3.0,1232.0,-110.17171717171718,1086.0
12,4.0,1192.0,-104.91919191919193,1086.0
13,4.0,1223.0,-108.98989898989902,1086.0
14,4.0,1158.0,-100.45454545454547,1086.0
15,5.0,1219.0,-108.46464646464645,1086.0
16,5.0,1143.0,-98.4848484848485,1086.0
17,5.0,1175.0,-102.68686868686869,1086.0
18,6.0,1119.0,-95.33333333333331,1086.0
19,6.0,1129.0,-96.64646464646462,1086.0
20,6.0,1136.0,-97.56565656565662,1086.0
21,7.0,1252.0,-112.79797979797978,1086.0
22,7.0,1171.0,-102.16161616161617,1086.0
23,7.0,1151.0,-99.53535353535354,1086.0
24,8.0,1157.0,-100.32323232323232,1086.0
25,8.0,1135.0,-97.43434343434346,1086.0
26,8.0,1113.0,-94.54545454545456,1086.0
27,9.0,1222.0,-108.85858585858587,1086.0
28,9.0,1148.0,-99.14141414141417,1086.0
29,9.0,1146.0,-98.87878787878789,1086.0
30,10.0,1176.0,-102.81818181818183,1086.0
31,10.0,1218.0,-108.3333333333333,1086.0
32,10.0,1202.0,-106.23232323232322,1086.0
33,11.0,1115.0,-94.8080808080808,1086.0
34,11.0,1227.0,-109.5151515151515,1086.0
35,11.0,1179.0,-103.2121212121212,1086.0
36,12.0,1151.0,-99.53535353535356,1086.0
37,12.0,1187.0,-104.26262626262627,1086.0
38,12.0,1151.0,-99.53535353535354,1086.0
39,13.0,1172.0,-102.29292929292936,1086.0
40,13.0,1191.0,-104.78787878787877,1086.0
41,13.0,1118.0,-95.20202020202028,1086.0
42,14.0,1175.0,-102.68686868686875,1086.0
43,14.0,1163.0,-101.11111111111111,1086.0
44,14.0,1283.0,-116.86868686868684,1086.0
45,15.0,1088.0,-91.26262626262627,1086.0
46,15.0,1143.0,-98.48484848484847,1086.0
47,15.0,1124.0,-95.98989898989898,1086.0
48,16.0,1199.0,-105.83838383838382,1086.0
49,16.0,1207.0,-106.88888888888889,1086.0
50,16.0,1147.0,-99.01010101010101,1086.0
51,17.0,1209.0,-107.15151515151518,1086.0
52,17.0,1135.0,-97.43434343434345,1086.0
53,17.0,1133.0,-97.17171717171718,1086.0
54,18.0,1201.0,-106.10101010101012,1086.0
55,18.0,1161.0,-100.84848484848486,1086.0
56,18.0,1114.0,-94.67676767676765,1086.0
57,19.0,1114.0,-94.6767676767677,1086.0
58,19.0,1252.0,-112.79797979797978,1086.0
59,19.0,1178.0,-103.08080808080808,1086.0
60,20.0,1161.0,-100.84848484848486,1086.0
61,20.0,1157.0,-100.3232323232323,1086.0
62,20.0,1196.0,-105.44444444444446,1086.0
63,21.0,1070.0,-88.89898989898991,1070.0
64,21.0,1184.0,-103.8686868686869,1070.0
65,21.0,1152.0,-99.66666666666666,1070.0
66,22.0,1139.0,-97.95959595959599,1070.0
67,22.0,1158.0,-100.45454545454548,1070.0
68,22.0,1154.0,-99.9292929292929,1070.0
69,23.0,1231.0,-110.04040404040404,1070.0
