,episode,make_span,reward,min make span
0,0.0,1134.0,-85.84848484848483,1134.0
1,0.0,1067.0,-77.7272727272727,1067.0
2,0.0,1074.0,-78.57575757575759,1067.0
3,1.0,1115.0,-83.54545454545453,1067.0
4,1.0,1111.0,-83.06060606060609,1067.0
5,1.0,1196.0,-93.36363636363637,1067.0
6,2.0,1101.0,-81.84848484848487,1067.0
7,2.0,1133.0,-85.72727272727276,1067.0
8,2.0,1087.0,-80.15151515151516,1067.0
9,3.0,1097.0,-81.36363636363637,1067.0
10,3.0,1090.0,-80.5151515151515,1067.0
11,3.0,1157.0,-88.63636363636365,1067.0
12,4.0,1217.0,-95.90909090909089,1067.0
13,4.0,1257.0,-100.75757575757575,1067.0
14,4.0,1114.0,-83.42424242424244,1067.0
15,5.0,1175.0,-90.81818181818181,1067.0
16,5.0,1099.0,-81.60606060606065,1067.0
17,5.0,1156.0,-88.51515151515152,1067.0
18,6.0,1117.0,-83.7878787878788,1067.0
19,6.0,1143.0,-86.93939393939394,1067.0
20,6.0,1161.0,-89.1212121212121,1067.0
21,7.0,1109.0,-82.81818181818183,1067.0
22,7.0,1117.0,-83.78787878787878,1067.0
23,7.0,1166.0,-89.72727272727275,1067.0
24,8.0,1204.0,-94.33333333333333,1067.0
25,8.0,1098.0,-81.48484848484851,1067.0
26,8.0,1149.0,-87.6666666666667,1067.0
27,9.0,1137.0,-86.21212121212119,1067.0
28,9.0,1118.0,-83.90909090909095,1067.0
29,9.0,1181.0,-91.54545454545455,1067.0
30,10.0,1111.0,-83.06060606060603,1067.0
31,10.0,1186.0,-92.15151515151517,1067.0
32,10.0,1107.0,-82.57575757575759,1067.0
33,11.0,1165.0,-89.60606060606062,1067.0
34,11.0,1177.0,-91.0606060606061,1067.0
35,11.0,1156.0,-88.5151515151515,1067.0
36,12.0,1263.0,-101.48484848484847,1067.0
37,12.0,1145.0,-87.18181818181819,1067.0
38,12.0,1087.0,-80.15151515151514,1067.0
39,13.0,1162.0,-89.24242424242428,1067.0
40,13.0,1232.0,-97.72727272727269,1067.0
41,13.0,1105.0,-82.33333333333333,1067.0
42,14.0,1158.0,-88.75757575757578,1067.0
43,14.0,1152.0,-88.03030303030305,1067.0
44,14.0,1196.0,-93.36363636363636,1067.0
45,15.0,1114.0,-83.42424242424242,1067.0
46,15.0,1133.0,-85.72727272727276,1067.0
47,15.0,1061.0,-77.00000000000003,1061.0
48,16.0,1115.0,-83.54545454545456,1061.0
49,16.0,1203.0,-94.21212121212122,1061.0
50,16.0,1134.0,-85.84848484848487,1061.0
51,17.0,1189.0,-92.51515151515152,1061.0
52,17.0,1088.0,-80.27272727272728,1061.0
53,17.0,1194.0,-93.12121212121214,1061.0
54,18.0,1156.0,-88.51515151515154,1061.0
55,18.0,1200.0,-93.84848484848486,1061.0
56,18.0,1189.0,-92.51515151515149,1061.0
57,19.0,1193.0,-93.00000000000001,1061.0
58,19.0,1089.0,-80.39393939393942,1061.0
59,19.0,1120.0,-84.15151515151517,1061.0
60,20.0,1178.0,-91.1818181818182,1061.0
61,20.0,1135.0,-85.969696969697,1061.0
62,20.0,1167.0,-89.84848484848486,1061.0
63,21.0,1141.0,-86.69696969696973,1061.0
64,21.0,1129.0,-85.24242424242425,1061.0
65,21.0,1170.0,-90.2121212121212,1061.0
66,22.0,1057.0,-76.51515151515153,1057.0
67,22.0,1178.0,-91.18181818181819,1057.0
68,22.0,1122.0,-84.39393939393938,1057.0
69,23.0,1113.0,-83.30303030303034,1057.0
70,23.0,1247.0,-99.54545454545453,1057.0
71,23.0,1128.0,-85.12121212121212,1057.0
72,24.0,1154.0,-88.27272727272725,1057.0
73,24.0,1157.0,-88.63636363636363,1057.0
74,24.0,1231.0,-97.60606060606064,1057.0
75,25.0,1153.0,-88.15151515151516,1057.0
76,25.0,1172.0,-90.45454545454548,1057.0
77,25.0,1180.0,-91.42424242424246,1057.0
78,26.0,1171.0,-90.33333333333333,1057.0
79,26.0,1130.0,-85.36363636363636,1057.0
80,26.0,1138.0,-86.33333333333333,1057.0
81,27.0,1149.0,-87.66666666666666,1057.0
82,27.0,1196.0,-93.36363636363636,1057.0
83,27.0,1140.0,-86.57575757575759,1057.0
84,28.0,1181.0,-91.54545454545458,1057.0
85,28.0,1150.0,-87.78787878787878,1057.0
86,28.0,1206.0,-94.57575757575762,1057.0
87,29.0,1192.0,-92.87878787878789,1057.0
88,29.0,1190.0,-92.63636363636367,1057.0
89,29.0,1094.0,-81.00000000000001,1057.0
90,30.0,1192.0,-92.87878787878793,1057.0
91,30.0,1178.0,-91.18181818181816,1057.0
92,30.0,1093.0,-80.87878787878788,1057.0
93,31.0,1151.0,-87.90909090909089,1057.0
94,31.0,1074.0,-78.57575757575758,1057.0
95,31.0,1102.0,-81.969696969697,1057.0
96,32.0,1167.0,-89.84848484848487,1057.0
97,32.0,1204.0,-94.33333333333333,1057.0
98,32.0,1167.0,-89.84848484848486,1057.0
99,33.0,1145.0,-87.18181818181819,1057.0
100,33.0,1133.0,-85.72727272727273,1057.0
101,33.0,1177.0,-91.06060606060608,1057.0
102,34.0,1128.0,-85.12121212121214,1057.0
103,34.0,1183.0,-91.78787878787877,1057.0
104,34.0,1156.0,-88.51515151515153,1057.0
105,35.0,1165.0,-89.6060606060606,1057.0
106,35.0,1253.0,-100.27272727272725,1057.0
107,35.0,1129.0,-85.24242424242428,1057.0
108,36.0,1125.0,-84.75757575757578,1057.0
109,36.0,1129.0,-85.2424242424242,1057.0
110,36.0,1212.0,-95.30303030303028,1057.0
111,37.0,1105.0,-82.33333333333334,1057.0
112,37.0,1191.0,-92.75757575757575,1057.0
113,37.0,1191.0,-92.75757575757574,1057.0
114,38.0,1124.0,-84.63636363636365,1057.0
115,38.0,1140.0,-86.57575757575756,1057.0
116,38.0,1200.0,-93.84848484848483,1057.0
117,39.0,1178.0,-91.18181818181819,1057.0
118,39.0,1195.0,-93.24242424242425,1057.0
119,39.0,1174.0,-90.69696969696972,1057.0
120,40.0,1165.0,-89.60606060606062,1057.0
121,40.0,1217.0,-95.9090909090909,1057.0
122,40.0,1156.0,-88.51515151515152,1057.0
123,41.0,1180.0,-91.42424242424241,1057.0
124,41.0,1168.0,-89.969696969697,1057.0
125,41.0,1070.0,-78.09090909090912,1057.0
126,42.0,1091.0,-80.63636363636363,1057.0
127,42.0,1157.0,-88.63636363636363,1057.0
128,42.0,1166.0,-89.72727272727275,1057.0
129,43.0,1151.0,-87.90909090909089,1057.0
130,43.0,1140.0,-86.57575757575756,1057.0
131,43.0,1119.0,-84.03030303030302,1057.0
132,44.0,1159.0,-88.8787878787879,1057.0
133,44.0,1131.0,-85.48484848484848,1057.0
134,44.0,1123.0,-84.51515151515153,1057.0
135,45.0,1142.0,-86.81818181818183,1057.0
136,45.0,1185.0,-92.03030303030306,1057.0
137,45.0,1118.0,-83.90909090909092,1057.0
138,46.0,1204.0,-94.33333333333334,1057.0
139,46.0,1072.0,-78.33333333333336,1057.0
140,46.0,1191.0,-92.75757575757575,1057.0
141,47.0,1138.0,-86.33333333333334,1057.0
142,47.0,1158.0,-88.75757575757578,1057.0
143,47.0,1218.0,-96.03030303030303,1057.0
144,48.0,1162.0,-89.24242424242425,1057.0
145,48.0,1146.0,-87.3030303030303,1057.0
146,48.0,1165.0,-89.60606060606061,1057.0
147,49.0,1076.0,-78.81818181818184,1057.0
148,49.0,1127.0,-85.00000000000004,1057.0
149,49.0,1168.0,-89.96969696969697,1057.0
150,50.0,1106.0,-82.45454545454545,1057.0
151,50.0,1147.0,-87.42424242424244,1057.0
152,50.0,1124.0,-84.63636363636361,1057.0
153,51.0,1157.0,-88.63636363636368,1057.0
154,51.0,1177.0,-91.06060606060606,1057.0
155,51.0,1169.0,-90.09090909090908,1057.0
156,52.0,1170.0,-90.21212121212123,1057.0
157,52.0,1179.0,-91.30303030303033,1057.0
158,52.0,1237.0,-98.33333333333334,1057.0
159,53.0,1078.0,-79.0606060606061,1057.0
160,53.0,1125.0,-84.75757575757576,1057.0
161,53.0,1210.0,-95.06060606060605,1057.0
162,54.0,1114.0,-83.42424242424244,1057.0
163,54.0,1157.0,-88.63636363636368,1057.0
164,54.0,1110.0,-82.93939393939391,1057.0
165,55.0,1177.0,-91.06060606060606,1057.0
166,55.0,1126.0,-84.87878787878789,1057.0
167,55.0,1067.0,-77.72727272727278,1057.0
168,56.0,1054.0,-76.15151515151518,1054.0
169,56.0,1198.0,-93.60606060606062,1054.0
170,56.0,1128.0,-85.12121212121217,1054.0
171,57.0,1214.0,-95.54545454545453,1054.0
172,57.0,1182.0,-91.66666666666669,1054.0
173,57.0,1169.0,-90.09090909090911,1054.0
174,58.0,1168.0,-89.96969696969698,1054.0
175,58.0,1124.0,-84.63636363636363,1054.0
176,58.0,1156.0,-88.51515151515152,1054.0
177,59.0,1125.0,-84.75757575757578,1054.0
178,59.0,1144.0,-87.06060606060606,1054.0
179,59.0,1135.0,-85.96969696969697,1054.0
180,60.0,1153.0,-88.15151515151517,1054.0
181,60.0,1131.0,-85.48484848484846,1054.0
