,episode,make_span,reward,min make span
0,0.0,977.0,-76.68686868686868,977.0
1,0.0,1019.0,-82.2020202020202,977.0
2,0.0,1047.0,-85.87878787878789,977.0
3,1.0,1093.0,-91.91919191919193,977.0
4,1.0,1048.0,-86.01010101010101,977.0
5,1.0,1029.0,-83.51515151515152,977.0
6,2.0,1023.0,-82.72727272727275,977.0
7,2.0,1004.0,-80.23232323232324,977.0
8,2.0,1108.0,-93.88888888888891,977.0
9,3.0,1109.0,-94.020202020202,977.0
10,3.0,1036.0,-84.43434343434346,977.0
11,3.0,1047.0,-85.87878787878792,977.0
12,4.0,1062.0,-87.84848484848486,977.0
13,4.0,991.0,-78.5252525252525,977.0
14,4.0,1025.0,-82.98989898989896,977.0
15,5.0,1098.0,-92.5757575757576,977.0
16,5.0,1015.0,-81.6767676767677,977.0
17,5.0,1007.0,-80.62626262626262,977.0
18,6.0,987.0,-77.99999999999997,977.0
19,6.0,1058.0,-87.32323232323232,977.0
20,6.0,1154.0,-99.92929292929294,977.0
21,7.0,1055.0,-86.9292929292929,977.0
22,7.0,1059.0,-87.45454545454547,977.0
23,7.0,1036.0,-84.43434343434345,977.0
24,8.0,1069.0,-88.76767676767679,977.0
25,8.0,1130.0,-96.77777777777779,977.0
26,8.0,997.0,-79.31313131313132,977.0
27,9.0,1033.0,-84.04040404040403,977.0
28,9.0,1119.0,-95.33333333333336,977.0
29,9.0,1043.0,-85.35353535353534,977.0
30,10.0,1055.0,-86.92929292929293,977.0
31,10.0,1044.0,-85.4848484848485,977.0
32,10.0,1081.0,-90.34343434343432,977.0
33,11.0,1046.0,-85.74747474747475,977.0
34,11.0,1032.0,-83.90909090909093,977.0
35,11.0,1054.0,-86.79797979797982,977.0
36,12.0,1044.0,-85.48484848484847,977.0
37,12.0,1116.0,-94.93939393939397,977.0
38,12.0,1065.0,-88.24242424242422,977.0
39,13.0,1182.0,-103.60606060606062,977.0
40,13.0,996.0,-79.1818181818182,977.0
41,13.0,1085.0,-90.86868686868686,977.0
42,14.0,1079.0,-90.08080808080808,977.0
43,14.0,1057.0,-87.19191919191915,977.0
44,14.0,1045.0,-85.6161616161616,977.0
45,15.0,1038.0,-84.6969696969697,977.0
46,15.0,1042.0,-85.22222222222226,977.0
47,15.0,1071.0,-89.03030303030303,977.0
48,16.0,1106.0,-93.62626262626263,977.0
49,16.0,1151.0,-99.53535353535356,977.0
50,16.0,1167.0,-101.6363636363636,977.0
51,17.0,1046.0,-85.74747474747475,977.0
52,17.0,1041.0,-85.09090909090911,977.0
53,17.0,1001.0,-79.83838383838382,977.0
54,18.0,989.0,-78.26262626262626,977.0
55,18.0,1096.0,-92.31313131313131,977.0
56,18.0,1056.0,-87.06060606060609,977.0
57,19.0,1025.0,-82.98989898989902,977.0
58,19.0,1050.0,-86.27272727272724,977.0
59,19.0,1064.0,-88.11111111111113,977.0
60,20.0,1105.0,-93.49494949494952,977.0
61,20.0,1036.0,-84.43434343434346,977.0
62,20.0,1072.0,-89.16161616161618,977.0
63,21.0,1012.0,-81.28282828282828,977.0
64,21.0,983.0,-77.47474747474747,977.0
65,21.0,944.0,-72.35353535353536,944.0
66,22.0,959.0,-74.32323232323233,944.0
67,22.0,1161.0,-100.84848484848487,944.0
68,22.0,1077.0,-89.81818181818184,944.0
69,23.0,965.0,-75.1111111111111,944.0
70,23.0,1027.0,-83.25252525252525,944.0
71,23.0,1009.0,-80.88888888888887,944.0
72,24.0,1063.0,-87.979797979798,944.0
73,24.0,1105.0,-93.49494949494952,944.0
74,24.0,1065.0,-88.24242424242428,944.0
75,25.0,996.0,-79.18181818181817,944.0
76,25.0,1048.0,-86.010101010101,944.0
77,25.0,998.0,-79.44444444444446,944.0
78,26.0,1067.0,-88.50505050505052,944.0
79,26.0,1031.0,-83.77777777777777,944.0
80,26.0,1032.0,-83.90909090909092,944.0
81,27.0,1022.0,-82.5959595959596,944.0
82,27.0,1030.0,-83.64646464646464,944.0
83,27.0,1118.0,-95.2020202020202,944.0
84,28.0,1057.0,-87.19191919191917,944.0
85,28.0,1018.0,-82.07070707070707,944.0
86,28.0,1054.0,-86.7979797979798,944.0
87,29.0,1032.0,-83.90909090909093,944.0
88,29.0,967.0,-75.37373737373737,944.0
89,29.0,1048.0,-86.01010101010097,944.0
90,30.0,962.0,-74.71717171717174,944.0
91,30.0,1018.0,-82.07070707070709,944.0
92,30.0,1048.0,-86.01010101010105,944.0
93,31.0,1028.0,-83.3838383838384,944.0
94,31.0,997.0,-79.31313131313132,944.0
95,31.0,1011.0,-81.15151515151517,944.0
