,episode,make_span,reward,min make span
0,0.0,1458.0,-22.030303030303035,1458.0
1,0.0,1503.0,-24.3030303030303,1458.0
2,0.0,1471.0,-22.686868686868692,1458.0
3,1.0,1417.0,-19.95959595959596,1417.0
4,1.0,1552.0,-26.777777777777768,1417.0
5,1.0,1551.0,-26.727272727272723,1417.0
6,2.0,1421.0,-20.16161616161616,1417.0
7,2.0,1497.0,-24.000000000000004,1417.0
8,2.0,1455.0,-21.878787878787882,1417.0
9,3.0,1469.0,-22.585858585858592,1417.0
10,3.0,1563.0,-27.333333333333336,1417.0
11,3.0,1535.0,-25.91919191919191,1417.0
12,4.0,1428.0,-20.515151515151512,1417.0
13,4.0,1475.0,-22.888888888888893,1417.0
14,4.0,1408.0,-19.5050505050505,1408.0
15,5.0,1416.0,-19.909090909090907,1408.0
16,5.0,1420.0,-20.111111111111118,1408.0
17,5.0,1391.0,-18.646464646464644,1391.0
18,6.0,1489.0,-23.595959595959588,1391.0
19,6.0,1358.0,-16.979797979797983,1358.0
20,6.0,1443.0,-21.272727272727273,1358.0
21,7.0,1537.0,-26.020202020202014,1358.0
22,7.0,1490.0,-23.64646464646465,1358.0
23,7.0,1479.0,-23.090909090909086,1358.0
24,8.0,1505.0,-24.4040404040404,1358.0
25,8.0,1483.0,-23.29292929292929,1358.0
26,8.0,1442.0,-21.222222222222218,1358.0
27,9.0,1399.0,-19.050505050505052,1358.0
28,9.0,1458.0,-22.030303030303035,1358.0
29,9.0,1489.0,-23.595959595959595,1358.0
30,10.0,1519.0,-25.111111111111107,1358.0
31,10.0,1452.0,-21.727272727272723,1358.0
32,10.0,1612.0,-29.808080808080806,1358.0
33,11.0,1433.0,-20.767676767676765,1358.0
34,11.0,1497.0,-24.0,1358.0
35,11.0,1539.0,-26.121212121212125,1358.0
36,12.0,1489.0,-23.5959595959596,1358.0
37,12.0,1428.0,-20.51515151515152,1358.0
38,12.0,1499.0,-24.101010101010107,1358.0
39,13.0,1419.0,-20.06060606060606,1358.0
40,13.0,1464.0,-22.33333333333333,1358.0
41,13.0,1449.0,-21.575757575757574,1358.0
42,14.0,1504.0,-24.353535353535356,1358.0
43,14.0,1460.0,-22.131313131313128,1358.0
44,14.0,1487.0,-23.494949494949495,1358.0
45,15.0,1431.0,-20.666666666666664,1358.0
46,15.0,1478.0,-23.04040404040404,1358.0
47,15.0,1420.0,-20.111111111111107,1358.0
48,16.0,1490.0,-23.646464646464644,1358.0
49,16.0,1511.0,-24.707070707070706,1358.0
50,16.0,1429.0,-20.56565656565657,1358.0
51,17.0,1425.0,-20.363636363636363,1358.0
52,17.0,1443.0,-21.272727272727273,1358.0
53,17.0,1422.0,-20.21212121212121,1358.0
54,18.0,1452.0,-21.727272727272727,1358.0
55,18.0,1473.0,-22.787878787878785,1358.0
56,18.0,1388.0,-18.494949494949495,1358.0
57,19.0,1519.0,-25.111111111111114,1358.0
58,19.0,1500.0,-24.15151515151515,1358.0
59,19.0,1388.0,-18.49494949494949,1358.0
60,20.0,1387.0,-18.444444444444443,1358.0
61,20.0,1495.0,-23.8989898989899,1358.0
62,20.0,1442.0,-21.222222222222218,1358.0
63,21.0,1483.0,-23.29292929292929,1358.0
64,21.0,1436.0,-20.91919191919191,1358.0
65,21.0,1412.0,-19.707070707070706,1358.0
66,22.0,1401.0,-19.15151515151515,1358.0
67,22.0,1418.0,-20.010101010101007,1358.0
68,22.0,1430.0,-20.61616161616162,1358.0
69,23.0,1407.0,-19.454545454545453,1358.0
70,23.0,1559.0,-27.131313131313128,1358.0
71,23.0,1361.0,-17.13131313131313,1358.0
72,24.0,1444.0,-21.32323232323232,1358.0
73,24.0,1404.0,-19.303030303030305,1358.0
74,24.0,1505.0,-24.4040404040404,1358.0
75,25.0,1536.0,-25.96969696969697,1358.0
76,25.0,1449.0,-21.575757575757574,1358.0
77,25.0,1526.0,-25.464646464646464,1358.0
78,26.0,1395.0,-18.848484848484848,1358.0
79,26.0,1458.0,-22.030303030303028,1358.0
80,26.0,1295.0,-13.7979797979798,1295.0
81,27.0,1361.0,-17.13131313131313,1295.0
82,27.0,1476.0,-22.939393939393938,1295.0
83,27.0,1387.0,-18.444444444444443,1295.0
84,28.0,1347.0,-16.424242424242422,1295.0
85,28.0,1412.0,-19.707070707070706,1295.0
86,28.0,1496.0,-23.94949494949495,1295.0
87,29.0,1399.0,-19.05050505050505,1295.0
88,29.0,1337.0,-15.91919191919192,1295.0
89,29.0,1313.0,-14.707070707070706,1295.0
90,30.0,1331.0,-15.616161616161614,1295.0
91,30.0,1317.0,-14.909090909090907,1295.0
92,30.0,1210.0,-9.505050505050505,1210.0
93,31.0,1333.0,-15.71717171717172,1210.0
94,31.0,1481.0,-23.19191919191919,1210.0
