,episode,make_span,reward,min make span
0,0.0,971.0,-45.00000000000002,971.0
1,0.0,984.0,-46.313131313131315,971.0
2,0.0,1023.0,-50.25252525252525,971.0
3,1.0,1013.0,-49.24242424242424,971.0
4,1.0,1101.0,-58.13131313131313,971.0
5,1.0,1150.0,-63.08080808080808,971.0
6,2.0,1014.0,-49.34343434343434,971.0
7,2.0,1076.0,-55.6060606060606,971.0
8,2.0,1028.0,-50.75757575757575,971.0
9,3.0,1024.0,-50.35353535353536,971.0
10,3.0,1122.0,-60.25252525252525,971.0
11,3.0,1019.0,-49.84848484848485,971.0
12,4.0,1045.0,-52.47474747474746,971.0
13,4.0,1050.0,-52.979797979797986,971.0
14,4.0,999.0,-47.82828282828283,971.0
15,5.0,1010.0,-48.939393939393945,971.0
16,5.0,1065.0,-54.494949494949516,971.0
17,5.0,1043.0,-52.27272727272729,971.0
18,6.0,1003.0,-48.23232323232323,971.0
19,6.0,1025.0,-50.45454545454545,971.0
20,6.0,979.0,-45.80808080808081,971.0
21,7.0,1014.0,-49.343434343434375,971.0
22,7.0,1037.0,-51.666666666666664,971.0
23,7.0,1048.0,-52.77777777777778,971.0
24,8.0,1035.0,-51.464646464646485,971.0
25,8.0,1002.0,-48.131313131313135,971.0
26,8.0,1059.0,-53.8888888888889,971.0
27,9.0,1051.0,-53.08080808080809,971.0
28,9.0,1025.0,-50.45454545454545,971.0
29,9.0,957.0,-43.58585858585857,957.0
30,10.0,970.0,-44.89898989898991,957.0
31,10.0,1037.0,-51.66666666666666,957.0
32,10.0,1117.0,-59.74747474747474,957.0
33,11.0,1019.0,-49.84848484848486,957.0
34,11.0,1040.0,-51.96969696969698,957.0
35,11.0,1041.0,-52.07070707070706,957.0
36,12.0,1136.0,-61.66666666666666,957.0
37,12.0,1040.0,-51.96969696969697,957.0
38,12.0,1025.0,-50.45454545454545,957.0
39,13.0,1046.0,-52.575757575757585,957.0
40,13.0,1054.0,-53.383838383838395,957.0
41,13.0,1052.0,-53.181818181818166,957.0
42,14.0,1061.0,-54.0909090909091,957.0
43,14.0,1078.0,-55.80808080808081,957.0
44,14.0,1027.0,-50.65656565656565,957.0
45,15.0,930.0,-40.85858585858586,930.0
46,15.0,1004.0,-48.333333333333336,930.0
47,15.0,1047.0,-52.676767676767675,930.0
48,16.0,969.0,-44.79797979797981,930.0
49,16.0,1028.0,-50.75757575757576,930.0
50,16.0,1022.0,-50.151515151515156,930.0
51,17.0,1031.0,-51.06060606060607,930.0
52,17.0,1053.0,-53.282828282828284,930.0
53,17.0,1131.0,-61.16161616161618,930.0
54,18.0,1024.0,-50.35353535353538,930.0
55,18.0,1041.0,-52.07070707070708,930.0
56,18.0,1023.0,-50.25252525252524,930.0
57,19.0,1058.0,-53.787878787878796,930.0
58,19.0,1100.0,-58.03030303030303,930.0
59,19.0,1025.0,-50.45454545454546,930.0
60,20.0,1044.0,-52.37373737373736,930.0
61,20.0,1097.0,-57.72727272727271,930.0
