,episode,make_span,reward,min make span
0,0.0,1084.0,-42.3939393939394,1084.0
1,0.0,1078.0,-41.72727272727273,1078.0
2,0.0,1073.0,-41.17171717171719,1073.0
3,1.0,1051.0,-38.727272727272734,1051.0
4,1.0,1080.0,-41.949494949494955,1051.0
5,1.0,1076.0,-41.50505050505052,1051.0
6,2.0,1145.0,-49.17171717171715,1051.0
7,2.0,1056.0,-39.282828282828305,1051.0
8,2.0,1069.0,-40.727272727272755,1051.0
9,3.0,1124.0,-46.838383838383855,1051.0
10,3.0,1084.0,-42.39393939393941,1051.0
11,3.0,1132.0,-47.727272727272734,1051.0
12,4.0,1231.0,-58.72727272727273,1051.0
13,4.0,1143.0,-48.94949494949495,1051.0
14,4.0,1109.0,-45.17171717171718,1051.0
15,5.0,1175.0,-52.505050505050505,1051.0
16,5.0,1207.0,-56.060606060606055,1051.0
17,5.0,1110.0,-45.2828282828283,1051.0
18,6.0,1181.0,-53.17171717171718,1051.0
19,6.0,1159.0,-50.72727272727273,1051.0
20,6.0,1060.0,-39.727272727272734,1051.0
21,7.0,1106.0,-44.838383838383855,1051.0
22,7.0,1068.0,-40.61616161616163,1051.0
23,7.0,1089.0,-42.949494949494955,1051.0
24,8.0,1100.0,-44.17171717171718,1051.0
25,8.0,1113.0,-45.616161616161605,1051.0
26,8.0,1188.0,-53.94949494949494,1051.0
27,9.0,1172.0,-52.17171717171718,1051.0
28,9.0,1074.0,-41.28282828282829,1051.0
29,9.0,1116.0,-45.94949494949496,1051.0
30,10.0,1147.0,-49.39393939393939,1051.0
31,10.0,1096.0,-43.727272727272734,1051.0
32,10.0,1132.0,-47.727272727272734,1051.0
33,11.0,1068.0,-40.61616161616163,1051.0
34,11.0,1120.0,-46.39393939393939,1051.0
35,11.0,1066.0,-40.39393939393939,1051.0
36,12.0,1082.0,-42.17171717171718,1051.0
37,12.0,1032.0,-36.61616161616163,1032.0
38,12.0,1100.0,-44.17171717171716,1032.0
39,13.0,1108.0,-45.06060606060606,1032.0
40,13.0,1090.0,-43.06060606060607,1032.0
41,13.0,1053.0,-38.94949494949496,1032.0
42,14.0,1135.0,-48.06060606060606,1032.0
43,14.0,1182.0,-53.28282828282829,1032.0
44,14.0,1094.0,-43.505050505050505,1032.0
45,15.0,1178.0,-52.838383838383855,1032.0
46,15.0,1214.0,-56.83838383838383,1032.0
47,15.0,1122.0,-46.616161616161605,1032.0
48,16.0,1085.0,-42.50505050505051,1032.0
49,16.0,1132.0,-47.72727272727273,1032.0
50,16.0,1055.0,-39.17171717171718,1032.0
51,17.0,1182.0,-53.282828282828284,1032.0
52,17.0,1099.0,-44.06060606060607,1032.0
53,17.0,1148.0,-49.5050505050505,1032.0
54,18.0,1141.0,-48.72727272727271,1032.0
55,18.0,1169.0,-51.83838383838385,1032.0
56,18.0,1192.0,-54.3939393939394,1032.0
57,19.0,1216.0,-57.06060606060605,1032.0
58,19.0,1185.0,-53.616161616161605,1032.0
59,19.0,1129.0,-47.39393939393939,1032.0
60,20.0,1094.0,-43.50505050505052,1032.0
61,20.0,1217.0,-57.17171717171718,1032.0
62,20.0,1139.0,-48.5050505050505,1032.0
63,21.0,1182.0,-53.2828282828283,1032.0
64,21.0,1191.0,-54.282828282828284,1032.0
65,21.0,1127.0,-47.17171717171718,1032.0
66,22.0,1132.0,-47.72727272727274,1032.0
67,22.0,1172.0,-52.171717171717155,1032.0
68,22.0,1106.0,-44.83838383838384,1032.0
69,23.0,1105.0,-44.72727272727274,1032.0
70,23.0,1183.0,-53.393939393939405,1032.0
71,23.0,1172.0,-52.17171717171717,1032.0
72,24.0,1110.0,-45.282828282828284,1032.0
73,24.0,1189.0,-54.06060606060607,1032.0
74,24.0,1171.0,-52.060606060606055,1032.0
75,25.0,1145.0,-49.17171717171717,1032.0
76,25.0,1170.0,-51.949494949494955,1032.0
77,25.0,1190.0,-54.17171717171717,1032.0
78,26.0,1120.0,-46.3939393939394,1032.0
79,26.0,1142.0,-48.83838383838384,1032.0
80,26.0,1081.0,-42.06060606060607,1032.0
81,27.0,1113.0,-45.61616161616163,1032.0
82,27.0,1113.0,-45.61616161616163,1032.0
83,27.0,1083.0,-42.28282828282829,1032.0
84,28.0,1170.0,-51.949494949494955,1032.0
85,28.0,1060.0,-39.72727272727274,1032.0
86,28.0,1070.0,-40.83838383838385,1032.0
87,29.0,1079.0,-41.83838383838385,1032.0
88,29.0,1109.0,-45.17171717171718,1032.0
89,29.0,1113.0,-45.616161616161605,1032.0
90,30.0,1190.0,-54.17171717171717,1032.0
91,30.0,1119.0,-46.28282828282829,1032.0
92,30.0,1117.0,-46.06060606060606,1032.0
93,31.0,1088.0,-42.83838383838384,1032.0
94,31.0,1213.0,-56.72727272727274,1032.0
95,31.0,1117.0,-46.06060606060607,1032.0
96,32.0,1126.0,-47.06060606060608,1032.0
97,32.0,1049.0,-38.50505050505051,1032.0
98,32.0,1117.0,-46.06060606060607,1032.0
99,33.0,1160.0,-50.838383838383834,1032.0
100,33.0,1113.0,-45.61616161616163,1032.0
101,33.0,1140.0,-48.61616161616163,1032.0
102,34.0,1164.0,-51.2828282828283,1032.0
103,34.0,1087.0,-42.727272727272734,1032.0
104,34.0,1203.0,-55.616161616161605,1032.0
105,35.0,1046.0,-38.171717171717184,1032.0
106,35.0,1078.0,-41.72727272727271,1032.0
107,35.0,1150.0,-49.727272727272705,1032.0
108,36.0,1035.0,-36.949494949494955,1032.0
109,36.0,1173.0,-52.28282828282829,1032.0
110,36.0,1110.0,-45.2828282828283,1032.0
111,37.0,996.0,-32.616161616161634,996.0
112,37.0,1135.0,-48.06060606060607,996.0
113,37.0,1044.0,-37.94949494949496,996.0
114,38.0,1035.0,-36.94949494949495,996.0
115,38.0,1078.0,-41.72727272727274,996.0
116,38.0,1224.0,-57.94949494949496,996.0
117,39.0,1113.0,-45.616161616161634,996.0
118,39.0,1134.0,-47.94949494949495,996.0
119,39.0,1076.0,-41.50505050505051,996.0
120,40.0,1083.0,-42.28282828282829,996.0
121,40.0,1231.0,-58.72727272727275,996.0
122,40.0,1144.0,-49.06060606060607,996.0
123,41.0,1058.0,-39.505050505050505,996.0
124,41.0,1099.0,-44.06060606060606,996.0
125,41.0,1123.0,-46.72727272727271,996.0
126,42.0,1123.0,-46.72727272727272,996.0
127,42.0,1200.0,-55.2828282828283,996.0
128,42.0,1086.0,-42.61616161616162,996.0
129,43.0,1226.0,-58.17171717171717,996.0
130,43.0,1020.0,-35.28282828282829,996.0
131,43.0,1042.0,-37.727272727272734,996.0
132,44.0,1055.0,-39.17171717171719,996.0
133,44.0,1089.0,-42.949494949494955,996.0
134,44.0,1102.0,-44.39393939393941,996.0
135,45.0,1065.0,-40.282828282828305,996.0
136,45.0,1094.0,-43.505050505050505,996.0
137,45.0,1044.0,-37.949494949494955,996.0
138,46.0,1061.0,-39.83838383838385,996.0
139,46.0,1047.0,-38.2828282828283,996.0
140,46.0,1081.0,-42.06060606060606,996.0
141,47.0,996.0,-32.61616161616163,996.0
142,47.0,1122.0,-46.616161616161634,996.0
143,47.0,1083.0,-42.28282828282828,996.0
144,48.0,1091.0,-43.17171717171717,996.0
145,48.0,1074.0,-41.28282828282829,996.0
146,48.0,1053.0,-38.94949494949497,996.0
147,49.0,1071.0,-40.94949494949495,996.0
148,49.0,1055.0,-39.17171717171716,996.0
149,49.0,1093.0,-43.3939393939394,996.0
150,50.0,1194.0,-54.61616161616162,996.0
151,50.0,1120.0,-46.39393939393937,996.0
152,50.0,1089.0,-42.949494949494955,996.0
153,51.0,1090.0,-43.060606060606055,996.0
154,51.0,1207.0,-56.06060606060606,996.0
155,51.0,1197.0,-54.94949494949495,996.0
156,52.0,1093.0,-43.39393939393939,996.0
157,52.0,1103.0,-44.50505050505051,996.0
158,52.0,1096.0,-43.72727272727272,996.0
159,53.0,1130.0,-47.505050505050505,996.0
160,53.0,1129.0,-47.3939393939394,996.0
161,53.0,1087.0,-42.72727272727273,996.0
162,54.0,1120.0,-46.3939393939394,996.0
163,54.0,1142.0,-48.838383838383855,996.0
164,54.0,1153.0,-50.06060606060606,996.0
165,55.0,1105.0,-44.72727272727272,996.0
166,55.0,1097.0,-43.83838383838384,996.0
167,55.0,1127.0,-47.17171717171718,996.0
168,56.0,1130.0,-47.50505050505052,996.0
169,56.0,1155.0,-50.282828282828284,996.0
170,56.0,1120.0,-46.393939393939405,996.0
171,57.0,1091.0,-43.17171717171716,996.0
172,57.0,1099.0,-44.060606060606055,996.0
173,57.0,1032.0,-36.61616161616163,996.0
174,58.0,1062.0,-39.94949494949494,996.0
175,58.0,1173.0,-52.28282828282827,996.0
176,58.0,1047.0,-38.282828282828284,996.0
177,59.0,1061.0,-39.83838383838384,996.0
178,59.0,1174.0,-52.3939393939394,996.0
179,59.0,1106.0,-44.83838383838385,996.0
180,60.0,1098.0,-43.949494949494955,996.0
181,60.0,1035.0,-36.94949494949496,996.0
182,60.0,1066.0,-40.39393939393939,996.0
183,61.0,1089.0,-42.94949494949497,996.0
184,61.0,1133.0,-47.83838383838385,996.0
185,61.0,1064.0,-40.17171717171718,996.0
186,62.0,1157.0,-50.50505050505052,996.0
187,62.0,1132.0,-47.72727272727271,996.0
188,62.0,1160.0,-50.838383838383834,996.0
189,63.0,1074.0,-41.282828282828284,996.0
190,63.0,1074.0,-41.28282828282827,996.0
191,63.0,1135.0,-48.06060606060608,996.0
192,64.0,1182.0,-53.28282828282827,996.0
193,64.0,1045.0,-38.06060606060607,996.0
194,64.0,1052.0,-38.838383838383834,996.0
195,65.0,1113.0,-45.61616161616163,996.0
196,65.0,1092.0,-43.282828282828284,996.0
197,65.0,1045.0,-38.06060606060608,996.0
198,66.0,1114.0,-45.72727272727273,996.0
199,66.0,1129.0,-47.393939393939405,996.0
200,66.0,1144.0,-49.06060606060606,996.0
201,67.0,1092.0,-43.28282828282828,996.0
202,67.0,1064.0,-40.17171717171719,996.0
203,67.0,1111.0,-45.39393939393941,996.0
204,68.0,1082.0,-42.171717171717184,996.0
205,68.0,1158.0,-50.616161616161605,996.0
206,68.0,1102.0,-44.39393939393939,996.0
207,69.0,1111.0,-45.393939393939384,996.0
208,69.0,1050.0,-38.61616161616162,996.0
209,69.0,1217.0,-57.17171717171718,996.0
210,70.0,1110.0,-45.282828282828284,996.0
211,70.0,1141.0,-48.727272727272734,996.0
212,70.0,1093.0,-43.39393939393941,996.0
213,71.0,1080.0,-41.94949494949495,996.0
214,71.0,1159.0,-50.727272727272734,996.0
215,71.0,1040.0,-37.50505050505051,996.0
216,72.0,1127.0,-47.17171717171718,996.0
217,72.0,1025.0,-35.83838383838383,996.0
218,72.0,1044.0,-37.949494949494955,996.0
219,73.0,1045.0,-38.060606060606055,996.0
220,73.0,1107.0,-44.949494949494955,996.0
221,73.0,1042.0,-37.727272727272734,996.0
222,74.0,1080.0,-41.94949494949495,996.0
223,74.0,1074.0,-41.28282828282829,996.0
224,74.0,1072.0,-41.06060606060608,996.0
225,75.0,1126.0,-47.06060606060607,996.0
226,75.0,1022.0,-35.505050505050505,996.0
227,75.0,1151.0,-49.838383838383834,996.0
228,76.0,1046.0,-38.17171717171717,996.0
229,76.0,1060.0,-39.72727272727272,996.0
230,76.0,1106.0,-44.83838383838384,996.0
231,77.0,1216.0,-57.06060606060606,996.0
232,77.0,1081.0,-42.060606060606055,996.0
233,77.0,1120.0,-46.3939393939394,996.0
234,78.0,1137.0,-48.282828282828284,996.0
235,78.0,1042.0,-37.72727272727274,996.0
236,78.0,1086.0,-42.61616161616163,996.0
237,79.0,1119.0,-46.282828282828284,996.0
238,79.0,1117.0,-46.06060606060606,996.0
239,79.0,1040.0,-37.50505050505052,996.0
240,80.0,1106.0,-44.83838383838384,996.0
241,80.0,1161.0,-50.94949494949494,996.0
242,80.0,1101.0,-44.28282828282828,996.0
243,81.0,1035.0,-36.949494949494955,996.0
244,81.0,1185.0,-53.61616161616161,996.0
245,81.0,1076.0,-41.5050505050505,996.0
246,82.0,1129.0,-47.393939393939405,996.0
247,82.0,1092.0,-43.282828282828284,996.0
248,82.0,1088.0,-42.83838383838384,996.0
249,83.0,1075.0,-41.393939393939405,996.0
250,83.0,1034.0,-36.83838383838385,996.0
251,83.0,1128.0,-47.282828282828284,996.0
252,84.0,1076.0,-41.50505050505052,996.0
253,84.0,1061.0,-39.83838383838384,996.0
254,84.0,1053.0,-38.94949494949495,996.0
255,85.0,1093.0,-43.3939393939394,996.0
256,85.0,1035.0,-36.94949494949495,996.0
257,85.0,1091.0,-43.17171717171717,996.0
258,86.0,1037.0,-37.17171717171717,996.0
259,86.0,1126.0,-47.06060606060606,996.0
260,86.0,1091.0,-43.17171717171716,996.0
261,87.0,1054.0,-39.06060606060606,996.0
262,87.0,1138.0,-48.39393939393939,996.0
263,87.0,1138.0,-48.393939393939405,996.0
264,88.0,1129.0,-47.39393939393941,996.0
265,88.0,1047.0,-38.282828282828284,996.0
266,88.0,1113.0,-45.61616161616162,996.0
267,89.0,1066.0,-40.3939393939394,996.0
268,89.0,1048.0,-38.3939393939394,996.0
269,89.0,1088.0,-42.838383838383855,996.0
270,90.0,1016.0,-34.838383838383834,996.0
271,90.0,1030.0,-36.39393939393939,996.0
272,90.0,1070.0,-40.83838383838384,996.0
273,91.0,1097.0,-43.83838383838385,996.0
274,91.0,1083.0,-42.28282828282828,996.0
275,91.0,1129.0,-47.39393939393941,996.0
276,92.0,1081.0,-42.06060606060606,996.0
277,92.0,1034.0,-36.83838383838385,996.0
278,92.0,1124.0,-46.83838383838384,996.0
279,93.0,1124.0,-46.83838383838385,996.0
280,93.0,1137.0,-48.28282828282829,996.0
281,93.0,1076.0,-41.5050505050505,996.0
282,94.0,1091.0,-43.17171717171718,996.0
283,94.0,1072.0,-41.060606060606055,996.0
284,94.0,1042.0,-37.72727272727273,996.0
285,95.0,1086.0,-42.61616161616161,996.0
286,95.0,1116.0,-45.94949494949494,996.0
287,95.0,1035.0,-36.94949494949496,996.0
288,96.0,1029.0,-36.28282828282829,996.0
289,96.0,1138.0,-48.393939393939405,996.0
290,96.0,1095.0,-43.61616161616162,996.0
291,97.0,1065.0,-40.28282828282828,996.0
292,97.0,1015.0,-34.72727272727275,996.0
293,97.0,1008.0,-33.94949494949495,996.0
294,98.0,1076.0,-41.50505050505052,996.0
295,98.0,1062.0,-39.94949494949496,996.0
296,98.0,1072.0,-41.06060606060606,996.0
297,99.0,1051.0,-38.727272727272734,996.0
298,99.0,1025.0,-35.83838383838385,996.0
299,99.0,988.0,-31.72727272727272,988.0
300,100.0,1145.0,-49.17171717171717,988.0
301,100.0,1138.0,-48.39393939393939,988.0
302,100.0,1020.0,-35.28282828282828,988.0
303,101.0,1046.0,-38.17171717171717,988.0
304,101.0,983.0,-31.17171717171718,983.0
305,101.0,1100.0,-44.17171717171719,983.0
306,102.0,1119.0,-46.28282828282829,983.0
307,102.0,1032.0,-36.61616161616163,983.0
308,102.0,1050.0,-38.61616161616162,983.0
309,103.0,1115.0,-45.83838383838385,983.0
310,103.0,1080.0,-41.94949494949495,983.0
311,103.0,1020.0,-35.2828282828283,983.0
312,104.0,1046.0,-38.17171717171718,983.0
313,104.0,1035.0,-36.949494949494955,983.0
314,104.0,1045.0,-38.06060606060607,983.0
