,episode,make_span,reward,min make span
0,0.0,1119.0,-57.58585858585859,1119.0
1,0.0,1080.0,-52.85858585858588,1080.0
2,0.0,1068.0,-51.40404040404042,1068.0
3,1.0,1044.0,-48.49494949494949,1044.0
4,1.0,1132.0,-59.16161616161615,1044.0
5,1.0,1123.0,-58.07070707070708,1044.0
6,2.0,1136.0,-59.64646464646464,1044.0
7,2.0,1036.0,-47.52525252525252,1036.0
8,2.0,1094.0,-54.55555555555556,1036.0
9,3.0,1107.0,-56.131313131313135,1036.0
10,3.0,1050.0,-49.222222222222214,1036.0
11,3.0,1165.0,-63.16161616161619,1036.0
12,4.0,1036.0,-47.52525252525253,1036.0
13,4.0,1018.0,-45.34343434343435,1018.0
14,4.0,1118.0,-57.464646464646464,1018.0
15,5.0,1128.0,-58.67676767676769,1018.0
16,5.0,1174.0,-64.25252525252527,1018.0
17,5.0,1108.0,-56.252525252525245,1018.0
18,6.0,1060.0,-50.43434343434346,1018.0
19,6.0,1184.0,-65.46464646464648,1018.0
20,6.0,1102.0,-55.525252525252526,1018.0
21,7.0,1065.0,-51.04040404040404,1018.0
22,7.0,1130.0,-58.91919191919192,1018.0
23,7.0,1102.0,-55.52525252525252,1018.0
24,8.0,1121.0,-57.82828282828284,1018.0
25,8.0,1174.0,-64.25252525252526,1018.0
26,8.0,1155.0,-61.94949494949496,1018.0
27,9.0,1070.0,-51.64646464646465,1018.0
28,9.0,1055.0,-49.82828282828282,1018.0
29,9.0,1050.0,-49.22222222222221,1018.0
30,10.0,1103.0,-55.64646464646464,1018.0
31,10.0,1066.0,-51.16161616161616,1018.0
32,10.0,1092.0,-54.31313131313132,1018.0
33,11.0,1102.0,-55.52525252525251,1018.0
34,11.0,1200.0,-67.40404040404043,1018.0
35,11.0,1128.0,-58.676767676767675,1018.0
36,12.0,1026.0,-46.313131313131336,1018.0
37,12.0,1190.0,-66.19191919191921,1018.0
38,12.0,1089.0,-53.94949494949495,1018.0
39,13.0,1131.0,-59.040404040404034,1018.0
40,13.0,1016.0,-45.10101010101012,1016.0
41,13.0,1106.0,-56.01010101010101,1016.0
42,14.0,1139.0,-60.01010101010102,1016.0
43,14.0,1038.0,-47.767676767676775,1016.0
44,14.0,1045.0,-48.61616161616164,1016.0
45,15.0,1112.0,-56.73737373737375,1016.0
46,15.0,1100.0,-55.28282828282829,1016.0
47,15.0,1150.0,-61.343434343434346,1016.0
48,16.0,1095.0,-54.676767676767675,1016.0
49,16.0,1073.0,-52.01010101010101,1016.0
50,16.0,1018.0,-45.34343434343435,1016.0
51,17.0,1145.0,-60.73737373737374,1016.0
52,17.0,1152.0,-61.585858585858595,1016.0
53,17.0,1015.0,-44.979797979797965,1015.0
54,18.0,1121.0,-57.82828282828284,1015.0
55,18.0,1162.0,-62.7979797979798,1015.0
56,18.0,1077.0,-52.49494949494951,1015.0
57,19.0,1015.0,-44.979797979797965,1015.0
58,19.0,1069.0,-51.52525252525253,1015.0
59,19.0,1050.0,-49.22222222222224,1015.0
60,20.0,1120.0,-57.707070707070706,1015.0
61,20.0,1073.0,-52.01010101010103,1015.0
62,20.0,1114.0,-56.979797979798,1015.0
63,21.0,1031.0,-46.91919191919192,1015.0
64,21.0,1076.0,-52.3737373737374,1015.0
65,21.0,1168.0,-63.52525252525251,1015.0
66,22.0,1126.0,-58.43434343434344,1015.0
67,22.0,1050.0,-49.22222222222222,1015.0
68,22.0,1077.0,-52.49494949494947,1015.0
69,23.0,1122.0,-57.94949494949495,1015.0
70,23.0,1059.0,-50.313131313131315,1015.0
71,23.0,1188.0,-65.94949494949498,1015.0
72,24.0,1094.0,-54.55555555555556,1015.0
73,24.0,1065.0,-51.04040404040404,1015.0
74,24.0,1123.0,-58.07070707070707,1015.0
75,25.0,1061.0,-50.55555555555555,1015.0
76,25.0,1083.0,-53.222222222222214,1015.0
77,25.0,1142.0,-60.37373737373738,1015.0
78,26.0,1062.0,-50.67676767676769,1015.0
79,26.0,971.0,-39.64646464646466,971.0
80,26.0,1058.0,-50.19191919191922,971.0
81,27.0,1035.0,-47.4040404040404,971.0
82,27.0,1050.0,-49.22222222222221,971.0
