,episode,make_span,reward,min make span
0,0.0,1085.0,-53.464646464646464,1085.0
1,0.0,1090.0,-54.07070707070706,1085.0
2,0.0,1179.0,-64.85858585858587,1085.0
3,1.0,1220.0,-69.82828282828284,1085.0
4,1.0,1053.0,-49.58585858585859,1053.0
5,1.0,1133.0,-59.28282828282828,1053.0
6,2.0,1077.0,-52.494949494949516,1053.0
7,2.0,1184.0,-65.46464646464646,1053.0
8,2.0,1079.0,-52.737373737373744,1053.0
9,3.0,1122.0,-57.94949494949496,1053.0
10,3.0,1101.0,-55.40404040404042,1053.0
11,3.0,1143.0,-60.494949494949495,1053.0
12,4.0,1118.0,-57.46464646464648,1053.0
13,4.0,1231.0,-71.16161616161617,1053.0
14,4.0,1134.0,-59.404040404040416,1053.0
15,5.0,1135.0,-59.52525252525252,1053.0
16,5.0,1133.0,-59.2828282828283,1053.0
17,5.0,1159.0,-62.434343434343454,1053.0
18,6.0,1071.0,-51.767676767676775,1053.0
19,6.0,1118.0,-57.46464646464647,1053.0
20,6.0,1170.0,-63.76767676767678,1053.0
21,7.0,1175.0,-64.37373737373738,1053.0
22,7.0,1132.0,-59.16161616161618,1053.0
23,7.0,1125.0,-58.31313131313134,1053.0
24,8.0,1157.0,-62.19191919191918,1053.0
25,8.0,1141.0,-60.25252525252526,1053.0
26,8.0,1234.0,-71.52525252525254,1053.0
27,9.0,1083.0,-53.22222222222222,1053.0
28,9.0,1090.0,-54.07070707070708,1053.0
29,9.0,1073.0,-52.010101010101025,1053.0
30,10.0,1175.0,-64.37373737373738,1053.0
31,10.0,1116.0,-57.22222222222226,1053.0
32,10.0,1131.0,-59.040404040404056,1053.0
33,11.0,1050.0,-49.22222222222223,1050.0
34,11.0,1079.0,-52.73737373737372,1050.0
35,11.0,1150.0,-61.34343434343436,1050.0
36,12.0,1113.0,-56.85858585858584,1050.0
37,12.0,1133.0,-59.28282828282827,1050.0
38,12.0,1040.0,-48.01010101010102,1040.0
39,13.0,1165.0,-63.16161616161617,1040.0
