,episode,make_span,reward,min make span
0,0.0,1085.0,-64.42424242424242,1085.0
1,0.0,1185.0,-77.55555555555557,1085.0
2,0.0,1064.0,-61.66666666666668,1064.0
3,1.0,1151.0,-73.0909090909091,1064.0
4,1.0,1089.0,-64.94949494949498,1064.0
5,1.0,1079.0,-63.63636363636363,1064.0
6,2.0,1143.0,-72.04040404040404,1064.0
7,2.0,1096.0,-65.86868686868688,1064.0
8,2.0,1101.0,-66.52525252525254,1064.0
9,3.0,1127.0,-69.93939393939395,1064.0
10,3.0,1116.0,-68.49494949494951,1064.0
11,3.0,1103.0,-66.78787878787881,1064.0
12,4.0,1192.0,-78.47474747474746,1064.0
13,4.0,1177.0,-76.50505050505049,1064.0
14,4.0,1183.0,-77.29292929292933,1064.0
15,5.0,1101.0,-66.52525252525254,1064.0
16,5.0,1181.0,-77.03030303030303,1064.0
17,5.0,1097.0,-65.99999999999999,1064.0
18,6.0,1181.0,-77.03030303030302,1064.0
19,6.0,1184.0,-77.42424242424244,1064.0
20,6.0,1072.0,-62.71717171717175,1064.0
21,7.0,1181.0,-77.03030303030307,1064.0
22,7.0,1207.0,-80.44444444444443,1064.0
23,7.0,1104.0,-66.91919191919193,1064.0
24,8.0,1197.0,-79.13131313131315,1064.0
25,8.0,1146.0,-72.43434343434346,1064.0
26,8.0,1134.0,-70.85858585858584,1064.0
27,9.0,1079.0,-63.63636363636366,1064.0
28,9.0,1074.0,-62.979797979797986,1064.0
29,9.0,1156.0,-73.74747474747477,1064.0
30,10.0,1082.0,-64.03030303030306,1064.0
31,10.0,1089.0,-64.94949494949492,1064.0
32,10.0,1149.0,-72.82828282828285,1064.0
33,11.0,1152.0,-73.22222222222221,1064.0
34,11.0,1093.0,-65.4747474747475,1064.0
35,11.0,1066.0,-61.92929292929297,1064.0
36,12.0,1132.0,-70.59595959595958,1064.0
37,12.0,1186.0,-77.68686868686873,1064.0
38,12.0,1036.0,-57.98989898989899,1036.0
39,13.0,1045.0,-59.171717171717184,1036.0
40,13.0,1176.0,-76.3737373737374,1036.0
41,13.0,1094.0,-65.60606060606061,1036.0
42,14.0,1134.0,-70.85858585858585,1036.0
43,14.0,1081.0,-63.89898989898991,1036.0
44,14.0,1065.0,-61.797979797979785,1036.0
45,15.0,1126.0,-69.80808080808077,1036.0
46,15.0,1090.0,-65.08080808080811,1036.0
47,15.0,1125.0,-69.6767676767677,1036.0
48,16.0,1113.0,-68.10101010101012,1036.0
49,16.0,1121.0,-69.15151515151518,1036.0
50,16.0,1062.0,-61.404040404040416,1036.0
51,17.0,1116.0,-68.49494949494952,1036.0
52,17.0,1075.0,-63.111111111111114,1036.0
53,17.0,1146.0,-72.43434343434346,1036.0
54,18.0,1075.0,-63.111111111111114,1036.0
55,18.0,1118.0,-68.7575757575758,1036.0
56,18.0,1191.0,-78.34343434343435,1036.0
57,19.0,1142.0,-71.90909090909092,1036.0
58,19.0,1110.0,-67.7070707070707,1036.0
59,19.0,1092.0,-65.34343434343437,1036.0
60,20.0,1174.0,-76.11111111111113,1036.0
61,20.0,1075.0,-63.11111111111112,1036.0
62,20.0,1176.0,-76.37373737373737,1036.0
63,21.0,1076.0,-63.24242424242424,1036.0
64,21.0,1044.0,-59.04040404040404,1036.0
65,21.0,1088.0,-64.81818181818183,1036.0
66,22.0,1042.0,-58.777777777777786,1036.0
67,22.0,1105.0,-67.05050505050505,1036.0
68,22.0,1086.0,-64.55555555555556,1036.0
69,23.0,1178.0,-76.63636363636364,1036.0
70,23.0,1089.0,-64.94949494949496,1036.0
71,23.0,1115.0,-68.36363636363642,1036.0
72,24.0,1144.0,-72.17171717171715,1036.0
73,24.0,1158.0,-74.01010101010098,1036.0
74,24.0,1060.0,-61.14141414141413,1036.0
75,25.0,1075.0,-63.11111111111113,1036.0
76,25.0,1037.0,-58.12121212121213,1036.0
77,25.0,1040.0,-58.515151515151544,1036.0
78,26.0,1109.0,-67.57575757575759,1036.0
79,26.0,1190.0,-78.2121212121212,1036.0
80,26.0,1132.0,-70.59595959595961,1036.0
81,27.0,1052.0,-60.0909090909091,1036.0
82,27.0,1156.0,-73.74747474747475,1036.0
83,27.0,1089.0,-64.94949494949498,1036.0
84,28.0,1180.0,-76.8989898989899,1036.0
85,28.0,1005.0,-53.91919191919193,1005.0
86,28.0,1085.0,-64.42424242424242,1005.0
87,29.0,1060.0,-61.14141414141416,1005.0
88,29.0,1087.0,-64.68686868686869,1005.0
89,29.0,1089.0,-64.94949494949496,1005.0
90,30.0,1094.0,-65.60606060606062,1005.0
91,30.0,1109.0,-67.57575757575759,1005.0
92,30.0,1223.0,-82.54545454545456,1005.0
93,31.0,1045.0,-59.17171717171717,1005.0
94,31.0,1135.0,-70.989898989899,1005.0
95,31.0,1129.0,-70.20202020202022,1005.0
96,32.0,1122.0,-69.28282828282829,1005.0
97,32.0,1085.0,-64.42424242424244,1005.0
98,32.0,1103.0,-66.7878787878788,1005.0
99,33.0,1107.0,-67.31313131313131,1005.0
100,33.0,1191.0,-78.34343434343437,1005.0
101,33.0,1096.0,-65.86868686868686,1005.0
102,34.0,1197.0,-79.13131313131315,1005.0
103,34.0,1063.0,-61.53535353535354,1005.0
104,34.0,1180.0,-76.89898989898988,1005.0
105,35.0,1189.0,-78.08080808080807,1005.0
106,35.0,1086.0,-64.55555555555559,1005.0
107,35.0,1137.0,-71.25252525252526,1005.0
108,36.0,1094.0,-65.60606060606061,1005.0
109,36.0,1107.0,-67.31313131313134,1005.0
110,36.0,1161.0,-74.40404040404043,1005.0
111,37.0,1129.0,-70.20202020202021,1005.0
112,37.0,1093.0,-65.47474747474749,1005.0
113,37.0,1102.0,-66.65656565656568,1005.0
114,38.0,1098.0,-66.13131313131315,1005.0
115,38.0,1037.0,-58.121212121212125,1005.0
116,38.0,1143.0,-72.04040404040407,1005.0
117,39.0,1100.0,-66.39393939393938,1005.0
118,39.0,1079.0,-63.636363636363626,1005.0
119,39.0,1106.0,-67.1818181818182,1005.0
120,40.0,1187.0,-77.81818181818183,1005.0
121,40.0,1109.0,-67.57575757575758,1005.0
122,40.0,1077.0,-63.37373737373739,1005.0
123,41.0,1169.0,-75.45454545454548,1005.0
124,41.0,1092.0,-65.34343434343435,1005.0
125,41.0,1112.0,-67.96969696969698,1005.0
126,42.0,1116.0,-68.49494949494951,1005.0
127,42.0,1057.0,-60.747474747474755,1005.0
128,42.0,1136.0,-71.12121212121215,1005.0
129,43.0,1174.0,-76.11111111111114,1005.0
130,43.0,1094.0,-65.60606060606062,1005.0
131,43.0,1079.0,-63.63636363636364,1005.0
132,44.0,1157.0,-73.87878787878789,1005.0
133,44.0,1162.0,-74.53535353535355,1005.0
134,44.0,1122.0,-69.2828282828283,1005.0
135,45.0,1140.0,-71.64646464646466,1005.0
136,45.0,1075.0,-63.1111111111111,1005.0
137,45.0,1094.0,-65.60606060606058,1005.0
138,46.0,1068.0,-62.191919191919176,1005.0
139,46.0,1110.0,-67.70707070707074,1005.0
140,46.0,1056.0,-60.616161616161634,1005.0
141,47.0,1077.0,-63.37373737373735,1005.0
142,47.0,1102.0,-66.65656565656568,1005.0
143,47.0,1107.0,-67.31313131313134,1005.0
144,48.0,1112.0,-67.96969696969698,1005.0
145,48.0,1094.0,-65.60606060606058,1005.0
146,48.0,1152.0,-73.22222222222223,1005.0
147,49.0,1140.0,-71.64646464646466,1005.0
148,49.0,1149.0,-72.82828282828285,1005.0
149,49.0,1109.0,-67.57575757575759,1005.0
150,50.0,1108.0,-67.44444444444444,1005.0
151,50.0,1096.0,-65.8686868686869,1005.0
152,50.0,1105.0,-67.05050505050505,1005.0
153,51.0,1085.0,-64.42424242424244,1005.0
154,51.0,1073.0,-62.84848484848487,1005.0
155,51.0,1090.0,-65.08080808080807,1005.0
156,52.0,1116.0,-68.49494949494951,1005.0
157,52.0,1110.0,-67.70707070707071,1005.0
158,52.0,1079.0,-63.63636363636365,1005.0
159,53.0,1121.0,-69.15151515151514,1005.0
160,53.0,1071.0,-62.58585858585861,1005.0
161,53.0,1117.0,-68.62626262626266,1005.0
162,54.0,1109.0,-67.57575757575759,1005.0
163,54.0,1091.0,-65.21212121212123,1005.0
164,54.0,1123.0,-69.41414141414141,1005.0
165,55.0,1082.0,-64.03030303030305,1005.0
166,55.0,1096.0,-65.86868686868686,1005.0
167,55.0,1117.0,-68.62626262626263,1005.0
168,56.0,1151.0,-73.0909090909091,1005.0
169,56.0,1102.0,-66.65656565656569,1005.0
170,56.0,1075.0,-63.11111111111114,1005.0
171,57.0,1116.0,-68.49494949494951,1005.0
172,57.0,1166.0,-75.06060606060606,1005.0
173,57.0,1083.0,-64.16161616161618,1005.0
174,58.0,1087.0,-64.6868686868687,1005.0
175,58.0,1062.0,-61.40404040404044,1005.0
176,58.0,1085.0,-64.42424242424244,1005.0
177,59.0,1166.0,-75.0606060606061,1005.0
178,59.0,1146.0,-72.43434343434345,1005.0
179,59.0,1104.0,-66.91919191919195,1005.0
180,60.0,1085.0,-64.42424242424244,1005.0
181,60.0,1187.0,-77.81818181818183,1005.0
182,60.0,1094.0,-65.60606060606062,1005.0
183,61.0,1113.0,-68.1010101010101,1005.0
184,61.0,1096.0,-65.86868686868688,1005.0
185,61.0,1088.0,-64.81818181818181,1005.0
186,62.0,1075.0,-63.11111111111112,1005.0
187,62.0,1105.0,-67.05050505050507,1005.0
188,62.0,1078.0,-63.50505050505053,1005.0
189,63.0,1082.0,-64.03030303030306,1005.0
190,63.0,1094.0,-65.60606060606061,1005.0
191,63.0,1075.0,-63.11111111111116,1005.0
192,64.0,1084.0,-64.2929292929293,1005.0
193,64.0,1085.0,-64.42424242424245,1005.0
194,64.0,1116.0,-68.49494949494951,1005.0
195,65.0,1072.0,-62.71717171717173,1005.0
196,65.0,1094.0,-65.60606060606061,1005.0
197,65.0,1108.0,-67.44444444444447,1005.0
198,66.0,1080.0,-63.76767676767676,1005.0
199,66.0,1102.0,-66.65656565656568,1005.0
200,66.0,1146.0,-72.43434343434345,1005.0
201,67.0,1158.0,-74.01010101010104,1005.0
202,67.0,1163.0,-74.6666666666667,1005.0
203,67.0,1128.0,-70.07070707070712,1005.0
204,68.0,1108.0,-67.44444444444446,1005.0
205,68.0,1089.0,-64.94949494949498,1005.0
206,68.0,1200.0,-79.52525252525255,1005.0
207,69.0,1086.0,-64.55555555555554,1005.0
208,69.0,1096.0,-65.8686868686869,1005.0
209,69.0,1113.0,-68.1010101010101,1005.0
210,70.0,1115.0,-68.36363636363635,1005.0
211,70.0,1080.0,-63.76767676767677,1005.0
212,70.0,1086.0,-64.55555555555559,1005.0
213,71.0,1094.0,-65.60606060606062,1005.0
214,71.0,1207.0,-80.44444444444443,1005.0
215,71.0,1008.0,-54.31313131313131,1005.0
216,72.0,1084.0,-64.29292929292933,1005.0
217,72.0,1124.0,-69.54545454545453,1005.0
218,72.0,1110.0,-67.70707070707073,1005.0
219,73.0,1090.0,-65.08080808080808,1005.0
220,73.0,1091.0,-65.2121212121212,1005.0
221,73.0,1056.0,-60.616161616161634,1005.0
222,74.0,1108.0,-67.44444444444446,1005.0
223,74.0,1069.0,-62.323232323232354,1005.0
224,74.0,1099.0,-66.26262626262627,1005.0
225,75.0,1108.0,-67.44444444444446,1005.0
226,75.0,1060.0,-61.141414141414145,1005.0
227,75.0,1131.0,-70.46464646464648,1005.0
228,76.0,1078.0,-63.50505050505054,1005.0
229,76.0,1029.0,-57.070707070707094,1005.0
230,76.0,1146.0,-72.43434343434346,1005.0
231,77.0,1048.0,-59.56565656565656,1005.0
232,77.0,1052.0,-60.09090909090909,1005.0
233,77.0,1139.0,-71.51515151515152,1005.0
