,episode,make_span,reward,min make span
0,0.0,1014.0,-55.101010101010104,1014.0
1,0.0,1051.0,-59.959595959595966,1014.0
2,0.0,1075.0,-63.11111111111111,1014.0
3,1.0,1061.0,-61.272727272727295,1014.0
4,1.0,1055.0,-60.48484848484852,1014.0
5,1.0,1021.0,-56.02020202020202,1014.0
6,2.0,1073.0,-62.84848484848485,1014.0
7,2.0,1098.0,-66.13131313131315,1014.0
8,2.0,1068.0,-62.1919191919192,1014.0
9,3.0,1149.0,-72.82828282828285,1014.0
10,3.0,1083.0,-64.16161616161617,1014.0
11,3.0,1007.0,-54.18181818181819,1007.0
12,4.0,1132.0,-70.59595959595961,1007.0
13,4.0,1238.0,-84.51515151515152,1007.0
14,4.0,1129.0,-70.20202020202021,1007.0
15,5.0,1000.0,-53.26262626262624,1000.0
16,5.0,1118.0,-68.75757575757576,1000.0
17,5.0,1161.0,-74.40404040404043,1000.0
18,6.0,1083.0,-64.16161616161615,1000.0
19,6.0,1066.0,-61.929292929292956,1000.0
20,6.0,1066.0,-61.92929292929293,1000.0
21,7.0,1070.0,-62.45454545454545,1000.0
22,7.0,1056.0,-60.61616161616162,1000.0
23,7.0,1103.0,-66.78787878787881,1000.0
24,8.0,1083.0,-64.16161616161617,1000.0
25,8.0,1054.0,-60.35353535353538,1000.0
26,8.0,1061.0,-61.27272727272728,1000.0
27,9.0,1071.0,-62.58585858585862,1000.0
28,9.0,1051.0,-59.95959595959597,1000.0
29,9.0,1075.0,-63.11111111111113,1000.0
30,10.0,1043.0,-58.909090909090914,1000.0
31,10.0,1106.0,-67.18181818181819,1000.0
32,10.0,1046.0,-59.30303030303034,1000.0
33,11.0,1026.0,-56.67676767676769,1000.0
34,11.0,1053.0,-60.22222222222223,1000.0
35,11.0,1103.0,-66.78787878787881,1000.0
36,12.0,1066.0,-61.92929292929294,1000.0
37,12.0,1059.0,-61.010101010101025,1000.0
38,12.0,1059.0,-61.01010101010104,1000.0
39,13.0,1035.0,-57.85858585858588,1000.0
40,13.0,1051.0,-59.959595959595944,1000.0
41,13.0,1149.0,-72.82828282828285,1000.0
42,14.0,1184.0,-77.42424242424241,1000.0
43,14.0,1101.0,-66.52525252525253,1000.0
44,14.0,1043.0,-58.90909090909091,1000.0
45,15.0,1026.0,-56.676767676767696,1000.0
46,15.0,1034.0,-57.72727272727275,1000.0
47,15.0,1066.0,-61.92929292929291,1000.0
48,16.0,1070.0,-62.45454545454547,1000.0
49,16.0,1103.0,-66.7878787878788,1000.0
50,16.0,1043.0,-58.90909090909093,1000.0
51,17.0,1083.0,-64.16161616161618,1000.0
52,17.0,1058.0,-60.87878787878791,1000.0
53,17.0,1068.0,-62.191919191919226,1000.0
54,18.0,1066.0,-61.92929292929293,1000.0
55,18.0,1149.0,-72.82828282828285,1000.0
56,18.0,1031.0,-57.333333333333385,1000.0
57,19.0,1026.0,-56.67676767676767,1000.0
58,19.0,1054.0,-60.35353535353535,1000.0
59,19.0,1117.0,-68.62626262626264,1000.0
60,20.0,1138.0,-71.38383838383842,1000.0
61,20.0,1100.0,-66.3939393939394,1000.0
62,20.0,1138.0,-71.38383838383838,1000.0
63,21.0,1071.0,-62.58585858585859,1000.0
64,21.0,1060.0,-61.14141414141414,1000.0
65,21.0,1113.0,-68.10101010101012,1000.0
66,22.0,1021.0,-56.020202020202014,1000.0
67,22.0,1115.0,-68.36363636363637,1000.0
68,22.0,1101.0,-66.52525252525251,1000.0
69,23.0,1069.0,-62.32323232323236,1000.0
70,23.0,1022.0,-56.151515151515156,1000.0
71,23.0,1066.0,-61.92929292929297,1000.0
72,24.0,1083.0,-64.16161616161618,1000.0
73,24.0,1066.0,-61.92929292929294,1000.0
74,24.0,1125.0,-69.6767676767677,1000.0
75,25.0,1042.0,-58.77777777777776,1000.0
76,25.0,1039.0,-58.38383838383836,1000.0
