,episode,make_span,reward,min make span
0,0.0,1373.0,-106.0202020202021,1373.0
1,0.0,1372.0,-105.8585858585859,1372.0
2,0.0,1433.0,-115.71717171717175,1372.0
3,1.0,1367.0,-105.05050505050505,1367.0
4,1.0,1463.0,-120.56565656565661,1367.0
5,1.0,1387.0,-108.28282828282835,1367.0
6,2.0,1450.0,-118.46464646464653,1367.0
7,2.0,1351.0,-102.46464646464648,1351.0
8,2.0,1528.0,-131.07070707070713,1351.0
9,3.0,1533.0,-131.87878787878793,1351.0
10,3.0,1364.0,-104.56565656565661,1351.0
11,3.0,1443.0,-117.33333333333339,1351.0
12,4.0,1397.0,-109.89898989898995,1351.0
13,4.0,1358.0,-103.59595959595964,1351.0
14,4.0,1417.0,-113.13131313131319,1351.0
15,5.0,1406.0,-111.35353535353536,1351.0
16,5.0,1424.0,-114.26262626262627,1351.0
17,5.0,1427.0,-114.74747474747474,1351.0
18,6.0,1526.0,-130.74747474747474,1351.0
19,6.0,1384.0,-107.79797979797982,1351.0
20,6.0,1361.0,-104.08080808080811,1351.0
21,7.0,1396.0,-109.73737373737376,1351.0
22,7.0,1378.0,-106.82828282828287,1351.0
23,7.0,1373.0,-106.02020202020205,1351.0
24,8.0,1458.0,-119.75757575757584,1351.0
25,8.0,1358.0,-103.59595959595961,1351.0
26,8.0,1379.0,-106.98989898989906,1351.0
27,9.0,1364.0,-104.56565656565662,1351.0
28,9.0,1373.0,-106.02020202020205,1351.0
29,9.0,1471.0,-121.85858585858585,1351.0
30,10.0,1565.0,-137.05050505050508,1351.0
31,10.0,1399.0,-110.22222222222226,1351.0
32,10.0,1465.0,-120.88888888888891,1351.0
33,11.0,1389.0,-108.6060606060606,1351.0
34,11.0,1487.0,-124.4444444444445,1351.0
35,11.0,1402.0,-110.70707070707067,1351.0
36,12.0,1381.0,-107.31313131313132,1351.0
37,12.0,1414.0,-112.64646464646466,1351.0
38,12.0,1478.0,-122.98989898989907,1351.0
39,13.0,1449.0,-118.30303030303033,1351.0
40,13.0,1378.0,-106.82828282828282,1351.0
41,13.0,1346.0,-101.65656565656568,1346.0
42,14.0,1443.0,-117.33333333333336,1346.0
43,14.0,1505.0,-127.35353535353536,1346.0
44,14.0,1422.0,-113.93939393939398,1346.0
45,15.0,1409.0,-111.83838383838386,1346.0
