,SPT,MWKR,FDD/MWKR,MOPNR,LRM,FIFO,LPT,LWKR,FDD/LWKR,LOPNR,SRM,LIFO
abz5,952,949,982,935,914,915,1132,1032,959,1100,959,950
abz6,862,760,860,797,775,766,755,772,775,796,848,826
abz7,579,502,522,514,504,516,633,759,727,743,665,625
abz8,603,520,554,538,537,569,634,705,672,682,734,672
abz9,593,508,571,530,518,575,615,671,705,670,703,728
car1,6985,5169,6002,5715,5858,5573,6424,8735,6157,8506,7918,7277
car2,8198,6204,7047,6227,6086,6181,6504,7599,7194,7061,6926,6710
car3,6342,5875,7074,6855,6181,6105,6718,7258,6324,7100,7036,7244
car4,7383,7605,7174,7642,7563,7963,7602,7247,7160,7184,7232,7817
car5,5870,5259,5992,6076,6123,5538,6255,6422,6722,7125,6380,6969
car6,6254,5707,5899,6374,5866,5964,6514,7012,7485,7485,6762,7485
car7,4959,4794,5252,5298,4794,4911,6197,5591,5020,5548,5548,6005
car8,5412,4808,5204,5385,5285,5204,5388,5782,6041,6178,5707,6041
la01,625,627,735,618,623,627,756,818,860,761,750,717
la02,687,571,684,576,617,603,575,776,657,687,701,644
la03,564,535,630,527,524,518,572,607,511,559,634,583
la04,613,548,680,579,548,536,625,686,629,670,620,653
la05,686,475,523,486,501,505,641,699,505,554,705,633
la06,1100,823,859,829,831,899,874,1078,1052,1019,1061,1108
la07,942,780,943,772,783,816,919,898,905,867,1014,906
la08,898,815,857,791,846,810,923,921,965,899,884,864
la09,933,874,902,897,907,894,905,1006,986,1049,1073,993
la10,913,812,962,891,852,854,956,946,921,874,1001,958
la11,1181,1102,1167,1114,1135,1107,1146,1295,1218,1323,1241,1204
la12,1007,950,989,984,982,952,998,1197,1067,1098,1139,1095
la13,1167,1049,1159,1065,1067,1080,1258,1259,1169,1248,1268,1311
la14,1313,1086,1259,1170,1103,1116,1160,1274,1248,1282,1303,1200
la15,1138,1100,1215,1155,1142,1115,1446,1271,1259,1240,1506,1396
la16,751,767,776,789,767,747,769,766,799,798,814,818
la17,704,682,708,683,668,663,679,761,683,646,761,701
la18,667,671,663,675,667,673,663,724,684,684,731,663
la19,650,680,655,701,634,656,690,696,763,712,686,684
la20,811,762,771,787,756,757,762,817,776,837,763,795
la21,986,832,1004,867,847,881,1024,1260,1095,1089,1052,967
la22,848,783,814,785,769,802,901,1144,884,1100,1108,972
la23,989,855,963,863,876,917,1024,1027,1099,1127,1104,1171
la24,1086,806,877,853,811,888,876,1240,979,990,1183,1028
la25,1013,776,868,832,824,940,952,1279,975,992,1202,1058
la26,1214,1069,1295,1123,1121,1114,1412,1354,1213,1319,1358,1508
la27,1384,1116,1212,1141,1150,1157,1409,1355,1416,1423,1392,1409
la28,1393,1085,1333,1098,1122,1112,1322,1420,1278,1292,1388,1264
la29,1435,1043,1222,1042,1036,1073,1266,1298,1296,1300,1288,1206
la30,1448,1094,1214,1103,1111,1149,1349,1434,1361,1390,1378,1591
la31,1845,1530,1636,1582,1568,1587,1780,1767,1819,1754,1803,1837
la32,2106,1675,1817,1747,1751,1808,1880,1964,2025,1947,2072,2065
la33,1614,1516,1666,1543,1541,1555,1769,1912,1789,1724,1780,1717
la34,1682,1558,1689,1558,1591,1602,1808,1798,1913,1799,1880,1697
la35,1764,1561,1689,1604,1625,1596,1809,1801,1815,1773,1787,1877
la36,978,966,994,990,982,992,995,1054,974,1025,1049,995
la37,1053,1020,1013,1040,1029,1043,1037,1084,1040,1183,1050,1001
la38,962,978,951,991,949,949,1016,984,960,955,1045,999
la39,1008,978,1000,960,962,975,1008,1019,1006,1019,1039,1032
la40,1013,956,988,971,964,979,993,1023,1016,1003,1069,984
mt06,54,47,51,47,47,51,47,55,47,47,55,48
mt10,666,656,668,663,655,666,737,761,673,670,685,876
mt20,1237,1081,1114,1052,1043,1068,1129,1238,1156,1132,1136,1124
orb1,749,715,789,762,761,780,795,752,773,807,760,809
orb10,752,728,688,740,739,771,694,735,708,698,757,773
orb2,735,679,650,683,723,680,700,708,719,746,732,765
orb3,770,763,746,793,779,750,808,739,805,805,866,804
orb4,838,793,804,759,753,791,792,861,757,817,806,799
orb5,606,593,645,623,622,627,629,643,669,668,644,631
orb6,753,732,765,765,719,728,715,732,723,716,732,741
orb7,318,282,308,288,346,305,296,322,307,314,311,294
orb8,644,647,615,664,631,656,692,725,781,781,728,755
orb9,764,693,797,723,689,731,735,748,733,689,852,724
