,episode,make_span,reward,min_make_span
0,0.0,635.0,-3.3265306122448983,635.0
1,0.0,626.0,-2.86734693877551,626.0
2,0.0,655.0,-4.346938775510203,626.0
3,1.0,639.0,-3.5306122448979593,626.0
4,1.0,672.0,-5.214285714285714,626.0
5,1.0,718.0,-7.561224489795919,626.0
6,2.0,772.0,-10.316326530612246,626.0
7,2.0,630.0,-3.071428571428571,626.0
8,2.0,727.0,-8.020408163265305,626.0
9,3.0,645.0,-3.836734693877551,626.0
10,3.0,629.0,-3.020408163265306,626.0
11,3.0,670.0,-5.112244897959184,626.0
12,4.0,762.0,-9.806122448979592,626.0
13,4.0,640.0,-3.5816326530612246,626.0
14,4.0,710.0,-7.153061224489796,626.0
15,5.0,719.0,-7.612244897959183,626.0
16,5.0,668.0,-5.010204081632653,626.0
17,5.0,641.0,-3.63265306122449,626.0
18,6.0,664.0,-4.8061224489795915,626.0
19,6.0,638.0,-3.479591836734694,626.0
20,6.0,638.0,-3.479591836734694,626.0
21,7.0,671.0,-5.163265306122449,626.0
22,7.0,658.0,-4.5,626.0
23,7.0,645.0,-3.836734693877551,626.0
24,8.0,778.0,-10.622448979591836,626.0
25,8.0,731.0,-8.224489795918366,626.0
26,8.0,642.0,-3.683673469387755,626.0
27,9.0,682.0,-5.724489795918368,626.0
28,9.0,610.0,-2.0510204081632653,610.0
29,9.0,765.0,-9.959183673469386,610.0
30,10.0,661.0,-4.653061224489796,610.0
31,10.0,627.0,-2.9183673469387754,610.0
32,10.0,610.0,-2.0510204081632653,610.0
33,11.0,669.0,-5.061224489795919,610.0
34,11.0,665.0,-4.857142857142858,610.0
35,11.0,643.0,-3.7346938775510203,610.0
36,12.0,630.0,-3.0714285714285716,610.0
37,12.0,678.0,-5.520408163265306,610.0
38,12.0,644.0,-3.785714285714286,610.0
39,13.0,720.0,-7.663265306122449,610.0
40,13.0,672.0,-5.214285714285714,610.0
41,13.0,788.0,-11.132653061224488,610.0
42,14.0,680.0,-5.622448979591837,610.0
43,14.0,637.0,-3.4285714285714284,610.0
44,14.0,669.0,-5.061224489795919,610.0
45,15.0,628.0,-2.969387755102041,610.0
46,15.0,629.0,-3.020408163265306,610.0
47,15.0,780.0,-10.724489795918368,610.0
48,16.0,740.0,-8.683673469387756,610.0
49,16.0,687.0,-5.979591836734693,610.0
50,16.0,725.0,-7.9183673469387745,610.0
51,17.0,638.0,-3.4795918367346936,610.0
52,17.0,654.0,-4.295918367346939,610.0
53,17.0,700.0,-6.642857142857142,610.0
54,18.0,681.0,-5.673469387755102,610.0
55,18.0,718.0,-7.561224489795919,610.0
56,18.0,749.0,-9.142857142857142,610.0
57,19.0,855.0,-14.551020408163264,610.0
58,19.0,647.0,-3.938775510204082,610.0
59,19.0,636.0,-3.377551020408163,610.0
60,20.0,786.0,-11.03061224489796,610.0
61,20.0,659.0,-4.551020408163265,610.0
62,20.0,684.0,-5.826530612244898,610.0
63,21.0,676.0,-5.4183673469387745,610.0
64,21.0,680.0,-5.622448979591837,610.0
65,21.0,600.0,-1.5408163265306123,600.0
66,22.0,606.0,-1.846938775510204,600.0
67,22.0,716.0,-7.459183673469387,600.0
68,22.0,675.0,-5.36734693877551,600.0
69,23.0,634.0,-3.2755102040816326,600.0
70,23.0,663.0,-4.755102040816327,600.0
71,23.0,684.0,-5.826530612244898,600.0
72,24.0,679.0,-5.571428571428571,600.0
73,24.0,608.0,-1.9489795918367347,600.0
74,24.0,615.0,-2.306122448979592,600.0
75,25.0,814.0,-12.45918367346939,600.0
76,25.0,700.0,-6.642857142857143,600.0
77,25.0,670.0,-5.112244897959184,600.0
78,26.0,607.0,-1.8979591836734695,600.0
79,26.0,595.0,-1.2857142857142856,595.0
80,26.0,603.0,-1.693877551020408,595.0
81,27.0,678.0,-5.520408163265306,595.0
82,27.0,704.0,-6.846938775510204,595.0
83,27.0,696.0,-6.438775510204082,595.0
84,28.0,708.0,-7.051020408163266,595.0
85,28.0,639.0,-3.5306122448979593,595.0
86,28.0,664.0,-4.8061224489795915,595.0
87,29.0,612.0,-2.1530612244897958,595.0
88,29.0,706.0,-6.948979591836735,595.0
89,29.0,674.0,-5.316326530612245,595.0
90,30.0,727.0,-8.020408163265305,595.0
91,30.0,655.0,-4.346938775510204,595.0
92,30.0,760.0,-9.704081632653061,595.0
93,31.0,705.0,-6.8979591836734695,595.0
94,31.0,675.0,-5.367346938775509,595.0
95,31.0,656.0,-4.3979591836734695,595.0
