,episode,make_span,reward,min_make_span
0,0.0,863.0,-3.0412371134020617,863.0
1,0.0,867.0,-3.247422680412371,863.0
2,0.0,938.0,-6.90721649484536,863.0
3,1.0,891.0,-4.484536082474227,863.0
4,1.0,891.0,-4.484536082474227,863.0
5,1.0,859.0,-2.8350515463917523,859.0
6,2.0,877.0,-3.7628865979381443,859.0
7,2.0,873.0,-3.556701030927835,859.0
8,2.0,860.0,-2.88659793814433,859.0
9,3.0,944.0,-7.216494845360824,859.0
10,3.0,889.0,-4.381443298969073,859.0
11,3.0,934.0,-6.701030927835052,859.0
12,4.0,854.0,-2.577319587628866,854.0
13,4.0,933.0,-6.649484536082474,854.0
14,4.0,843.0,-2.0103092783505154,843.0
15,5.0,909.0,-5.412371134020619,843.0
16,5.0,873.0,-3.556701030927835,843.0
17,5.0,920.0,-5.979381443298969,843.0
18,6.0,836.0,-1.6494845360824741,836.0
19,6.0,907.0,-5.309278350515464,836.0
20,6.0,840.0,-1.8556701030927836,836.0
21,7.0,860.0,-2.8865979381443294,836.0
22,7.0,883.0,-4.072164948453608,836.0
23,7.0,841.0,-1.9072164948453607,836.0
24,8.0,939.0,-6.958762886597938,836.0
25,8.0,870.0,-3.402061855670103,836.0
26,8.0,941.0,-7.0618556701030935,836.0
27,9.0,876.0,-3.711340206185567,836.0
28,9.0,906.0,-5.257731958762886,836.0
29,9.0,866.0,-3.195876288659794,836.0
30,10.0,897.0,-4.793814432989691,836.0
31,10.0,874.0,-3.608247422680412,836.0
32,10.0,920.0,-5.97938144329897,836.0
33,11.0,833.0,-1.4948453608247423,833.0
34,11.0,974.0,-8.762886597938143,833.0
35,11.0,862.0,-2.9896907216494846,833.0
36,12.0,854.0,-2.5773195876288657,833.0
37,12.0,847.0,-2.216494845360825,833.0
38,12.0,817.0,-0.6701030927835051,817.0
39,13.0,890.0,-4.43298969072165,817.0
40,13.0,881.0,-3.9690721649484537,817.0
41,13.0,889.0,-4.381443298969072,817.0
42,14.0,841.0,-1.9072164948453607,817.0
43,14.0,912.0,-5.56701030927835,817.0
44,14.0,856.0,-2.680412371134021,817.0
45,15.0,886.0,-4.226804123711339,817.0
46,15.0,859.0,-2.8350515463917527,817.0
47,15.0,842.0,-1.958762886597938,817.0
48,16.0,893.0,-4.587628865979381,817.0
49,16.0,891.0,-4.484536082474227,817.0
50,16.0,843.0,-2.0103092783505154,817.0
51,17.0,837.0,-1.7010309278350515,817.0
52,17.0,836.0,-1.6494845360824741,817.0
53,17.0,915.0,-5.721649484536083,817.0
54,18.0,834.0,-1.5463917525773196,817.0
55,18.0,854.0,-2.5773195876288657,817.0
56,18.0,905.0,-5.206185567010309,817.0
57,19.0,941.0,-7.061855670103093,817.0
58,19.0,905.0,-5.206185567010309,817.0
59,19.0,877.0,-3.7628865979381443,817.0
60,20.0,836.0,-1.6494845360824741,817.0
61,20.0,847.0,-2.216494845360825,817.0
62,20.0,824.0,-1.0309278350515463,817.0
63,21.0,863.0,-3.0412371134020617,817.0
64,21.0,866.0,-3.1958762886597936,817.0
65,21.0,893.0,-4.587628865979381,817.0
66,22.0,848.0,-2.268041237113402,817.0
67,22.0,845.0,-2.11340206185567,817.0
68,22.0,823.0,-0.979381443298969,817.0
69,23.0,843.0,-2.0103092783505154,817.0
70,23.0,853.0,-2.5257731958762886,817.0
71,23.0,882.0,-4.020618556701031,817.0
72,24.0,838.0,-1.7525773195876289,817.0
73,24.0,819.0,-0.7731958762886597,817.0
74,24.0,833.0,-1.4948453608247423,817.0
75,25.0,833.0,-1.4948453608247423,817.0
76,25.0,839.0,-1.8041237113402062,817.0
77,25.0,842.0,-1.958762886597938,817.0
78,26.0,832.0,-1.443298969072165,817.0
79,26.0,826.0,-1.134020618556701,817.0
80,26.0,854.0,-2.5773195876288657,817.0
81,27.0,898.0,-4.845360824742269,817.0
82,27.0,830.0,-1.3402061855670102,817.0
83,27.0,871.0,-3.4536082474226806,817.0
84,28.0,832.0,-1.4432989690721651,817.0
85,28.0,843.0,-2.0103092783505154,817.0
86,28.0,854.0,-2.5773195876288657,817.0
87,29.0,826.0,-1.134020618556701,817.0
88,29.0,849.0,-2.319587628865979,817.0
89,29.0,929.0,-6.443298969072165,817.0
90,30.0,918.0,-5.876288659793814,817.0
91,30.0,872.0,-3.5051546391752577,817.0
92,30.0,844.0,-2.0618556701030926,817.0
93,31.0,868.0,-3.2989690721649487,817.0
94,31.0,864.0,-3.092783505154639,817.0
