,episode,make_span,reward,min_make_span
0,0.0,708.0,-9.060606060606062,708.0
1,0.0,617.0,-4.4646464646464645,617.0
2,0.0,581.0,-2.646464646464646,581.0
3,0.0,571.0,-2.1414141414141414,571.0
4,0.0,676.0,-7.444444444444444,571.0
5,0.0,596.0,-3.404040404040404,571.0
6,0.0,638.0,-5.525252525252525,571.0
7,0.0,564.0,-1.7878787878787878,564.0
8,0.0,589.0,-3.0505050505050506,564.0
9,1.0,704.0,-8.858585858585858,564.0
10,1.0,716.0,-9.464646464646465,564.0
11,1.0,584.0,-2.797979797979798,564.0
12,1.0,583.0,-2.7474747474747474,564.0
13,1.0,688.0,-8.05050505050505,564.0
14,1.0,678.0,-7.545454545454545,564.0
15,1.0,659.0,-6.585858585858586,564.0
16,1.0,634.0,-5.3232323232323235,564.0
17,1.0,630.0,-5.121212121212121,564.0
18,2.0,645.0,-5.878787878787879,564.0
19,2.0,620.0,-4.616161616161616,564.0
20,2.0,595.0,-3.353535353535354,564.0
21,2.0,642.0,-5.7272727272727275,564.0
22,2.0,621.0,-4.666666666666666,564.0
23,2.0,678.0,-7.545454545454545,564.0
24,2.0,704.0,-8.85858585858586,564.0
25,2.0,601.0,-3.6565656565656566,564.0
26,2.0,660.0,-6.636363636363637,564.0
27,3.0,719.0,-9.616161616161616,564.0
28,3.0,587.0,-2.9494949494949494,564.0
29,3.0,620.0,-4.616161616161617,564.0
30,3.0,651.0,-6.181818181818182,564.0
31,3.0,612.0,-4.212121212121213,564.0
32,3.0,606.0,-3.909090909090909,564.0
33,3.0,664.0,-6.838383838383838,564.0
34,3.0,601.0,-3.6565656565656566,564.0
35,3.0,626.0,-4.919191919191919,564.0
36,4.0,638.0,-5.525252525252526,564.0
37,4.0,613.0,-4.262626262626263,564.0
38,4.0,662.0,-6.737373737373737,564.0
39,4.0,631.0,-5.171717171717171,564.0
40,4.0,586.0,-2.898989898989899,564.0
41,4.0,601.0,-3.6565656565656566,564.0
42,4.0,629.0,-5.070707070707071,564.0
43,4.0,728.0,-10.070707070707071,564.0
44,4.0,648.0,-6.03030303030303,564.0
45,5.0,708.0,-9.060606060606062,564.0
46,5.0,577.0,-2.4444444444444446,564.0
47,5.0,671.0,-7.191919191919192,564.0
48,5.0,617.0,-4.4646464646464645,564.0
49,5.0,567.0,-1.9393939393939394,564.0
50,5.0,623.0,-4.767676767676767,564.0
51,5.0,574.0,-2.292929292929293,564.0
52,5.0,596.0,-3.404040404040404,564.0
53,5.0,663.0,-6.787878787878788,564.0
54,6.0,588.0,-3.0,564.0
55,6.0,605.0,-3.858585858585859,564.0
56,6.0,620.0,-4.616161616161616,564.0
57,6.0,610.0,-4.111111111111111,564.0
58,6.0,791.0,-13.252525252525253,564.0
59,6.0,651.0,-6.181818181818182,564.0
60,6.0,585.0,-2.8484848484848486,564.0
61,6.0,582.0,-2.696969696969697,564.0
62,6.0,675.0,-7.393939393939394,564.0
63,7.0,686.0,-7.949494949494949,564.0
64,7.0,664.0,-6.838383838383839,564.0
65,7.0,587.0,-2.9494949494949494,564.0
66,7.0,579.0,-2.5454545454545454,564.0
67,7.0,872.0,-17.343434343434346,564.0
68,7.0,633.0,-5.2727272727272725,564.0
69,7.0,594.0,-3.3030303030303028,564.0
70,7.0,639.0,-5.575757575757576,564.0
71,7.0,641.0,-5.6767676767676765,564.0
72,8.0,631.0,-5.171717171717171,564.0
73,8.0,644.0,-5.828282828282829,564.0
74,8.0,563.0,-1.7373737373737372,563.0
75,8.0,715.0,-9.414141414141413,563.0
76,8.0,565.0,-1.8383838383838385,563.0
77,8.0,657.0,-6.484848484848484,563.0
78,8.0,605.0,-3.8585858585858586,563.0
79,8.0,632.0,-5.222222222222222,563.0
80,8.0,611.0,-4.161616161616161,563.0
81,9.0,780.0,-12.696969696969697,563.0
82,9.0,623.0,-4.767676767676768,563.0
83,9.0,582.0,-2.696969696969697,563.0
84,9.0,641.0,-5.6767676767676765,563.0
85,9.0,642.0,-5.727272727272727,563.0
