,episode,make_span,reward,min_make_span
0,0.0,759.0,-9.653061224489797,759.0
1,0.0,709.0,-7.1020408163265305,709.0
2,0.0,661.0,-4.653061224489796,661.0
3,1.0,811.0,-12.30612244897959,661.0
4,1.0,641.0,-3.63265306122449,641.0
5,1.0,621.0,-2.612244897959184,621.0
6,2.0,770.0,-10.214285714285715,621.0
7,2.0,614.0,-2.2551020408163267,614.0
8,2.0,770.0,-10.214285714285715,614.0
9,3.0,708.0,-7.051020408163265,614.0
10,3.0,740.0,-8.683673469387756,614.0
11,3.0,641.0,-3.63265306122449,614.0
12,4.0,642.0,-3.683673469387755,614.0
13,4.0,682.0,-5.724489795918368,614.0
14,4.0,668.0,-5.0102040816326525,614.0
15,5.0,723.0,-7.816326530612245,614.0
16,5.0,680.0,-5.622448979591837,614.0
17,5.0,666.0,-4.908163265306123,614.0
18,6.0,661.0,-4.653061224489796,614.0
19,6.0,809.0,-12.204081632653061,614.0
20,6.0,658.0,-4.5,614.0
21,7.0,699.0,-6.591836734693878,614.0
22,7.0,641.0,-3.63265306122449,614.0
23,7.0,663.0,-4.755102040816327,614.0
24,8.0,682.0,-5.724489795918367,614.0
25,8.0,685.0,-5.877551020408163,614.0
26,8.0,613.0,-2.2040816326530615,613.0
27,9.0,616.0,-2.357142857142857,613.0
28,9.0,750.0,-9.193877551020407,613.0
29,9.0,663.0,-4.755102040816326,613.0
30,10.0,632.0,-3.173469387755102,613.0
31,10.0,648.0,-3.9897959183673466,613.0
32,10.0,614.0,-2.2551020408163263,613.0
33,11.0,666.0,-4.908163265306122,613.0
34,11.0,651.0,-4.142857142857143,613.0
35,11.0,656.0,-4.3979591836734695,613.0
36,12.0,668.0,-5.0102040816326525,613.0
37,12.0,677.0,-5.469387755102041,613.0
38,12.0,636.0,-3.377551020408163,613.0
39,13.0,656.0,-4.3979591836734695,613.0
40,13.0,709.0,-7.1020408163265305,613.0
41,13.0,627.0,-2.918367346938776,613.0
42,14.0,655.0,-4.346938775510204,613.0
43,14.0,598.0,-1.4387755102040816,598.0
44,14.0,626.0,-2.86734693877551,598.0
45,15.0,636.0,-3.3775510204081636,598.0
46,15.0,611.0,-2.1020408163265305,598.0
47,15.0,622.0,-2.663265306122449,598.0
48,16.0,645.0,-3.836734693877551,598.0
49,16.0,610.0,-2.0510204081632653,598.0
50,16.0,805.0,-12.0,598.0
51,17.0,670.0,-5.112244897959184,598.0
52,17.0,628.0,-2.9693877551020407,598.0
53,17.0,647.0,-3.938775510204082,598.0
54,18.0,730.0,-8.173469387755102,598.0
55,18.0,670.0,-5.112244897959184,598.0
56,18.0,609.0,-2.0,598.0
57,19.0,627.0,-2.9183673469387754,598.0
58,19.0,657.0,-4.448979591836735,598.0
59,19.0,671.0,-5.163265306122449,598.0
60,20.0,619.0,-2.510204081632653,598.0
61,20.0,697.0,-6.4897959183673475,598.0
62,20.0,652.0,-4.1938775510204085,598.0
63,21.0,656.0,-4.3979591836734695,598.0
64,21.0,613.0,-2.204081632653061,598.0
65,21.0,699.0,-6.591836734693878,598.0
66,22.0,623.0,-2.7142857142857144,598.0
67,22.0,614.0,-2.2551020408163263,598.0
68,22.0,645.0,-3.8367346938775513,598.0
69,23.0,666.0,-4.908163265306123,598.0
70,23.0,631.0,-3.1224489795918364,598.0
71,23.0,645.0,-3.836734693877551,598.0
72,24.0,638.0,-3.479591836734694,598.0
73,24.0,650.0,-4.091836734693878,598.0
74,24.0,721.0,-7.7142857142857135,598.0
75,25.0,627.0,-2.9183673469387754,598.0
76,25.0,645.0,-3.8367346938775513,598.0
77,25.0,617.0,-2.4081632653061225,598.0
78,26.0,600.0,-1.5408163265306123,598.0
79,26.0,828.0,-13.173469387755102,598.0
80,26.0,627.0,-2.9183673469387754,598.0
81,27.0,622.0,-2.663265306122449,598.0
82,27.0,630.0,-3.071428571428571,598.0
83,27.0,661.0,-4.653061224489796,598.0
84,28.0,619.0,-2.510204081632653,598.0
85,28.0,678.0,-5.520408163265306,598.0
86,28.0,646.0,-3.887755102040816,598.0
87,29.0,721.0,-7.714285714285714,598.0
88,29.0,646.0,-3.887755102040816,598.0
89,29.0,614.0,-2.2551020408163263,598.0
90,30.0,611.0,-2.1020408163265305,598.0
91,30.0,634.0,-3.2755102040816326,598.0
92,30.0,635.0,-3.3265306122448983,598.0
93,31.0,612.0,-2.1530612244897958,598.0
94,31.0,653.0,-4.244897959183673,598.0
95,31.0,666.0,-4.908163265306122,598.0
96,32.0,664.0,-4.8061224489795915,598.0
97,32.0,691.0,-6.183673469387755,598.0
98,32.0,645.0,-3.836734693877551,598.0
99,33.0,690.0,-6.13265306122449,598.0
100,33.0,593.0,-1.183673469387755,593.0
101,33.0,632.0,-3.173469387755102,593.0
102,34.0,663.0,-4.755102040816327,593.0
103,34.0,632.0,-3.173469387755102,593.0
104,34.0,666.0,-4.908163265306122,593.0
105,35.0,619.0,-2.510204081632653,593.0
106,35.0,647.0,-3.9387755102040813,593.0
107,35.0,707.0,-7.0,593.0
108,36.0,655.0,-4.346938775510204,593.0
109,36.0,730.0,-8.173469387755102,593.0
110,36.0,695.0,-6.387755102040816,593.0
111,37.0,643.0,-3.7346938775510203,593.0
112,37.0,605.0,-1.7959183673469388,593.0
113,37.0,640.0,-3.581632653061224,593.0
114,38.0,627.0,-2.918367346938776,593.0
115,38.0,616.0,-2.357142857142857,593.0
116,38.0,614.0,-2.2551020408163267,593.0
117,39.0,672.0,-5.214285714285714,593.0
118,39.0,654.0,-4.295918367346939,593.0
119,39.0,679.0,-5.571428571428571,593.0
120,40.0,649.0,-4.040816326530612,593.0
121,40.0,761.0,-9.755102040816327,593.0
122,40.0,688.0,-6.030612244897959,593.0
123,41.0,654.0,-4.295918367346939,593.0
124,41.0,621.0,-2.612244897959184,593.0
125,41.0,640.0,-3.5816326530612246,593.0
126,42.0,663.0,-4.755102040816327,593.0
127,42.0,686.0,-5.928571428571429,593.0
128,42.0,640.0,-3.5816326530612246,593.0
129,43.0,719.0,-7.612244897959183,593.0
130,43.0,641.0,-3.63265306122449,593.0
131,43.0,753.0,-9.346938775510203,593.0
132,44.0,691.0,-6.183673469387755,593.0
133,44.0,609.0,-2.0,593.0
134,44.0,617.0,-2.4081632653061225,593.0
135,45.0,634.0,-3.275510204081633,593.0
136,45.0,646.0,-3.8877551020408165,593.0
137,45.0,639.0,-3.5306122448979593,593.0
138,46.0,687.0,-5.979591836734693,593.0
139,46.0,675.0,-5.36734693877551,593.0
140,46.0,626.0,-2.86734693877551,593.0
141,47.0,747.0,-9.040816326530612,593.0
