,12-idle-solution-fjsp-2000-vdata,converged_iterations,total_time,min
la01,582.0,2861.0,177.41803908348083,580.0
la02,542.0,2006.0,131.30368566513062,535.0
la03,491.0,2132.0,140.04730319976807,484.0
la04,521.0,1493.0,94.4649453163147,514.0
la05,471.0,2996.0,183.6170370578766,460.0
la06,810.0,3410.0,304.85728430747986,803.0
la07,758.0,3014.0,265.3655889034271,753.0
la08,779.0,3725.0,355.29110455513,769.0
la09,862.0,2663.0,228.39700984954834,856.0
la10,817.0,2330.0,193.06873202323914,806.0
la11,1078.0,5786.0,644.6985828876495,1074.0
la12,941.0,3482.0,381.42567229270935,937.0
la13,1044.0,2618.0,284.57750177383423,1040.0
la14,1076.0,4085.0,448.52312994003296,1071.0
la15,1093.0,4679.0,521.4595918655396,1090.0
la16,720.0,3194.0,317.9627869129181,717.0
la17,646.0,2591.0,255.871737241745,646.0
la18,663.0,2123.0,208.20666360855103,663.0
la19,621.0,1907.0,185.73430395126343,621.0
la20,756.0,2843.0,281.67967891693115,756.0
la21,816.0,4454.0,872.6779634952545,809.0
la22,820.0,17288.0,3601.8545603752136,742.0
la23,853.0,5912.0,1144.5830345153809,827.0
la24,794.0,12824.0,2625.1225111484528,785.0
la25,824.0,14714.0,2998.4643800258636,761.0
la26,1062.0,12905.0,3600.5180242061615,1056.0
la27,1099.0,11258.0,3187.6320445537567,1087.0
la28,1086.0,12743.0,3600.106251001358,1074.0
la29,1003.0,5210.0,1392.8523404598236,999.0
la30,1078.0,3167.0,841.8850119113922,1077.0
la31,1525.0,7226.0,3603.991443157196,1522.0
la32,1676.0,7316.0,3600.559634923935,1669.0
la33,1506.0,6803.0,3601.9855720996857,1501.0
la34,1545.0,7739.0,3602.2313783168793,1540.0
la35,1559.0,8162.0,3603.3415110111237,1553.0
la36,961.0,5399.0,1467.096218585968,948.0
la37,994.0,4715.0,1233.7120025157928,986.0
la38,943.0,12347.0,3455.22607755661,943.0
la39,951.0,12689.0,3600.9733052253723,937.0
la40,958.0,7190.0,1977.612735748291,955.0
