,50m-idle-solution-fjsp-2000-vdata,converged_iterations,total_time,min
la01,575.0,2213.0,133.76049065589905,575.0
la02,565.0,2024.0,107.67719888687134,541.0
la03,487.0,1358.0,74.18348979949951,485.0
la04,528.0,1295.0,68.32046675682068,513.0
la05,476.0,1916.0,104.17155647277832,463.0
la06,808.0,2357.0,178.9448573589325,801.0
la07,753.0,4553.0,351.3353385925293,752.0
la08,770.0,5300.0,408.57776403427124,766.0
la09,860.0,3932.0,301.97830724716187,857.0
la10,808.0,5768.0,442.0265083312988,806.0
la11,1082.0,5588.0,573.3348689079285,1075.0
la12,944.0,5624.0,567.2216463088989,939.0
la13,1045.0,5300.0,543.5162818431854,1039.0
la14,1072.0,2933.0,287.51142740249634,1071.0
la15,1094.0,3617.0,356.71617317199707,1091.0
la16,724.0,3158.0,291.5094003677368,717.0
la17,646.0,3176.0,295.2143156528473,646.0
la18,663.0,6524.0,610.3571524620056,663.0
la19,620.0,2663.0,244.54412508010864,618.0
la20,757.0,4859.0,451.78016781806946,756.0
la21,824.0,13148.0,2396.955553293228,810.0
la22,752.0,12113.0,2180.00141954422,742.0
la23,827.0,12167.0,2163.9703330993652,819.0
la24,789.0,12275.0,2192.9248843193054,780.0
la25,777.0,10565.0,1895.8293280601501,766.0
la26,1070.0,14354.0,3600.390609741211,1055.0
la27,1098.0,14399.0,3602.051290988922,1090.0
la28,1088.0,14462.0,3600.229903459549,1073.0
la29,1020.0,14453.0,3601.2484183311462,1000.0
la30,1085.0,14309.0,3601.5073816776276,1075.0
la31,1524.0,8387.0,3602.1828558444977,1524.0
la32,1669.0,8243.0,3603.4980642795563,1667.0
la33,1512.0,8306.0,3600.3806688785553,1500.0
la34,1548.0,8342.0,3601.264701128006,1537.0
la35,1557.0,8225.0,3602.6091270446777,1553.0
la36,956.0,12752.0,3602.162337064743,948.0
la37,995.0,10088.0,2774.48485827446,987.0
la38,943.0,12779.0,3600.9679000377655,943.0
la39,947.0,5894.0,1591.7346098423004,935.0
la40,955.0,13022.0,3600.5628015995026,955.0
