,episode,make_span,reward,min_make_span
0,0.0,41.0,-4.333333333333334,41.0
1,0.0,49.0,-10.333333333333334,41.0
2,0.0,45.0,-6.666666666666666,41.0
3,1.0,51.0,-10.333333333333332,41.0
4,1.0,46.0,-10.166666666666668,41.0
5,1.0,51.0,-13.333333333333334,41.0
6,2.0,47.0,-12.0,41.0
7,2.0,40.0,-2.8333333333333335,40.0
8,2.0,39.0,-4.666666666666667,39.0
9,3.0,41.0,-4.5,39.0
10,3.0,57.0,-19.499999999999996,39.0
11,3.0,52.0,-17.333333333333332,39.0
12,4.0,43.0,-6.333333333333333,39.0
13,4.0,46.0,-8.166666666666666,39.0
14,4.0,43.0,-5.333333333333334,39.0
15,5.0,46.0,-7.166666666666667,39.0
16,5.0,47.0,-12.0,39.0
17,5.0,42.0,-7.333333333333333,39.0
18,6.0,46.0,-11.833333333333334,39.0
19,6.0,43.0,-6.666666666666666,39.0
20,6.0,41.0,-5.833333333333333,39.0
21,7.0,43.0,-7.5,39.0
22,7.0,49.0,-11.333333333333334,39.0
23,7.0,44.0,-8.833333333333332,39.0
24,8.0,41.0,-5.0,39.0
25,8.0,46.0,-11.5,39.0
26,8.0,45.0,-8.333333333333334,39.0
27,9.0,47.0,-10.5,39.0
28,9.0,48.0,-8.833333333333332,39.0
29,9.0,42.0,-4.666666666666666,39.0
30,10.0,47.0,-9.333333333333334,39.0
31,10.0,39.0,-4.333333333333334,39.0
32,10.0,40.0,-5.833333333333333,39.0
33,11.0,40.0,-3.5,39.0
34,11.0,48.0,-14.999999999999998,39.0
35,11.0,39.0,-4.166666666666667,39.0
36,12.0,39.0,-3.6666666666666665,39.0
37,12.0,50.0,-13.833333333333334,39.0
38,12.0,44.0,-7.833333333333333,39.0
39,13.0,42.0,-5.333333333333334,39.0
40,13.0,40.0,-4.333333333333333,39.0
41,13.0,41.0,-3.166666666666667,39.0
42,14.0,48.0,-10.833333333333334,39.0
43,14.0,45.0,-8.333333333333334,39.0
44,14.0,49.0,-11.5,39.0
45,15.0,40.0,-3.333333333333333,39.0
46,15.0,37.0,-3.5,37.0
47,15.0,42.0,-5.166666666666666,37.0
48,16.0,43.0,-10.333333333333334,37.0
49,16.0,42.0,-3.666666666666667,37.0
50,16.0,43.0,-5.5,37.0
51,17.0,45.0,-7.0,37.0
52,17.0,42.0,-3.0,37.0
53,17.0,42.0,-4.166666666666666,37.0
54,18.0,48.0,-11.0,37.0
55,18.0,39.0,-4.333333333333333,37.0
56,18.0,46.0,-9.166666666666666,37.0
57,19.0,44.0,-7.0,37.0
58,19.0,45.0,-6.499999999999999,37.0
59,19.0,49.0,-10.333333333333332,37.0
60,20.0,47.0,-8.833333333333332,37.0
61,20.0,38.0,-3.0,37.0
62,20.0,43.0,-6.666666666666666,37.0
63,21.0,46.0,-6.666666666666666,37.0
64,21.0,43.0,-6.333333333333334,37.0
65,21.0,40.0,-6.166666666666667,37.0
66,22.0,40.0,-5.5,37.0
67,22.0,43.0,-4.666666666666666,37.0
68,22.0,41.0,-5.0,37.0
69,23.0,40.0,-4.0,37.0
70,23.0,40.0,-3.0,37.0
71,23.0,44.0,-4.5,37.0
72,24.0,41.0,-3.0,37.0
73,24.0,44.0,-8.5,37.0
74,24.0,50.0,-13.666666666666666,37.0
75,25.0,40.0,-2.6666666666666665,37.0
76,25.0,47.0,-11.333333333333334,37.0
77,25.0,40.0,-4.333333333333333,37.0
78,26.0,43.0,-8.5,37.0
79,26.0,43.0,-5.833333333333334,37.0
80,26.0,39.0,-3.5,37.0
81,27.0,40.0,-5.166666666666667,37.0
82,27.0,46.0,-12.666666666666668,37.0
83,27.0,44.0,-7.666666666666666,37.0
84,28.0,43.0,-6.5,37.0
85,28.0,43.0,-8.833333333333332,37.0
86,28.0,38.0,-3.0,37.0
87,29.0,41.0,-3.8333333333333335,37.0
88,29.0,44.0,-8.333333333333332,37.0
89,29.0,46.0,-9.333333333333334,37.0
90,30.0,39.0,-4.333333333333334,37.0
91,30.0,36.0,-2.5,36.0
92,30.0,39.0,-4.666666666666667,36.0
93,31.0,46.0,-10.666666666666668,36.0
94,31.0,40.0,-3.333333333333333,36.0
95,31.0,40.0,-2.6666666666666665,36.0
96,32.0,40.0,-5.666666666666667,36.0
97,32.0,48.0,-8.333333333333334,36.0
98,32.0,40.0,-3.3333333333333335,36.0
99,33.0,41.0,-4.666666666666666,36.0
100,33.0,49.0,-12.833333333333332,36.0
101,33.0,45.0,-9.333333333333332,36.0
102,34.0,41.0,-4.333333333333333,36.0
103,34.0,43.0,-6.0,36.0
104,34.0,47.0,-10.5,36.0
105,35.0,42.0,-3.8333333333333335,36.0
106,35.0,43.0,-8.166666666666668,36.0
107,35.0,45.0,-7.666666666666666,36.0
108,36.0,39.0,-3.8333333333333335,36.0
109,36.0,40.0,-4.833333333333334,36.0
110,36.0,40.0,-4.0,36.0
111,37.0,40.0,-2.5,36.0
112,37.0,40.0,-1.8333333333333335,36.0
113,37.0,41.0,-4.333333333333333,36.0
114,38.0,38.0,-3.6666666666666665,36.0
115,38.0,40.0,-4.666666666666666,36.0
116,38.0,43.0,-5.833333333333334,36.0
117,39.0,40.0,-3.0,36.0
118,39.0,40.0,-2.333333333333333,36.0
119,39.0,38.0,-3.833333333333333,36.0
120,40.0,41.0,-3.833333333333333,36.0
121,40.0,38.0,-2.6666666666666665,36.0
122,40.0,42.0,-4.0,36.0
123,41.0,45.0,-5.833333333333333,36.0
124,41.0,42.0,-6.5,36.0
125,41.0,40.0,-3.5,36.0
126,42.0,39.0,-2.1666666666666665,36.0
127,42.0,42.0,-6.5,36.0
128,42.0,47.0,-8.333333333333332,36.0
129,43.0,45.0,-8.166666666666668,36.0
130,43.0,37.0,-2.5,36.0
131,43.0,35.0,-1.3333333333333335,35.0
132,44.0,46.0,-9.0,35.0
