,episode,make_span,reward,min_make_span
0,0.0,533.0,-3.938144329896907,533.0
1,0.0,487.0,-1.5670103092783507,487.0
2,0.0,559.0,-5.278350515463918,487.0
3,0.0,492.0,-1.824742268041237,487.0
4,0.0,564.0,-5.536082474226804,487.0
5,0.0,498.0,-2.134020618556701,487.0
6,0.0,590.0,-6.876288659793815,487.0
7,0.0,652.0,-10.072164948453608,487.0
8,0.0,568.0,-5.742268041237114,487.0
9,1.0,556.0,-5.123711340206185,487.0
10,1.0,562.0,-5.43298969072165,487.0
11,1.0,518.0,-3.1649484536082473,487.0
12,1.0,542.0,-4.4020618556701026,487.0
13,1.0,525.0,-3.5257731958762886,487.0
14,1.0,529.0,-3.731958762886598,487.0
15,1.0,497.0,-2.082474226804124,487.0
16,1.0,579.0,-6.309278350515464,487.0
17,1.0,581.0,-6.412371134020619,487.0
18,2.0,590.0,-6.876288659793814,487.0
19,2.0,487.0,-1.5670103092783505,487.0
20,2.0,512.0,-2.855670103092783,487.0
21,2.0,519.0,-3.2164948453608244,487.0
22,2.0,612.0,-8.010309278350515,487.0
23,2.0,549.0,-4.762886597938144,487.0
24,2.0,528.0,-3.680412371134021,487.0
25,2.0,505.0,-2.4948453608247423,487.0
26,2.0,527.0,-3.6288659793814433,487.0
27,3.0,571.0,-5.896907216494846,487.0
28,3.0,525.0,-3.5257731958762886,487.0
29,3.0,504.0,-2.4432989690721647,487.0
30,3.0,561.0,-5.381443298969073,487.0
31,3.0,606.0,-7.701030927835051,487.0
32,3.0,622.0,-8.525773195876289,487.0
33,3.0,541.0,-4.350515463917525,487.0
34,3.0,559.0,-5.278350515463917,487.0
35,3.0,544.0,-4.505154639175258,487.0
36,4.0,600.0,-7.391752577319588,487.0
37,4.0,531.0,-3.8350515463917523,487.0
38,4.0,486.0,-1.5154639175257731,486.0
39,4.0,503.0,-2.3917525773195876,486.0
40,4.0,577.0,-6.2061855670103085,486.0
41,4.0,591.0,-6.927835051546392,486.0
42,4.0,610.0,-7.907216494845361,486.0
43,4.0,568.0,-5.742268041237113,486.0
44,4.0,570.0,-5.845360824742268,486.0
45,5.0,554.0,-5.020618556701031,486.0
46,5.0,524.0,-3.4742268041237114,486.0
47,5.0,488.0,-1.6185567010309279,486.0
48,5.0,527.0,-3.6288659793814433,486.0
49,5.0,547.0,-4.659793814432989,486.0
50,5.0,514.0,-2.9587628865979383,486.0
51,5.0,537.0,-4.144329896907216,486.0
52,5.0,547.0,-4.659793814432989,486.0
53,5.0,517.0,-3.11340206185567,486.0
54,6.0,663.0,-10.639175257731958,486.0
55,6.0,559.0,-5.278350515463918,486.0
56,6.0,486.0,-1.5154639175257731,486.0
57,6.0,583.0,-6.515463917525772,486.0
58,6.0,594.0,-7.082474226804123,486.0
59,6.0,519.0,-3.216494845360825,486.0
60,6.0,507.0,-2.5979381443298966,486.0
61,6.0,509.0,-2.7010309278350517,486.0
62,6.0,531.0,-3.8350515463917523,486.0
63,7.0,506.0,-2.5463917525773194,486.0
64,7.0,533.0,-3.9381443298969074,486.0
65,7.0,509.0,-2.7010309278350517,486.0
66,7.0,549.0,-4.762886597938144,486.0
67,7.0,520.0,-3.268041237113402,486.0
68,7.0,537.0,-4.144329896907216,486.0
69,7.0,604.0,-7.597938144329897,486.0
70,7.0,698.0,-12.443298969072165,486.0
71,7.0,558.0,-5.226804123711339,486.0
72,8.0,607.0,-7.752577319587628,486.0
73,8.0,522.0,-3.3711340206185563,486.0
74,8.0,583.0,-6.515463917525773,486.0
75,8.0,573.0,-6.0,486.0
76,8.0,485.0,-1.463917525773196,485.0
77,8.0,527.0,-3.6288659793814433,485.0
78,8.0,499.0,-2.185567010309278,485.0
79,8.0,536.0,-4.092783505154639,485.0
80,8.0,603.0,-7.546391752577319,485.0
81,9.0,540.0,-4.298969072164948,485.0
82,9.0,512.0,-2.855670103092784,485.0
83,9.0,504.0,-2.443298969072165,485.0
84,9.0,491.0,-1.7731958762886597,485.0
85,9.0,497.0,-2.082474226804124,485.0
86,9.0,500.0,-2.2371134020618557,485.0
87,9.0,596.0,-7.1855670103092795,485.0
88,9.0,536.0,-4.092783505154639,485.0
89,9.0,594.0,-7.082474226804123,485.0
90,10.0,558.0,-5.226804123711339,485.0
91,10.0,545.0,-4.556701030927835,485.0
92,10.0,530.0,-3.783505154639175,485.0
93,10.0,591.0,-6.927835051546392,485.0
94,10.0,534.0,-3.989690721649485,485.0
95,10.0,541.0,-4.350515463917526,485.0
96,10.0,624.0,-8.628865979381443,485.0
