,12-idle-binary-fjsp-2000-vdata,converged_iterations,total_time,min
la16,734.0,1494.0,232.08927869796753,717.0
la17,646.0,1759.0,278.5350019931793,646.0
la18,663.0,1319.0,202.17090153694153,663.0
la19,632.0,2229.0,355.36434864997864,619.0
la20,756.0,1464.0,227.40536332130432,756.0
la21,814.0,3939.0,1113.1111423969269,808.0
la22,751.0,2474.0,869.974552154541,750.0
la23,834.0,3564.0,1046.2742083072662,821.0
la24,793.0,2764.0,743.5644009113312,782.0
la25,786.0,2539.0,671.2698831558228,774.0
la26,1063.0,7774.0,3097.2933061122894,1056.0
la27,1094.0,2824.0,1105.3680996894836,1088.0
la28,1077.0,8434.0,3601.1880102157593,1073.0
la29,1004.0,8599.0,3601.3858478069305,1002.0
la30,1085.0,8364.0,3601.0444960594177,1080.0
la31,1525.0,4704.0,3603.448776245117,1523.0
la32,1672.0,4494.0,3601.924838066101,1662.0
la33,1516.0,869.0,655.4315228462219,1502.0
la34,1542.0,4639.0,3603.824252843857,1539.0
la35,1556.0,4529.0,3603.6534769535065,1552.0
la36,981.0,1494.0,684.2748198509216,948.0
la37,1010.0,1529.0,687.301087141037,987.0
la38,943.0,1744.0,791.7683870792389,943.0
la39,956.0,1614.0,732.4623353481293,936.0
la40,971.0,2514.0,1170.671915769577,955.0
