,episode,make_span,reward,min make span
0,0.0,963.0,-21.424242424242426,963.0
1,0.0,835.0,-8.494949494949495,835.0
2,0.0,835.0,-8.494949494949495,835.0
3,0.0,885.0,-13.545454545454547,835.0
4,0.0,845.0,-9.505050505050505,835.0
5,1.0,969.0,-22.030303030303028,835.0
6,1.0,831.0,-8.09090909090909,831.0
7,1.0,878.0,-12.83838383838384,831.0
8,1.0,1007.0,-25.86868686868687,831.0
9,1.0,881.0,-13.141414141414142,831.0
10,2.0,895.0,-14.555555555555555,831.0
11,2.0,808.0,-5.767676767676768,808.0
12,2.0,819.0,-6.878787878787879,808.0
13,2.0,926.0,-17.686868686868685,808.0
14,2.0,847.0,-9.707070707070706,808.0
15,3.0,887.0,-13.74747474747475,808.0
16,3.0,901.0,-15.16161616161616,808.0
17,3.0,863.0,-11.323232323232322,808.0
18,3.0,975.0,-22.636363636363637,808.0
19,3.0,847.0,-9.707070707070708,808.0
20,4.0,894.0,-14.454545454545455,808.0
21,4.0,952.0,-20.313131313131315,808.0
22,4.0,872.0,-12.232323232323232,808.0
23,4.0,911.0,-16.171717171717173,808.0
24,4.0,1044.0,-29.606060606060606,808.0
25,5.0,1010.0,-26.17171717171717,808.0
26,5.0,977.0,-22.838383838383837,808.0
27,5.0,1018.0,-26.97979797979798,808.0
28,5.0,889.0,-13.949494949494948,808.0
29,5.0,880.0,-13.04040404040404,808.0
30,6.0,974.0,-22.535353535353533,808.0
31,6.0,927.0,-17.78787878787879,808.0
32,6.0,880.0,-13.04040404040404,808.0
33,6.0,868.0,-11.828282828282827,808.0
34,6.0,858.0,-10.818181818181818,808.0
35,7.0,910.0,-16.070707070707073,808.0
36,7.0,913.0,-16.373737373737374,808.0
37,7.0,1006.0,-25.767676767676768,808.0
38,7.0,944.0,-19.505050505050505,808.0
39,7.0,936.0,-18.696969696969695,808.0
40,8.0,874.0,-12.434343434343432,808.0
41,8.0,983.0,-23.444444444444443,808.0
42,8.0,921.0,-17.18181818181818,808.0
43,8.0,875.0,-12.535353535353535,808.0
44,8.0,923.0,-17.383838383838384,808.0
45,9.0,869.0,-11.929292929292929,808.0
46,9.0,868.0,-11.828282828282827,808.0
47,9.0,880.0,-13.040404040404042,808.0
48,9.0,903.0,-15.363636363636363,808.0
49,9.0,870.0,-12.030303030303031,808.0
50,10.0,935.0,-18.595959595959595,808.0
51,10.0,851.0,-10.11111111111111,808.0
52,10.0,916.0,-16.676767676767675,808.0
53,10.0,870.0,-12.030303030303031,808.0
54,10.0,881.0,-13.141414141414142,808.0
55,11.0,876.0,-12.636363636363637,808.0
56,11.0,892.0,-14.252525252525253,808.0
57,11.0,1008.0,-25.96969696969697,808.0
58,11.0,991.0,-24.252525252525253,808.0
59,11.0,915.0,-16.575757575757578,808.0
60,12.0,871.0,-12.131313131313131,808.0
61,12.0,974.0,-22.535353535353536,808.0
62,12.0,889.0,-13.949494949494948,808.0
63,12.0,872.0,-12.232323232323234,808.0
64,12.0,860.0,-11.020202020202019,808.0
65,13.0,861.0,-11.121212121212121,808.0
66,13.0,1031.0,-28.292929292929294,808.0
67,13.0,998.0,-24.95959595959596,808.0
68,13.0,843.0,-9.303030303030303,808.0
69,13.0,981.0,-23.242424242424242,808.0
70,14.0,850.0,-10.01010101010101,808.0
71,14.0,848.0,-9.808080808080808,808.0
72,14.0,868.0,-11.828282828282827,808.0
73,14.0,934.0,-18.494949494949495,808.0
74,14.0,856.0,-10.616161616161616,808.0
75,15.0,878.0,-12.83838383838384,808.0
76,15.0,874.0,-12.434343434343434,808.0
77,15.0,905.0,-15.565656565656564,808.0
78,15.0,868.0,-11.828282828282827,808.0
79,15.0,850.0,-10.01010101010101,808.0
80,16.0,860.0,-11.020202020202019,808.0
81,16.0,1049.0,-30.11111111111111,808.0
82,16.0,920.0,-17.08080808080808,808.0
83,16.0,984.0,-23.545454545454547,808.0
84,16.0,868.0,-11.828282828282829,808.0
85,17.0,831.0,-8.090909090909092,808.0
86,17.0,941.0,-19.2020202020202,808.0
87,17.0,982.0,-23.343434343434346,808.0
88,17.0,885.0,-13.545454545454545,808.0
89,17.0,859.0,-10.919191919191919,808.0
90,18.0,929.0,-17.98989898989899,808.0
91,18.0,877.0,-12.737373737373737,808.0
92,18.0,968.0,-21.929292929292927,808.0
93,18.0,833.0,-8.292929292929294,808.0
94,18.0,812.0,-6.171717171717171,808.0
95,19.0,904.0,-15.464646464646465,808.0
96,19.0,889.0,-13.949494949494948,808.0
97,19.0,861.0,-11.121212121212121,808.0
98,19.0,1012.0,-26.373737373737374,808.0
99,19.0,958.0,-20.919191919191917,808.0
100,20.0,960.0,-21.12121212121212,808.0
101,20.0,1011.0,-26.272727272727273,808.0
102,20.0,829.0,-7.888888888888888,808.0
103,20.0,887.0,-13.747474747474747,808.0
104,20.0,952.0,-20.31313131313131,808.0
105,21.0,930.0,-18.09090909090909,808.0
106,21.0,882.0,-13.242424242424242,808.0
107,21.0,841.0,-9.1010101010101,808.0
108,21.0,995.0,-24.656565656565657,808.0
109,21.0,1028.0,-27.98989898989899,808.0
110,22.0,873.0,-12.333333333333332,808.0
111,22.0,843.0,-9.303030303030303,808.0
112,22.0,878.0,-12.83838383838384,808.0
113,22.0,1016.0,-26.77777777777778,808.0
114,22.0,890.0,-14.05050505050505,808.0
115,23.0,991.0,-24.252525252525253,808.0
116,23.0,923.0,-17.383838383838384,808.0
117,23.0,865.0,-11.525252525252524,808.0
118,23.0,983.0,-23.444444444444443,808.0
119,23.0,885.0,-13.545454545454547,808.0
120,24.0,1029.0,-28.09090909090909,808.0
121,24.0,896.0,-14.656565656565656,808.0
122,24.0,888.0,-13.84848484848485,808.0
123,24.0,805.0,-5.464646464646465,805.0
124,24.0,850.0,-10.01010101010101,805.0
125,25.0,872.0,-12.232323232323232,805.0
126,25.0,891.0,-14.151515151515152,805.0
127,25.0,1041.0,-29.303030303030305,805.0
128,25.0,996.0,-24.757575757575758,805.0
129,25.0,865.0,-11.525252525252524,805.0
130,26.0,1014.0,-26.575757575757574,805.0
131,26.0,882.0,-13.242424242424242,805.0
132,26.0,889.0,-13.94949494949495,805.0
133,26.0,857.0,-10.717171717171716,805.0
134,26.0,968.0,-21.929292929292927,805.0
135,27.0,899.0,-14.95959595959596,805.0
136,27.0,1053.0,-30.515151515151516,805.0
137,27.0,948.0,-19.909090909090907,805.0
138,27.0,899.0,-14.959595959595958,805.0
139,27.0,832.0,-8.19191919191919,805.0
140,28.0,1064.0,-31.626262626262626,805.0
141,28.0,883.0,-13.343434343434343,805.0
142,28.0,891.0,-14.151515151515152,805.0
143,28.0,927.0,-17.78787878787879,805.0
144,28.0,997.0,-24.858585858585858,805.0
145,29.0,851.0,-10.11111111111111,805.0
146,29.0,823.0,-7.282828282828283,805.0
147,29.0,938.0,-18.8989898989899,805.0
148,29.0,1076.0,-32.838383838383834,805.0
149,29.0,923.0,-17.383838383838384,805.0
150,30.0,896.0,-14.656565656565656,805.0
151,30.0,839.0,-8.8989898989899,805.0
152,30.0,964.0,-21.525252525252526,805.0
153,30.0,837.0,-8.696969696969697,805.0
154,30.0,1012.0,-26.373737373737374,805.0
155,31.0,946.0,-19.707070707070706,805.0
156,31.0,846.0,-9.606060606060606,805.0
157,31.0,887.0,-13.747474747474747,805.0
158,31.0,881.0,-13.141414141414142,805.0
159,31.0,815.0,-6.474747474747476,805.0
160,32.0,860.0,-11.02020202020202,805.0
161,32.0,901.0,-15.16161616161616,805.0
162,32.0,876.0,-12.636363636363637,805.0
163,32.0,943.0,-19.4040404040404,805.0
164,32.0,970.0,-22.13131313131313,805.0
165,33.0,979.0,-23.04040404040404,805.0
166,33.0,857.0,-10.717171717171716,805.0
167,33.0,834.0,-8.393939393939393,805.0
168,33.0,895.0,-14.555555555555557,805.0
169,33.0,871.0,-12.131313131313131,805.0
170,34.0,886.0,-13.646464646464647,805.0
171,34.0,881.0,-13.141414141414142,805.0
172,34.0,946.0,-19.707070707070706,805.0
173,34.0,905.0,-15.565656565656564,805.0
174,34.0,862.0,-11.222222222222221,805.0
175,35.0,925.0,-17.585858585858585,805.0
176,35.0,854.0,-10.414141414141413,805.0
177,35.0,878.0,-12.83838383838384,805.0
178,35.0,856.0,-10.616161616161616,805.0
179,35.0,894.0,-14.454545454545453,805.0
180,36.0,966.0,-21.727272727272727,805.0
181,36.0,898.0,-14.858585858585858,805.0
182,36.0,902.0,-15.262626262626263,805.0
183,36.0,960.0,-21.12121212121212,805.0
184,36.0,934.0,-18.494949494949495,805.0
185,37.0,971.0,-22.232323232323232,805.0
186,37.0,862.0,-11.222222222222223,805.0
187,37.0,958.0,-20.919191919191917,805.0
188,37.0,888.0,-13.848484848484848,805.0
189,37.0,887.0,-13.747474747474747,805.0
190,38.0,931.0,-18.19191919191919,805.0
191,38.0,973.0,-22.434343434343432,805.0
192,38.0,929.0,-17.98989898989899,805.0
193,38.0,967.0,-21.82828282828283,805.0
194,38.0,915.0,-16.575757575757578,805.0
195,39.0,837.0,-8.696969696969695,805.0
196,39.0,858.0,-10.818181818181817,805.0
197,39.0,819.0,-6.878787878787879,805.0
198,39.0,954.0,-20.515151515151516,805.0
199,39.0,988.0,-23.949494949494948,805.0
200,40.0,875.0,-12.535353535353535,805.0
201,40.0,944.0,-19.505050505050505,805.0
202,40.0,878.0,-12.838383838383837,805.0
203,40.0,1028.0,-27.98989898989899,805.0
204,40.0,855.0,-10.515151515151517,805.0
205,41.0,904.0,-15.464646464646464,805.0
206,41.0,1049.0,-30.11111111111111,805.0
207,41.0,893.0,-14.353535353535353,805.0
208,41.0,873.0,-12.333333333333334,805.0
209,41.0,959.0,-21.02020202020202,805.0
210,42.0,888.0,-13.848484848484848,805.0
211,42.0,850.0,-10.01010101010101,805.0
212,42.0,861.0,-11.121212121212123,805.0
213,42.0,937.0,-18.7979797979798,805.0
214,42.0,830.0,-7.9898989898989905,805.0
215,43.0,860.0,-11.020202020202019,805.0
216,43.0,897.0,-14.757575757575758,805.0
217,43.0,946.0,-19.70707070707071,805.0
218,43.0,840.0,-9.0,805.0
219,43.0,983.0,-23.444444444444443,805.0
220,44.0,894.0,-14.454545454545455,805.0
221,44.0,909.0,-15.969696969696969,805.0
222,44.0,899.0,-14.95959595959596,805.0
223,44.0,917.0,-16.77777777777778,805.0
224,44.0,830.0,-7.98989898989899,805.0
225,45.0,890.0,-14.050505050505052,805.0
226,45.0,849.0,-9.90909090909091,805.0
227,45.0,843.0,-9.303030303030303,805.0
228,45.0,898.0,-14.858585858585858,805.0
229,45.0,891.0,-14.15151515151515,805.0
230,46.0,991.0,-24.252525252525253,805.0
231,46.0,912.0,-16.272727272727273,805.0
232,46.0,835.0,-8.494949494949495,805.0
233,46.0,906.0,-15.666666666666668,805.0
234,46.0,921.0,-17.18181818181818,805.0
235,47.0,970.0,-22.13131313131313,805.0
236,47.0,872.0,-12.232323232323232,805.0
237,47.0,872.0,-12.232323232323232,805.0
238,47.0,953.0,-20.414141414141415,805.0
239,47.0,900.0,-15.06060606060606,805.0
240,48.0,821.0,-7.080808080808081,805.0
241,48.0,923.0,-17.383838383838384,805.0
242,48.0,1006.0,-25.767676767676768,805.0
243,48.0,835.0,-8.494949494949495,805.0
244,48.0,889.0,-13.949494949494948,805.0
245,49.0,874.0,-12.434343434343432,805.0
246,49.0,794.0,-4.353535353535354,794.0
247,49.0,889.0,-13.949494949494948,794.0
248,49.0,920.0,-17.080808080808083,794.0
249,49.0,883.0,-13.343434343434343,794.0
250,50.0,897.0,-14.757575757575756,794.0
251,50.0,841.0,-9.101010101010102,794.0
252,50.0,944.0,-19.505050505050505,794.0
253,50.0,941.0,-19.2020202020202,794.0
254,50.0,953.0,-20.41414141414141,794.0
255,51.0,1101.0,-35.36363636363637,794.0
256,51.0,970.0,-22.131313131313135,794.0
257,51.0,913.0,-16.373737373737374,794.0
258,51.0,946.0,-19.707070707070706,794.0
259,51.0,816.0,-6.575757575757576,794.0
260,52.0,841.0,-9.1010101010101,794.0
261,52.0,893.0,-14.353535353535353,794.0
262,52.0,837.0,-8.696969696969697,794.0
263,52.0,933.0,-18.393939393939394,794.0
264,52.0,849.0,-9.909090909090908,794.0
265,53.0,891.0,-14.151515151515152,794.0
266,53.0,982.0,-23.343434343434343,794.0
267,53.0,874.0,-12.434343434343432,794.0
268,53.0,862.0,-11.222222222222221,794.0
269,53.0,821.0,-7.08080808080808,794.0
270,54.0,799.0,-4.858585858585858,794.0
271,54.0,904.0,-15.464646464646464,794.0
272,54.0,919.0,-16.97979797979798,794.0
273,54.0,983.0,-23.444444444444446,794.0
274,54.0,855.0,-10.515151515151516,794.0
275,55.0,861.0,-11.121212121212121,794.0
276,55.0,900.0,-15.06060606060606,794.0
277,55.0,796.0,-4.555555555555555,794.0
278,55.0,830.0,-7.9898989898989905,794.0
279,55.0,838.0,-8.797979797979798,794.0
280,56.0,902.0,-15.262626262626263,794.0
281,56.0,1008.0,-25.96969696969697,794.0
282,56.0,855.0,-10.515151515151516,794.0
283,56.0,813.0,-6.2727272727272725,794.0
284,56.0,848.0,-9.808080808080808,794.0
285,57.0,865.0,-11.525252525252526,794.0
286,57.0,831.0,-8.090909090909092,794.0
287,57.0,825.0,-7.484848484848484,794.0
288,57.0,870.0,-12.030303030303031,794.0
289,57.0,895.0,-14.555555555555555,794.0
290,58.0,860.0,-11.02020202020202,794.0
291,58.0,850.0,-10.01010101010101,794.0
292,58.0,867.0,-11.727272727272727,794.0
293,58.0,848.0,-9.808080808080808,794.0
294,58.0,904.0,-15.464646464646464,794.0
295,59.0,908.0,-15.868686868686869,794.0
296,59.0,834.0,-8.393939393939394,794.0
297,59.0,842.0,-9.202020202020202,794.0
298,59.0,877.0,-12.737373737373737,794.0
299,59.0,849.0,-9.90909090909091,794.0
300,60.0,880.0,-13.04040404040404,794.0
301,60.0,807.0,-5.666666666666666,794.0
302,60.0,899.0,-14.959595959595958,794.0
303,60.0,924.0,-17.484848484848484,794.0
304,60.0,892.0,-14.252525252525253,794.0
305,61.0,876.0,-12.636363636363637,794.0
306,61.0,829.0,-7.888888888888889,794.0
307,61.0,815.0,-6.474747474747475,794.0
308,61.0,832.0,-8.191919191919192,794.0
309,61.0,824.0,-7.383838383838384,794.0
310,62.0,814.0,-6.373737373737374,794.0
311,62.0,796.0,-4.555555555555556,794.0
312,62.0,999.0,-25.060606060606062,794.0
313,62.0,847.0,-9.707070707070706,794.0
314,62.0,813.0,-6.2727272727272725,794.0
315,63.0,865.0,-11.525252525252526,794.0
316,63.0,884.0,-13.444444444444445,794.0
317,63.0,813.0,-6.272727272727273,794.0
318,63.0,823.0,-7.282828282828283,794.0
319,63.0,937.0,-18.7979797979798,794.0
320,64.0,819.0,-6.878787878787879,794.0
321,64.0,891.0,-14.151515151515152,794.0
322,64.0,802.0,-5.161616161616163,794.0
323,64.0,939.0,-19.0,794.0
324,64.0,855.0,-10.515151515151516,794.0
325,65.0,850.0,-10.01010101010101,794.0
326,65.0,869.0,-11.92929292929293,794.0
327,65.0,909.0,-15.969696969696969,794.0
328,65.0,852.0,-10.212121212121211,794.0
329,65.0,837.0,-8.696969696969697,794.0
330,66.0,856.0,-10.616161616161616,794.0
331,66.0,821.0,-7.080808080808081,794.0
332,66.0,859.0,-10.91919191919192,794.0
333,66.0,864.0,-11.424242424242426,794.0
334,66.0,849.0,-9.90909090909091,794.0
335,67.0,830.0,-7.98989898989899,794.0
336,67.0,841.0,-9.1010101010101,794.0
337,67.0,848.0,-9.80808080808081,794.0
338,67.0,858.0,-10.818181818181818,794.0
339,67.0,843.0,-9.303030303030303,794.0
340,68.0,832.0,-8.191919191919192,794.0
341,68.0,778.0,-2.7373737373737375,778.0
342,68.0,840.0,-9.0,778.0
343,68.0,807.0,-5.666666666666667,778.0
344,68.0,809.0,-5.8686868686868685,778.0
345,69.0,842.0,-9.202020202020202,778.0
346,69.0,899.0,-14.959595959595958,778.0
347,69.0,917.0,-16.77777777777778,778.0
348,69.0,890.0,-14.05050505050505,778.0
349,69.0,851.0,-10.11111111111111,778.0
350,70.0,827.0,-7.686868686868687,778.0
351,70.0,885.0,-13.545454545454545,778.0
352,70.0,792.0,-4.151515151515151,778.0
353,70.0,816.0,-6.575757575757576,778.0
354,70.0,812.0,-6.171717171717171,778.0
355,71.0,794.0,-4.353535353535354,778.0
356,71.0,780.0,-2.9393939393939394,778.0
357,71.0,843.0,-9.303030303030303,778.0
358,71.0,808.0,-5.767676767676768,778.0
359,71.0,862.0,-11.222222222222221,778.0
360,72.0,813.0,-6.272727272727273,778.0
361,72.0,799.0,-4.858585858585858,778.0
362,72.0,828.0,-7.787878787878788,778.0
363,72.0,817.0,-6.6767676767676765,778.0
364,72.0,809.0,-5.8686868686868685,778.0
365,73.0,784.0,-3.3434343434343434,778.0
366,73.0,823.0,-7.282828282828283,778.0
367,73.0,795.0,-4.454545454545455,778.0
368,73.0,793.0,-4.252525252525253,778.0
369,73.0,826.0,-7.585858585858586,778.0
370,74.0,789.0,-3.8484848484848486,778.0
371,74.0,874.0,-12.434343434343434,778.0
372,74.0,847.0,-9.707070707070706,778.0
373,74.0,838.0,-8.797979797979798,778.0
374,74.0,796.0,-4.555555555555555,778.0
375,75.0,794.0,-4.353535353535354,778.0
376,75.0,865.0,-11.525252525252524,778.0
377,75.0,831.0,-8.09090909090909,778.0
378,75.0,857.0,-10.717171717171718,778.0
379,75.0,805.0,-5.4646464646464645,778.0
380,76.0,837.0,-8.696969696969697,778.0
381,76.0,807.0,-5.666666666666667,778.0
382,76.0,806.0,-5.565656565656566,778.0
383,76.0,837.0,-8.696969696969697,778.0
384,76.0,852.0,-10.212121212121211,778.0
385,77.0,883.0,-13.343434343434343,778.0
386,77.0,871.0,-12.131313131313131,778.0
387,77.0,832.0,-8.191919191919192,778.0
388,77.0,804.0,-5.363636363636364,778.0
389,77.0,782.0,-3.1414141414141414,778.0
390,78.0,777.0,-2.6363636363636362,777.0
391,78.0,821.0,-7.080808080808081,777.0
392,78.0,795.0,-4.454545454545455,777.0
393,78.0,780.0,-2.939393939393939,777.0
394,78.0,797.0,-4.656565656565657,777.0
395,79.0,822.0,-7.1818181818181825,777.0
396,79.0,801.0,-5.0606060606060606,777.0
397,79.0,827.0,-7.686868686868687,777.0
398,79.0,812.0,-6.171717171717171,777.0
399,79.0,815.0,-6.474747474747475,777.0
400,80.0,808.0,-5.767676767676768,777.0
401,80.0,820.0,-6.979797979797979,777.0
402,80.0,785.0,-3.4444444444444438,777.0
403,80.0,806.0,-5.565656565656566,777.0
404,80.0,795.0,-4.454545454545455,777.0
405,81.0,816.0,-6.575757575757576,777.0
406,81.0,781.0,-3.0404040404040407,777.0
407,81.0,868.0,-11.828282828282829,777.0
408,81.0,783.0,-3.242424242424242,777.0
409,81.0,782.0,-3.1414141414141414,777.0
410,82.0,827.0,-7.686868686868687,777.0
411,82.0,864.0,-11.424242424242426,777.0
412,82.0,800.0,-4.95959595959596,777.0
413,82.0,809.0,-5.8686868686868685,777.0
414,82.0,807.0,-5.666666666666667,777.0
415,83.0,860.0,-11.02020202020202,777.0
416,83.0,820.0,-6.97979797979798,777.0
417,83.0,851.0,-10.11111111111111,777.0
418,83.0,815.0,-6.474747474747474,777.0
419,83.0,791.0,-4.05050505050505,777.0
420,84.0,810.0,-5.969696969696971,777.0
421,84.0,863.0,-11.323232323232324,777.0
422,84.0,868.0,-11.828282828282829,777.0
423,84.0,817.0,-6.6767676767676765,777.0
424,84.0,919.0,-16.97979797979798,777.0
425,85.0,908.0,-15.868686868686869,777.0
426,85.0,810.0,-5.96969696969697,777.0
427,85.0,880.0,-13.04040404040404,777.0
428,85.0,906.0,-15.666666666666666,777.0
429,85.0,860.0,-11.02020202020202,777.0
430,86.0,810.0,-5.96969696969697,777.0
431,86.0,851.0,-10.11111111111111,777.0
432,86.0,922.0,-17.282828282828284,777.0
433,86.0,838.0,-8.7979797979798,777.0
434,86.0,846.0,-9.606060606060606,777.0
435,87.0,892.0,-14.252525252525253,777.0
436,87.0,811.0,-6.070707070707071,777.0
437,87.0,869.0,-11.92929292929293,777.0
438,87.0,802.0,-5.161616161616162,777.0
439,87.0,791.0,-4.05050505050505,777.0
440,88.0,911.0,-16.17171717171717,777.0
441,88.0,786.0,-3.545454545454545,777.0
442,88.0,800.0,-4.959595959595959,777.0
443,88.0,883.0,-13.343434343434343,777.0
444,88.0,811.0,-6.070707070707071,777.0
445,89.0,871.0,-12.131313131313131,777.0
446,89.0,802.0,-5.161616161616162,777.0
447,89.0,828.0,-7.787878787878787,777.0
448,89.0,842.0,-9.202020202020202,777.0
449,89.0,825.0,-7.484848484848484,777.0
450,90.0,895.0,-14.555555555555557,777.0
451,90.0,801.0,-5.0606060606060606,777.0
452,90.0,838.0,-8.797979797979798,777.0
453,90.0,893.0,-14.353535353535353,777.0
454,90.0,813.0,-6.272727272727273,777.0
455,91.0,891.0,-14.151515151515152,777.0
456,91.0,846.0,-9.606060606060606,777.0
457,91.0,803.0,-5.262626262626263,777.0
458,91.0,822.0,-7.181818181818182,777.0
459,91.0,844.0,-9.404040404040405,777.0
460,92.0,838.0,-8.797979797979798,777.0
461,92.0,902.0,-15.262626262626261,777.0
462,92.0,838.0,-8.797979797979798,777.0
463,92.0,838.0,-8.7979797979798,777.0
464,92.0,820.0,-6.979797979797979,777.0
465,93.0,798.0,-4.757575757575757,777.0
466,93.0,794.0,-4.353535353535354,777.0
467,93.0,803.0,-5.262626262626263,777.0
468,93.0,846.0,-9.606060606060606,777.0
469,93.0,822.0,-7.181818181818182,777.0
