,episode,make_span,reward,min make span
0,0.0,662.0,-6.755102040816326,662.0
1,0.0,654.0,-6.673469387755102,654.0
2,0.0,676.0,-6.8979591836734695,654.0
3,0.0,712.0,-7.26530612244898,654.0
4,0.0,687.0,-7.010204081632653,654.0
5,1.0,718.0,-7.326530612244898,654.0
6,1.0,671.0,-6.846938775510204,654.0
7,1.0,679.0,-6.928571428571429,654.0
8,1.0,663.0,-6.76530612244898,654.0
9,1.0,666.0,-6.795918367346939,654.0
10,2.0,667.0,-6.8061224489795915,654.0
11,2.0,698.0,-7.122448979591836,654.0
12,2.0,683.0,-6.969387755102041,654.0
13,2.0,664.0,-6.775510204081633,654.0
14,2.0,653.0,-6.663265306122449,653.0
15,3.0,720.0,-7.346938775510204,653.0
16,3.0,659.0,-6.724489795918367,653.0
17,3.0,772.0,-7.877551020408164,653.0
18,3.0,680.0,-6.938775510204081,653.0
19,3.0,662.0,-6.755102040816326,653.0
20,4.0,658.0,-6.714285714285714,653.0
21,4.0,697.0,-7.112244897959184,653.0
22,4.0,675.0,-6.887755102040816,653.0
23,4.0,646.0,-6.591836734693878,646.0
24,4.0,646.0,-6.591836734693878,646.0
25,5.0,683.0,-6.969387755102041,646.0
26,5.0,671.0,-6.846938775510204,646.0
27,5.0,668.0,-6.816326530612245,646.0
28,5.0,681.0,-6.948979591836735,646.0
29,5.0,672.0,-6.857142857142857,646.0
30,6.0,671.0,-6.846938775510204,646.0
31,6.0,670.0,-6.836734693877551,646.0
32,6.0,663.0,-6.76530612244898,646.0
33,6.0,709.0,-7.23469387755102,646.0
34,6.0,670.0,-6.836734693877551,646.0
35,7.0,659.0,-6.724489795918367,646.0
36,7.0,777.0,-7.928571428571429,646.0
37,7.0,704.0,-7.183673469387755,646.0
38,7.0,696.0,-7.1020408163265305,646.0
39,7.0,658.0,-6.714285714285714,646.0
40,8.0,788.0,-8.040816326530612,646.0
41,8.0,699.0,-7.13265306122449,646.0
42,8.0,694.0,-7.081632653061225,646.0
43,8.0,687.0,-7.010204081632653,646.0
44,8.0,686.0,-7.0,646.0
45,9.0,675.0,-6.887755102040816,646.0
46,9.0,692.0,-7.061224489795919,646.0
47,9.0,668.0,-6.816326530612245,646.0
48,9.0,673.0,-6.86734693877551,646.0
49,9.0,683.0,-6.969387755102041,646.0
50,10.0,712.0,-7.26530612244898,646.0
51,10.0,678.0,-6.918367346938775,646.0
52,10.0,683.0,-6.969387755102041,646.0
53,10.0,651.0,-6.642857142857143,646.0
54,10.0,734.0,-7.489795918367347,646.0
55,11.0,674.0,-6.877551020408164,646.0
56,11.0,688.0,-7.020408163265306,646.0
57,11.0,707.0,-7.214285714285714,646.0
58,11.0,725.0,-7.3979591836734695,646.0
59,11.0,715.0,-7.295918367346939,646.0
60,12.0,707.0,-7.214285714285714,646.0
61,12.0,673.0,-6.86734693877551,646.0
62,12.0,673.0,-6.86734693877551,646.0
63,12.0,663.0,-6.76530612244898,646.0
64,12.0,688.0,-7.020408163265306,646.0
65,13.0,651.0,-6.642857142857143,646.0
66,13.0,682.0,-6.959183673469388,646.0
67,13.0,685.0,-6.989795918367347,646.0
68,13.0,683.0,-6.969387755102041,646.0
69,13.0,683.0,-6.969387755102041,646.0
70,14.0,646.0,-6.591836734693878,646.0
71,14.0,701.0,-7.153061224489796,646.0
72,14.0,646.0,-6.591836734693878,646.0
73,14.0,657.0,-6.704081632653061,646.0
74,14.0,650.0,-6.63265306122449,646.0
75,15.0,681.0,-6.948979591836735,646.0
76,15.0,699.0,-7.13265306122449,646.0
77,15.0,708.0,-7.224489795918367,646.0
78,15.0,665.0,-6.785714285714286,646.0
79,15.0,683.0,-6.969387755102041,646.0
80,16.0,678.0,-6.918367346938775,646.0
81,16.0,667.0,-6.8061224489795915,646.0
82,16.0,713.0,-7.275510204081633,646.0
83,16.0,752.0,-7.673469387755102,646.0
84,16.0,696.0,-7.1020408163265305,646.0
85,17.0,662.0,-6.755102040816326,646.0
86,17.0,682.0,-6.959183673469388,646.0
87,17.0,686.0,-7.0,646.0
88,17.0,682.0,-6.959183673469388,646.0
89,17.0,685.0,-6.989795918367347,646.0
90,18.0,668.0,-6.816326530612245,646.0
91,18.0,695.0,-7.091836734693878,646.0
92,18.0,655.0,-6.683673469387755,646.0
93,18.0,650.0,-6.63265306122449,646.0
94,18.0,690.0,-7.040816326530612,646.0
95,19.0,657.0,-6.704081632653061,646.0
96,19.0,716.0,-7.3061224489795915,646.0
97,19.0,683.0,-6.969387755102041,646.0
98,19.0,652.0,-6.653061224489796,646.0
99,19.0,666.0,-6.795918367346939,646.0
100,20.0,678.0,-6.918367346938775,646.0
101,20.0,649.0,-6.622448979591836,646.0
102,20.0,661.0,-6.744897959183674,646.0
103,20.0,699.0,-7.13265306122449,646.0
104,20.0,700.0,-7.142857142857143,646.0
105,21.0,724.0,-7.387755102040816,646.0
106,21.0,666.0,-6.795918367346939,646.0
107,21.0,692.0,-7.061224489795919,646.0
108,21.0,652.0,-6.653061224489796,646.0
109,21.0,715.0,-7.295918367346939,646.0
110,22.0,710.0,-7.244897959183674,646.0
111,22.0,661.0,-6.744897959183674,646.0
112,22.0,668.0,-6.816326530612245,646.0
113,22.0,725.0,-7.3979591836734695,646.0
114,22.0,701.0,-7.153061224489796,646.0
115,23.0,707.0,-7.214285714285714,646.0
116,23.0,706.0,-7.204081632653061,646.0
117,23.0,685.0,-6.989795918367347,646.0
118,23.0,683.0,-6.969387755102041,646.0
119,23.0,646.0,-6.591836734693878,646.0
120,24.0,753.0,-7.683673469387755,646.0
121,24.0,712.0,-7.26530612244898,646.0
122,24.0,658.0,-6.714285714285714,646.0
123,24.0,660.0,-6.73469387755102,646.0
124,24.0,667.0,-6.8061224489795915,646.0
125,25.0,732.0,-7.469387755102041,646.0
126,25.0,651.0,-6.642857142857143,646.0
127,25.0,658.0,-6.714285714285714,646.0
128,25.0,696.0,-7.1020408163265305,646.0
129,25.0,692.0,-7.061224489795919,646.0
130,26.0,668.0,-6.816326530612245,646.0
131,26.0,682.0,-6.959183673469388,646.0
132,26.0,662.0,-6.755102040816326,646.0
133,26.0,720.0,-7.346938775510204,646.0
134,26.0,755.0,-7.704081632653061,646.0
135,27.0,687.0,-7.010204081632653,646.0
136,27.0,678.0,-6.918367346938775,646.0
137,27.0,683.0,-6.969387755102041,646.0
138,27.0,712.0,-7.26530612244898,646.0
139,27.0,762.0,-7.775510204081633,646.0
140,28.0,683.0,-6.969387755102041,646.0
141,28.0,684.0,-6.979591836734694,646.0
142,28.0,703.0,-7.173469387755102,646.0
143,28.0,727.0,-7.418367346938775,646.0
144,28.0,712.0,-7.26530612244898,646.0
145,29.0,661.0,-6.744897959183674,646.0
146,29.0,663.0,-6.76530612244898,646.0
147,29.0,687.0,-7.010204081632653,646.0
148,29.0,686.0,-7.0,646.0
149,29.0,683.0,-6.969387755102041,646.0
150,30.0,697.0,-7.112244897959184,646.0
151,30.0,686.0,-7.0,646.0
152,30.0,655.0,-6.683673469387755,646.0
153,30.0,646.0,-6.591836734693878,646.0
154,30.0,652.0,-6.653061224489796,646.0
155,31.0,664.0,-6.775510204081633,646.0
156,31.0,765.0,-7.8061224489795915,646.0
157,31.0,684.0,-6.979591836734694,646.0
158,31.0,677.0,-6.908163265306122,646.0
159,31.0,686.0,-7.0,646.0
160,32.0,652.0,-6.653061224489796,646.0
161,32.0,688.0,-7.020408163265306,646.0
162,32.0,702.0,-7.163265306122449,646.0
163,32.0,651.0,-6.642857142857143,646.0
164,32.0,702.0,-7.163265306122449,646.0
165,33.0,681.0,-6.948979591836735,646.0
166,33.0,668.0,-6.816326530612245,646.0
167,33.0,668.0,-6.816326530612245,646.0
168,33.0,715.0,-7.295918367346939,646.0
169,33.0,683.0,-6.969387755102041,646.0
170,34.0,688.0,-7.020408163265306,646.0
171,34.0,698.0,-7.122448979591836,646.0
172,34.0,704.0,-7.183673469387755,646.0
173,34.0,649.0,-6.622448979591836,646.0
174,34.0,682.0,-6.959183673469388,646.0
175,35.0,689.0,-7.030612244897959,646.0
176,35.0,701.0,-7.153061224489796,646.0
177,35.0,693.0,-7.071428571428571,646.0
178,35.0,668.0,-6.816326530612245,646.0
179,35.0,733.0,-7.479591836734694,646.0
180,36.0,700.0,-7.142857142857143,646.0
181,36.0,701.0,-7.153061224489796,646.0
182,36.0,695.0,-7.091836734693878,646.0
183,36.0,717.0,-7.316326530612245,646.0
184,36.0,762.0,-7.775510204081633,646.0
185,37.0,683.0,-6.969387755102041,646.0
186,37.0,660.0,-6.73469387755102,646.0
187,37.0,673.0,-6.86734693877551,646.0
188,37.0,669.0,-6.826530612244898,646.0
189,37.0,693.0,-7.071428571428571,646.0
190,38.0,683.0,-6.969387755102041,646.0
191,38.0,695.0,-7.091836734693878,646.0
192,38.0,669.0,-6.826530612244898,646.0
193,38.0,658.0,-6.714285714285714,646.0
194,38.0,718.0,-7.326530612244898,646.0
195,39.0,692.0,-7.061224489795919,646.0
196,39.0,695.0,-7.091836734693878,646.0
197,39.0,701.0,-7.153061224489796,646.0
198,39.0,658.0,-6.714285714285714,646.0
199,39.0,693.0,-7.071428571428571,646.0
200,40.0,683.0,-6.969387755102041,646.0
201,40.0,687.0,-7.010204081632653,646.0
202,40.0,684.0,-6.979591836734694,646.0
203,40.0,668.0,-6.816326530612245,646.0
204,40.0,683.0,-6.969387755102041,646.0
205,41.0,696.0,-7.1020408163265305,646.0
206,41.0,658.0,-6.714285714285714,646.0
207,41.0,683.0,-6.969387755102041,646.0
208,41.0,689.0,-7.030612244897959,646.0
209,41.0,656.0,-6.6938775510204085,646.0
210,42.0,652.0,-6.653061224489796,646.0
211,42.0,679.0,-6.928571428571429,646.0
212,42.0,654.0,-6.673469387755102,646.0
213,42.0,665.0,-6.785714285714286,646.0
214,42.0,688.0,-7.020408163265306,646.0
215,43.0,708.0,-7.224489795918367,646.0
216,43.0,738.0,-7.530612244897959,646.0
217,43.0,678.0,-6.918367346938775,646.0
218,43.0,649.0,-6.622448979591836,646.0
219,43.0,654.0,-6.673469387755102,646.0
220,44.0,724.0,-7.387755102040816,646.0
221,44.0,666.0,-6.795918367346939,646.0
222,44.0,685.0,-6.989795918367347,646.0
223,44.0,696.0,-7.1020408163265305,646.0
224,44.0,697.0,-7.112244897959184,646.0
225,45.0,710.0,-7.244897959183674,646.0
226,45.0,707.0,-7.214285714285714,646.0
227,45.0,728.0,-7.428571428571429,646.0
228,45.0,690.0,-7.040816326530612,646.0
229,45.0,712.0,-7.26530612244898,646.0
230,46.0,720.0,-7.346938775510204,646.0
231,46.0,686.0,-7.0,646.0
232,46.0,669.0,-6.826530612244898,646.0
233,46.0,683.0,-6.969387755102041,646.0
234,46.0,746.0,-7.612244897959184,646.0
235,47.0,695.0,-7.091836734693878,646.0
236,47.0,707.0,-7.214285714285714,646.0
237,47.0,654.0,-6.673469387755102,646.0
238,47.0,729.0,-7.438775510204081,646.0
239,47.0,656.0,-6.6938775510204085,646.0
240,48.0,708.0,-7.224489795918367,646.0
241,48.0,688.0,-7.020408163265306,646.0
242,48.0,686.0,-7.0,646.0
243,48.0,672.0,-6.857142857142857,646.0
244,48.0,656.0,-6.6938775510204085,646.0
245,49.0,716.0,-7.3061224489795915,646.0
246,49.0,684.0,-6.979591836734694,646.0
247,49.0,662.0,-6.755102040816326,646.0
248,49.0,675.0,-6.887755102040816,646.0
249,49.0,721.0,-7.357142857142857,646.0
250,50.0,716.0,-7.3061224489795915,646.0
251,50.0,649.0,-6.622448979591836,646.0
252,50.0,668.0,-6.816326530612245,646.0
253,50.0,696.0,-7.1020408163265305,646.0
254,50.0,671.0,-6.846938775510204,646.0
255,51.0,680.0,-6.938775510204081,646.0
256,51.0,654.0,-6.673469387755102,646.0
257,51.0,719.0,-7.336734693877551,646.0
258,51.0,657.0,-6.704081632653061,646.0
259,51.0,719.0,-7.336734693877551,646.0
260,52.0,666.0,-6.795918367346939,646.0
261,52.0,712.0,-7.26530612244898,646.0
262,52.0,700.0,-7.142857142857143,646.0
263,52.0,702.0,-7.163265306122449,646.0
264,52.0,695.0,-7.091836734693878,646.0
265,53.0,688.0,-7.020408163265306,646.0
266,53.0,711.0,-7.255102040816326,646.0
267,53.0,699.0,-7.13265306122449,646.0
268,53.0,656.0,-6.6938775510204085,646.0
269,53.0,726.0,-7.408163265306122,646.0
270,54.0,695.0,-7.091836734693878,646.0
271,54.0,704.0,-7.183673469387755,646.0
272,54.0,690.0,-7.040816326530612,646.0
273,54.0,715.0,-7.295918367346939,646.0
274,54.0,663.0,-6.76530612244898,646.0
275,55.0,675.0,-6.887755102040816,646.0
276,55.0,689.0,-7.030612244897959,646.0
277,55.0,652.0,-6.653061224489796,646.0
278,55.0,683.0,-6.969387755102041,646.0
279,55.0,663.0,-6.76530612244898,646.0
280,56.0,669.0,-6.826530612244898,646.0
281,56.0,682.0,-6.959183673469388,646.0
282,56.0,675.0,-6.887755102040816,646.0
283,56.0,681.0,-6.948979591836735,646.0
284,56.0,684.0,-6.979591836734694,646.0
285,57.0,667.0,-6.8061224489795915,646.0
286,57.0,689.0,-7.030612244897959,646.0
287,57.0,685.0,-6.989795918367347,646.0
288,57.0,688.0,-7.020408163265306,646.0
289,57.0,646.0,-6.591836734693878,646.0
290,58.0,693.0,-7.071428571428571,646.0
291,58.0,718.0,-7.326530612244898,646.0
292,58.0,690.0,-7.040816326530612,646.0
293,58.0,646.0,-6.591836734693878,646.0
294,58.0,717.0,-7.316326530612245,646.0
295,59.0,690.0,-7.040816326530612,646.0
296,59.0,646.0,-6.591836734693878,646.0
297,59.0,658.0,-6.714285714285714,646.0
298,59.0,700.0,-7.142857142857143,646.0
299,59.0,716.0,-7.3061224489795915,646.0
300,60.0,654.0,-6.673469387755102,646.0
301,60.0,660.0,-6.73469387755102,646.0
302,60.0,700.0,-7.142857142857143,646.0
303,60.0,669.0,-6.826530612244898,646.0
304,60.0,677.0,-6.908163265306122,646.0
305,61.0,682.0,-6.959183673469388,646.0
306,61.0,669.0,-6.826530612244898,646.0
307,61.0,725.0,-7.3979591836734695,646.0
308,61.0,680.0,-6.938775510204081,646.0
309,61.0,703.0,-7.173469387755102,646.0
310,62.0,664.0,-6.775510204081633,646.0
311,62.0,702.0,-7.163265306122449,646.0
312,62.0,669.0,-6.826530612244898,646.0
313,62.0,715.0,-7.295918367346939,646.0
314,62.0,701.0,-7.153061224489796,646.0
315,63.0,705.0,-7.1938775510204085,646.0
316,63.0,705.0,-7.1938775510204085,646.0
317,63.0,671.0,-6.846938775510204,646.0
318,63.0,742.0,-7.571428571428571,646.0
319,63.0,683.0,-6.969387755102041,646.0
320,64.0,693.0,-7.071428571428571,646.0
321,64.0,705.0,-7.1938775510204085,646.0
322,64.0,706.0,-7.204081632653061,646.0
323,64.0,651.0,-6.642857142857143,646.0
