,12-idle-binary-fjsp-2000-vdata-min,converged_iterations,total_time,min
la16,730.0,1649.0,249.02837991714478,717.0
la17,649.0,2504.0,390.5999901294708,646.0
la18,663.0,1644.0,249.70195055007935,663.0
la19,625.0,1934.0,295.9596309661865,617.0
la20,756.0,2044.0,311.4441373348236,756.0
la21,827.0,2099.0,539.2884640693665,809.0
la22,760.0,1824.0,461.08177518844604,750.0
la23,835.0,2774.0,719.0413296222687,824.0
la24,784.0,2179.0,557.1741962432861,783.0
la25,781.0,3654.0,944.9948298931122,771.0
la26,1064.0,4064.0,1586.539434671402,1057.0
la27,1093.0,4549.0,1746.2254621982574,1088.0
la28,1078.0,8984.0,3601.674874305725,1073.0
la29,1010.0,3909.0,1468.3259596824646,1000.0
la30,1085.0,9109.0,3601.557158470154,1076.0
la31,1526.0,4929.0,3603.6574029922485,1521.0
la32,1668.0,3814.0,2985.997929573059,1662.0
la33,1516.0,1239.0,911.0473425388336,1503.0
la34,1544.0,4869.0,3603.4630353450775,1538.0
la35,1555.0,4869.0,3601.9308326244354,1553.0
la36,984.0,879.0,362.19271969795227,949.0
la37,1011.0,1514.0,659.4227132797241,990.0
la38,949.0,1549.0,665.7599499225616,943.0
la39,958.0,3284.0,1496.3932139873505,938.0
la40,987.0,1494.0,626.6177201271057,955.0
