,episode,make_span,reward,min make span
0,0.0,1151.0,-8.363636363636363,1151.0
1,0.0,1217.0,-15.03030303030303,1151.0
2,0.0,1141.0,-7.353535353535354,1141.0
3,0.0,1170.0,-10.282828282828284,1141.0
4,0.0,1207.0,-14.020202020202017,1141.0
5,1.0,1190.0,-12.303030303030301,1141.0
6,1.0,1160.0,-9.272727272727273,1141.0
7,1.0,1187.0,-12.000000000000002,1141.0
8,1.0,1175.0,-10.787878787878787,1141.0
9,1.0,1191.0,-12.404040404040403,1141.0
10,2.0,1133.0,-6.545454545454545,1133.0
11,2.0,1151.0,-8.363636363636363,1133.0
12,2.0,1139.0,-7.151515151515151,1133.0
13,2.0,1124.0,-5.636363636363637,1124.0
14,2.0,1154.0,-8.666666666666666,1124.0
15,3.0,1142.0,-7.454545454545454,1124.0
16,3.0,1121.0,-5.333333333333334,1121.0
17,3.0,1143.0,-7.555555555555555,1121.0
18,3.0,1135.0,-6.747474747474747,1121.0
19,3.0,1206.0,-13.91919191919192,1121.0
20,4.0,1175.0,-10.787878787878789,1121.0
21,4.0,1151.0,-8.363636363636363,1121.0
22,4.0,1164.0,-9.676767676767676,1121.0
23,4.0,1142.0,-7.454545454545455,1121.0
24,4.0,1166.0,-9.878787878787879,1121.0
25,5.0,1115.0,-4.7272727272727275,1115.0
26,5.0,1149.0,-8.161616161616163,1115.0
27,5.0,1123.0,-5.5353535353535355,1115.0
28,5.0,1137.0,-6.949494949494949,1115.0
29,5.0,1129.0,-6.141414141414141,1115.0
30,6.0,1146.0,-7.858585858585858,1115.0
31,6.0,1112.0,-4.424242424242424,1112.0
32,6.0,1104.0,-3.616161616161616,1104.0
33,6.0,1105.0,-3.7171717171717167,1104.0
34,6.0,1146.0,-7.858585858585858,1104.0
35,7.0,1158.0,-9.07070707070707,1104.0
36,7.0,1155.0,-8.767676767676768,1104.0
37,7.0,1112.0,-4.424242424242424,1104.0
38,7.0,1139.0,-7.151515151515151,1104.0
39,7.0,1142.0,-7.454545454545455,1104.0
40,8.0,1147.0,-7.95959595959596,1104.0
41,8.0,1121.0,-5.333333333333334,1104.0
42,8.0,1144.0,-7.656565656565657,1104.0
43,8.0,1174.0,-10.686868686868687,1104.0
44,8.0,1180.0,-11.292929292929292,1104.0
45,9.0,1231.0,-16.444444444444443,1104.0
46,9.0,1145.0,-7.757575757575758,1104.0
47,9.0,1150.0,-8.262626262626263,1104.0
48,9.0,1246.0,-17.95959595959596,1104.0
49,9.0,1148.0,-8.06060606060606,1104.0
50,10.0,1111.0,-4.3232323232323235,1104.0
51,10.0,1119.0,-5.1313131313131315,1104.0
52,10.0,1186.0,-11.8989898989899,1104.0
53,10.0,1159.0,-9.171717171717171,1104.0
54,10.0,1123.0,-5.5353535353535355,1104.0
55,11.0,1146.0,-7.858585858585859,1104.0
56,11.0,1147.0,-7.95959595959596,1104.0
57,11.0,1147.0,-7.959595959595959,1104.0
58,11.0,1189.0,-12.2020202020202,1104.0
59,11.0,1213.0,-14.626262626262628,1104.0
60,12.0,1146.0,-7.858585858585859,1104.0
61,12.0,1159.0,-9.171717171717171,1104.0
62,12.0,1133.0,-6.545454545454545,1104.0
63,12.0,1121.0,-5.333333333333333,1104.0
64,12.0,1151.0,-8.363636363636363,1104.0
65,13.0,1149.0,-8.161616161616163,1104.0
66,13.0,1144.0,-7.6565656565656575,1104.0
67,13.0,1176.0,-10.88888888888889,1104.0
68,13.0,1107.0,-3.919191919191919,1104.0
69,13.0,1133.0,-6.545454545454546,1104.0
70,14.0,1125.0,-5.737373737373737,1104.0
71,14.0,1164.0,-9.676767676767676,1104.0
72,14.0,1100.0,-3.212121212121212,1100.0
73,14.0,1139.0,-7.151515151515152,1100.0
74,14.0,1228.0,-16.141414141414142,1100.0
75,15.0,1200.0,-13.313131313131315,1100.0
76,15.0,1143.0,-7.555555555555555,1100.0
77,15.0,1166.0,-9.878787878787879,1100.0
78,15.0,1110.0,-4.222222222222222,1100.0
79,15.0,1206.0,-13.91919191919192,1100.0
80,16.0,1161.0,-9.373737373737374,1100.0
81,16.0,1119.0,-5.1313131313131315,1100.0
82,16.0,1117.0,-4.929292929292929,1100.0
83,16.0,1109.0,-4.121212121212121,1100.0
84,16.0,1131.0,-6.343434343434343,1100.0
85,17.0,1148.0,-8.060606060606059,1100.0
86,17.0,1170.0,-10.282828282828284,1100.0
87,17.0,1115.0,-4.7272727272727275,1100.0
88,17.0,1149.0,-8.16161616161616,1100.0
89,17.0,1328.0,-26.242424242424242,1100.0
90,18.0,1203.0,-13.616161616161618,1100.0
91,18.0,1148.0,-8.06060606060606,1100.0
92,18.0,1124.0,-5.636363636363636,1100.0
93,18.0,1128.0,-6.040404040404041,1100.0
94,18.0,1157.0,-8.96969696969697,1100.0
95,19.0,1146.0,-7.858585858585858,1100.0
96,19.0,1137.0,-6.94949494949495,1100.0
97,19.0,1106.0,-3.818181818181818,1100.0
98,19.0,1214.0,-14.727272727272727,1100.0
99,19.0,1110.0,-4.222222222222222,1100.0
100,20.0,1189.0,-12.202020202020202,1100.0
101,20.0,1159.0,-9.171717171717171,1100.0
102,20.0,1188.0,-12.101010101010102,1100.0
103,20.0,1144.0,-7.656565656565657,1100.0
104,20.0,1137.0,-6.949494949494949,1100.0
105,21.0,1134.0,-6.646464646464647,1100.0
106,21.0,1172.0,-10.484848484848484,1100.0
107,21.0,1105.0,-3.717171717171717,1100.0
108,21.0,1103.0,-3.515151515151515,1100.0
109,21.0,1133.0,-6.545454545454545,1100.0
110,22.0,1116.0,-4.828282828282829,1100.0
111,22.0,1121.0,-5.333333333333333,1100.0
112,22.0,1136.0,-6.848484848484849,1100.0
113,22.0,1136.0,-6.848484848484848,1100.0
114,22.0,1193.0,-12.606060606060606,1100.0
115,23.0,1128.0,-6.040404040404041,1100.0
116,23.0,1102.0,-3.4141414141414144,1100.0
117,23.0,1120.0,-5.232323232323233,1100.0
118,23.0,1121.0,-5.333333333333333,1100.0
119,23.0,1103.0,-3.515151515151515,1100.0
120,24.0,1116.0,-4.828282828282829,1100.0
121,24.0,1105.0,-3.717171717171717,1100.0
122,24.0,1122.0,-5.434343434343434,1100.0
123,24.0,1127.0,-5.93939393939394,1100.0
124,24.0,1103.0,-3.5151515151515156,1100.0
125,25.0,1135.0,-6.747474747474747,1100.0
126,25.0,1121.0,-5.333333333333333,1100.0
127,25.0,1115.0,-4.7272727272727275,1100.0
128,25.0,1125.0,-5.737373737373737,1100.0
129,25.0,1114.0,-4.626262626262626,1100.0
130,26.0,1158.0,-9.070707070707071,1100.0
131,26.0,1138.0,-7.05050505050505,1100.0
132,26.0,1120.0,-5.232323232323232,1100.0
133,26.0,1128.0,-6.040404040404041,1100.0
134,26.0,1107.0,-3.919191919191919,1100.0
135,27.0,1151.0,-8.363636363636363,1100.0
136,27.0,1109.0,-4.121212121212121,1100.0
137,27.0,1089.0,-2.101010101010101,1089.0
138,27.0,1112.0,-4.424242424242425,1089.0
139,27.0,1115.0,-4.727272727272727,1089.0
140,28.0,1103.0,-3.515151515151515,1089.0
141,28.0,1122.0,-5.434343434343434,1089.0
142,28.0,1107.0,-3.919191919191919,1089.0
143,28.0,1106.0,-3.8181818181818183,1089.0
144,28.0,1095.0,-2.707070707070707,1089.0
145,29.0,1100.0,-3.212121212121212,1089.0
146,29.0,1118.0,-5.03030303030303,1089.0
147,29.0,1099.0,-3.111111111111111,1089.0
148,29.0,1115.0,-4.7272727272727275,1089.0
149,29.0,1104.0,-3.616161616161616,1089.0
150,30.0,1114.0,-4.626262626262626,1089.0
151,30.0,1120.0,-5.232323232323233,1089.0
152,30.0,1106.0,-3.8181818181818183,1089.0
153,30.0,1114.0,-4.626262626262626,1089.0
154,30.0,1093.0,-2.505050505050505,1089.0
155,31.0,1107.0,-3.9191919191919196,1089.0
156,31.0,1129.0,-6.141414141414141,1089.0
157,31.0,1113.0,-4.525252525252525,1089.0
158,31.0,1120.0,-5.232323232323232,1089.0
159,31.0,1111.0,-4.3232323232323235,1089.0
160,32.0,1105.0,-3.717171717171717,1089.0
161,32.0,1105.0,-3.717171717171717,1089.0
162,32.0,1125.0,-5.737373737373737,1089.0
163,32.0,1140.0,-7.252525252525253,1089.0
164,32.0,1132.0,-6.444444444444445,1089.0
165,33.0,1104.0,-3.616161616161616,1089.0
166,33.0,1118.0,-5.03030303030303,1089.0
167,33.0,1156.0,-8.868686868686869,1089.0
168,33.0,1095.0,-2.707070707070707,1089.0
169,33.0,1118.0,-5.03030303030303,1089.0
170,34.0,1105.0,-3.717171717171717,1089.0
171,34.0,1114.0,-4.626262626262626,1089.0
172,34.0,1133.0,-6.545454545454546,1089.0
173,34.0,1125.0,-5.737373737373738,1089.0
174,34.0,1096.0,-2.8080808080808084,1089.0
175,35.0,1131.0,-6.3434343434343425,1089.0
176,35.0,1119.0,-5.1313131313131315,1089.0
177,35.0,1108.0,-4.020202020202021,1089.0
