,episode,make_span,reward,min_make_span
0,0.0,267.0,-210.78947368421035,267.0
1,0.0,266.0,-209.9999999999998,266.0
2,0.0,268.0,-211.57894736842098,266.0
3,0.0,264.0,-208.4210526315788,264.0
4,0.0,282.0,-222.63157894736835,264.0
5,0.0,270.0,-213.15789473684202,264.0
6,0.0,275.0,-217.1052631578946,264.0
7,0.0,269.0,-212.36842105263142,264.0
8,0.0,264.0,-208.42105263157868,264.0
9,1.0,271.0,-213.94736842105254,264.0
10,1.0,278.0,-219.47368421052613,264.0
11,1.0,265.0,-209.21052631578928,264.0
12,1.0,278.0,-219.47368421052607,264.0
13,1.0,270.0,-213.1578947368418,264.0
14,1.0,266.0,-209.9999999999999,264.0
15,1.0,272.0,-214.73684210526312,264.0
16,1.0,281.0,-221.8421052631577,264.0
17,1.0,267.0,-210.78947368421026,264.0
18,2.0,262.0,-206.84210526315766,262.0
19,2.0,277.0,-218.6842105263156,262.0
20,2.0,267.0,-210.78947368421032,262.0
21,2.0,274.0,-216.31578947368422,262.0
22,2.0,282.0,-222.63157894736824,262.0
23,2.0,263.0,-207.63157894736852,262.0
24,2.0,275.0,-217.10526315789443,262.0
25,2.0,284.0,-224.2105263157893,262.0
26,2.0,272.0,-214.73684210526307,262.0
27,3.0,263.0,-207.63157894736833,262.0
28,3.0,264.0,-208.42105263157893,262.0
29,3.0,265.0,-209.21052631578922,262.0
30,3.0,281.0,-221.84210526315775,262.0
31,3.0,290.0,-228.94736842105243,262.0
32,3.0,270.0,-213.1578947368421,262.0
33,3.0,272.0,-214.7368421052631,262.0
34,3.0,274.0,-216.3157894736839,262.0
35,3.0,289.0,-228.15789473684197,262.0
36,4.0,272.0,-214.73684210526298,262.0
37,4.0,298.0,-235.26315789473668,262.0
38,4.0,263.0,-207.63157894736847,262.0
39,4.0,269.0,-212.36842105263136,262.0
40,4.0,273.0,-215.5263157894735,262.0
41,4.0,271.0,-213.94736842105252,262.0
42,4.0,271.0,-213.94736842105257,262.0
43,4.0,262.0,-206.8421052631577,262.0
44,4.0,268.0,-211.5789473684207,262.0
45,5.0,282.0,-222.63157894736827,262.0
46,5.0,259.0,-204.47368421052616,259.0
47,5.0,270.0,-213.1578947368419,259.0
48,5.0,274.0,-216.31578947368413,259.0
49,5.0,266.0,-209.9999999999999,259.0
50,5.0,267.0,-210.78947368421026,259.0
51,5.0,276.0,-217.894736842105,259.0
52,5.0,272.0,-214.73684210526295,259.0
53,5.0,259.0,-204.47368421052613,259.0
54,6.0,305.0,-240.78947368421035,259.0
55,6.0,279.0,-220.26315789473645,259.0
56,6.0,268.0,-211.5789473684209,259.0
57,6.0,270.0,-213.15789473684197,259.0
58,6.0,301.0,-237.63157894736833,259.0
59,6.0,270.0,-213.15789473684202,259.0
60,6.0,263.0,-207.63157894736824,259.0
61,6.0,297.0,-234.47368421052622,259.0
62,6.0,274.0,-216.31578947368405,259.0
63,7.0,282.0,-222.63157894736824,259.0
64,7.0,264.0,-208.4210526315788,259.0
65,7.0,255.0,-201.3157894736841,255.0
66,7.0,269.0,-212.3684210526314,255.0
67,7.0,269.0,-212.36842105263142,255.0
68,7.0,292.0,-230.52631578947367,255.0
69,7.0,285.0,-224.9999999999999,255.0
70,7.0,279.0,-220.26315789473662,255.0
71,7.0,281.0,-221.84210526315772,255.0
72,8.0,260.0,-205.26315789473668,255.0
73,8.0,269.0,-212.36842105263145,255.0
74,8.0,275.0,-217.10526315789457,255.0
75,8.0,263.0,-207.63157894736824,255.0
76,8.0,260.0,-205.26315789473674,255.0
77,8.0,277.0,-218.6842105263156,255.0
78,8.0,289.0,-228.15789473684205,255.0
79,8.0,274.0,-216.31578947368408,255.0
80,8.0,286.0,-225.78947368421052,255.0
81,9.0,257.0,-202.8947368421051,255.0
82,9.0,262.0,-206.84210526315783,255.0
83,9.0,266.0,-209.9999999999998,255.0
84,9.0,276.0,-217.89473684210515,255.0
85,9.0,273.0,-215.52631578947359,255.0
86,9.0,287.0,-226.57894736842093,255.0
87,9.0,265.0,-209.21052631578934,255.0
88,9.0,265.0,-209.21052631578925,255.0
89,9.0,267.0,-210.78947368421052,255.0
90,10.0,271.0,-213.94736842105257,255.0
91,10.0,270.0,-213.15789473684202,255.0
92,10.0,278.0,-219.4736842105262,255.0
93,10.0,268.0,-211.5789473684209,255.0
94,10.0,272.0,-214.7368421052629,255.0
95,10.0,280.0,-221.0526315789472,255.0
96,10.0,280.0,-221.05263157894728,255.0
97,10.0,271.0,-213.94736842105246,255.0
98,10.0,271.0,-213.94736842105257,255.0
99,11.0,273.0,-215.52631578947364,255.0
100,11.0,274.0,-216.3157894736841,255.0
101,11.0,276.0,-217.89473684210523,255.0
102,11.0,272.0,-214.736842105263,255.0
103,11.0,275.0,-217.10526315789454,255.0
104,11.0,285.0,-224.99999999999991,255.0
105,11.0,275.0,-217.10526315789468,255.0
106,11.0,271.0,-213.94736842105252,255.0
107,11.0,271.0,-213.94736842105257,255.0
108,12.0,263.0,-207.63157894736835,255.0
109,12.0,261.0,-206.05263157894703,255.0
110,12.0,263.0,-207.6315789473682,255.0
111,12.0,263.0,-207.63157894736844,255.0
112,12.0,274.0,-216.315789473684,255.0
113,12.0,273.0,-215.5263157894736,255.0
114,12.0,282.0,-222.6315789473683,255.0
115,12.0,265.0,-209.2105263157894,255.0
116,12.0,261.0,-206.0526315789472,255.0
117,13.0,270.0,-213.15789473684188,255.0
118,13.0,268.0,-211.5789473684208,255.0
119,13.0,306.0,-241.57894736842118,255.0
120,13.0,266.0,-210.00000000000003,255.0
121,13.0,267.0,-210.78947368421024,255.0
122,13.0,274.0,-216.315789473684,255.0
123,13.0,276.0,-217.89473684210517,255.0
124,13.0,283.0,-223.4210526315788,255.0
125,13.0,261.0,-206.0526315789472,255.0
126,14.0,273.0,-215.52631578947359,255.0
127,14.0,269.0,-212.36842105263153,255.0
128,14.0,283.0,-223.4210526315788,255.0
129,14.0,272.0,-214.73684210526307,255.0
130,14.0,262.0,-206.84210526315772,255.0
131,14.0,282.0,-222.63157894736824,255.0
132,14.0,260.0,-205.26315789473674,255.0
133,14.0,269.0,-212.36842105263128,255.0
134,14.0,269.0,-212.3684210526315,255.0
135,15.0,266.0,-210.0,255.0
136,15.0,266.0,-209.9999999999999,255.0
137,15.0,276.0,-217.89473684210512,255.0
138,15.0,264.0,-208.42105263157865,255.0
139,15.0,260.0,-205.2631578947368,255.0
140,15.0,271.0,-213.94736842105257,255.0
141,15.0,271.0,-213.9473684210525,255.0
142,15.0,277.0,-218.68421052631564,255.0
143,15.0,263.0,-207.63157894736824,255.0
144,16.0,282.0,-222.63157894736827,255.0
145,16.0,278.0,-219.47368421052622,255.0
146,16.0,267.0,-210.78947368421046,255.0
147,16.0,281.0,-221.84210526315758,255.0
148,16.0,281.0,-221.84210526315763,255.0
149,16.0,284.0,-224.21052631578922,255.0
150,16.0,270.0,-213.15789473684185,255.0
151,16.0,273.0,-215.52631578947347,255.0
152,16.0,273.0,-215.52631578947344,255.0
153,17.0,275.0,-217.10526315789457,255.0
154,17.0,282.0,-222.63157894736804,255.0
155,17.0,255.0,-201.31578947368408,255.0
156,17.0,260.0,-205.26315789473674,255.0
157,17.0,270.0,-213.15789473684197,255.0
158,17.0,259.0,-204.4736842105261,255.0
159,17.0,265.0,-209.21052631578937,255.0
160,17.0,272.0,-214.73684210526307,255.0
161,17.0,266.0,-209.99999999999986,255.0
162,18.0,274.0,-216.31578947368413,255.0
163,18.0,275.0,-217.10526315789468,255.0
164,18.0,264.0,-208.42105263157873,255.0
165,18.0,279.0,-220.26315789473682,255.0
166,18.0,276.0,-217.89473684210512,255.0
167,18.0,260.0,-205.26315789473676,255.0
168,18.0,264.0,-208.42105263157882,255.0
169,18.0,289.0,-228.1578947368419,255.0
170,18.0,295.0,-232.89473684210506,255.0
171,19.0,262.0,-206.8421052631576,255.0
172,19.0,254.0,-200.52631578947359,254.0
173,19.0,259.0,-204.47368421052616,254.0
174,19.0,268.0,-211.57894736842098,254.0
175,19.0,256.0,-202.10526315789463,254.0
176,19.0,270.0,-213.15789473684185,254.0
177,19.0,272.0,-214.7368421052631,254.0
178,19.0,267.0,-210.78947368421038,254.0
179,19.0,273.0,-215.5263157894735,254.0
180,20.0,267.0,-210.78947368421038,254.0
181,20.0,297.0,-234.47368421052633,254.0
182,20.0,286.0,-225.78947368421052,254.0
183,20.0,262.0,-206.8421052631578,254.0
184,20.0,262.0,-206.8421052631577,254.0
185,20.0,261.0,-206.0526315789472,254.0
186,20.0,265.0,-209.21052631578922,254.0
187,20.0,276.0,-217.8947368421051,254.0
188,20.0,266.0,-209.99999999999991,254.0
189,21.0,265.0,-209.21052631578928,254.0
190,21.0,270.0,-213.15789473684197,254.0
191,21.0,270.0,-213.15789473684205,254.0
192,21.0,275.0,-217.10526315789468,254.0
193,21.0,265.0,-209.21052631578937,254.0
194,21.0,282.0,-222.6315789473682,254.0
195,21.0,276.0,-217.8947368421052,254.0
196,21.0,267.0,-210.7894736842103,254.0
197,21.0,260.0,-205.26315789473665,254.0
198,22.0,266.0,-210.0,254.0
199,22.0,258.0,-203.68421052631555,254.0
200,22.0,266.0,-209.99999999999991,254.0
201,22.0,260.0,-205.26315789473657,254.0
202,22.0,258.0,-203.68421052631578,254.0
203,22.0,271.0,-213.9473684210525,254.0
204,22.0,254.0,-200.52631578947353,254.0
205,22.0,278.0,-219.47368421052616,254.0
206,22.0,256.0,-202.10526315789463,254.0
207,23.0,278.0,-219.47368421052616,254.0
208,23.0,264.0,-208.42105263157873,254.0
209,23.0,281.0,-221.84210526315775,254.0
210,23.0,266.0,-209.99999999999977,254.0
211,23.0,269.0,-212.36842105263125,254.0
212,23.0,269.0,-212.36842105263156,254.0
